,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/355097426_715836720345586_6374556386807582547_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=PHPqjfe4oQwAX-P7UGe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAvstaxHbwwEDV9joprYVH1Ktl8XZJqhD8rwtUPlGjn6g&oe=65635A4B&_nc_sid=bc0c2c,"KENZO with VERNON 
 
KENZO is thrilled to announce VERNON as its first global ambassador. @Vernonline is joining the KENZO universe, teaming up with a House that shares strong links to the international entertainment scene, under the influence of Artistic Director @Nigo.
 
""I feel honored and fortunate to be KENZO’s Global Ambassador. I’m excited to explore the synergy this partnership will introduce and look forward to showcasing a new side of me to fans around the world."" says #VERNON
 
겐조의 글로벌 앰배서더로 함께하게 되어 영광입니다. 이번 파트너십이 어떤 시너지로 이어질 수 있을지 기대되고, 전 세계 팬분들께 저의 새로운 모습을 보여드릴 수 있기를 기대합니다.
 
#KENZONIGO @Vernonline","['vernon', 'kenzonigo']",796464,3033,,2023-06-22 05:03:24,GraphImage
1,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/372571971_706259718189451_7102937943029335305_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=ZqrXQGba3vIAX_pG8AB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBlieXli2QjmuiZKyNPjELRy7TlYKf3sdNaDOIVApFBnQ&oe=6562E5FC&_nc_sid=bc0c2c,"Introducing the KENZO Fall-Winter 2023 silhouettes by @Nigo with Brand Ambassador @Vernonline. Vernon wears the new collection: a wardrobe composed across cultures, eras and styles.​
 
#KENZONIGO ​#VERNON 
 
Photographer @keizokitajima
AD @linakutsovskaya @beg00dstudios
Stylist @marq.rise​","['kenzonigo', 'vernon']",513120,1500,,2023-08-30 05:33:38,GraphImage
2,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/275153410_661715118421308_5566562714597600286_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=VDWHiL0YUJMAX8pjFsK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAX6V9IAvp-78cVFuKMl02XUbdtWsY0UBgAI2G9GkIDPQ&oe=65623070&_nc_sid=bc0c2c,😎 @kenzo @nigo #KENZONIGO,['kenzonigo'],246769,425,,2022-03-03 17:57:34,GraphSidecar
3,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/326258718_849992192750431_516538182131012353_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=3aGedkGgtnoAX-cFo1E&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDinCLkr4FIMAnokOfPF6wA1kESshEPKWuKCsMpNJ77NQ&oe=656253A2&_nc_sid=bc0c2c,My first Kenzo 🌺 @KENZO by @Nigo #KENZONIGO,['kenzonigo'],169432,149,,2023-01-21 11:09:55,GraphImage
4,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/277512943_453940936529878_1347408082160296262_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=devN5RrN1QYAX9VzNAz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB6xiMecxEKaOH7PUUmg0GWUlYXHYUBR8ObTevGkS809g&oe=6562ED80&_nc_sid=bc0c2c,Bread and butter @KENZO @NIGO #KENZONigo #광고,"['kenzonigo', '광고']",154586,634,,2022-03-31 15:00:39,GraphSidecar
5,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/395583621_702744958108187_6059585079261264064_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=yj-tGJC_tIYAX_exXm_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDiGMrLavw4NYHAVtd_VoA1a9Vm_NAHU5qxyqmgeBbulQ&oe=6561D6F9&_nc_sid=bc0c2c,"Discover the Dazzle Stripe print from @Nigo’s FW23 collection, a broken-stripe motif from the 1980s archives of the Maison. 
This print embellishes a 3 piece suit perfectly donned by KENZO Brand Ambassador @Vernonline.

#KENZONIGO #VERNON","['kenzonigo', 'vernon']",119998,877,Japan,2023-10-26 08:30:01,GraphImage
6,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/309855366_120693003962940_1887018187384435582_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=ZldP3gHvHRMAX8BmpMe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBUcbfdaAPDJN9_lPGwtvkSWz6X-dAdiIUevo9JrwUViw&oe=656311E3&_nc_sid=bc0c2c,so much fun @kenzo @nigo #kenzonigo 🫶🏾,['kenzonigo'],104870,63,Kenzo,2022-10-01 14:50:34,GraphSidecar
7,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/326363597_1330751761053931_6462694384417436370_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=gE5NyKmcr3EAX9zZ-7N&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4YptHBfE4y66KFEwH6VBnwbFk_GjbJ0LeFjAKu_It6g&oe=6562C6B0&_nc_sid=bc0c2c,#KENZONIGO last night in pariiiiis @nigo @kenzo,['kenzonigo'],101396,360,,2023-01-21 08:56:49,GraphImage
8,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/326551533_188813340496877_1995956824124922651_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=pZWOpRYe2hwAX_bUAbF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCvFX5E3jL05mwDhBwBRQRBE8WfQIpPV6nUrBTn1dSj4Q&oe=656352F4&_nc_sid=bc0c2c,새로운 시작 #KENZONIGO @nigo @kenzo,['kenzonigo'],72977,261,,2023-01-21 12:00:44,GraphSidecar
9,kenzo,2256809,568,True,True,,545,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/326398454_735694597770373_3632489466310241192_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=87OO5ktNPdMAX_R6_4P&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHvcuj5yq6HrcrIcHBt7Cxc6-qWzd9Cgxa-ykqiJe4zg&oe=6562FB0D&_nc_sid=bc0c2c,"🌺 @kenzo by @nigo 🐘🗯️ 
rendez-vous Paris Je t’aime. On se voit le semaine prochaine! ❣️
#Rendezvous #PopALotEUTour","['rendezvous', 'popaloteutour']",52655,354,Salle Pleyel,2023-01-21 11:31:10,GraphSidecar
