,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/272659509_640826040498160_305754906527072885_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=COijF4krU9AAX-DQY6d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDmI6ZnzdNTPoDituPMJrrercyTUkvs_Z7LFbdp0O-MYQ&oe=6566306F&_nc_sid=bc0c2c,What an honor to be a @boss 😝 #BeYourOwnBOSS,['beyourownboss'],2420646,11279,,2022-01-26 17:04:59,GraphSidecar
1,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/170787040_274820117651755_8232896805686496411_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=8Y2LW_WflbkAX8kaI_6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCuyoQW9PmeaGQfdmSrwkjgS3WLfpIhDrXoc8dU0UsfYQ&oe=6565FB21&_nc_sid=bc0c2c,"Volevo ringraziarvi per i 3 milioni ma siamo già arrivati a 3.5, non so come ringraziarvi per il vostro supporto 
Vi voglio bene",[],590890,1744,Chivasso,2021-04-10 18:06:33,GraphSidecar
2,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/167653147_280282266936606_6293958629126096851_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=qEn_QBLd1NYAX8MSraz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBUZns6xN5vIwYG14cbd1BimSk4v6ExTLJ_bMUOKV7kWw&oe=6566476C&_nc_sid=bc0c2c,"2 milioni di volte grazie per il supporto che mi date ogni giorno, continuerò a portare video per farvi sorridere oggi giorno , vi voglio bene amici",[],442974,986,Chivasso,2021-04-02 12:54:36,GraphSidecar
3,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/161342509_117309060412182_6674151361575158805_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=wc5AAoVUxCEAX9XhDOh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAEDPpfFAMhX-H_QMRu19ODqGfAcCyxSojnLbFE1-5-Tw&oe=656680B5&_nc_sid=bc0c2c,Il colore è un potere che influenza direttamente l’anima.,[],396056,1247,Freestyle Concept Store  Chivasso,2021-03-18 19:00:27,GraphSidecar
4,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/159403576_277337887109602_6117632515240643354_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=fkPB6OGi7UwAX-05n9r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC1k6V5fe2SapYpXQa5kcvc8iayfsO0TJlNwpsIOi2zFg&oe=6565C6BD&_nc_sid=bc0c2c,"Quanto manca alla vetta? Tu sali e non pensarci . ...!!!
Model @khaby00  Outfit @freestyle_store_chivasso  @5tateofmind  @obeyclothing",[],259125,324,Freestyle Concept Store  Chivasso,2021-03-12 18:13:21,GraphSidecar
5,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/130838638_1611404182365805_6509048300756476441_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=aUApPdDUkQUAX-UgwMe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDDtiSo2dMiI_Su2Mao0dlmQiXU3dBPxhOdn-mgOqKl-g&oe=6565215C&_nc_sid=bc0c2c,Bellissima esperienza come modello nella rivista @dluirepubblica @letischatzinger,[],214514,304,,2020-12-14 19:14:55,GraphSidecar
6,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/129727250_3702698569769511_3082099433611078037_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=aYUchcYSrigAX9C-_qj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA-j3M_msdqk3WH1EYqm4vB4XLrL8msLunoFumcMEvlbw&oe=6566A71F&_nc_sid=bc0c2c,La vita è come camminare in mezzo alla neve . Ogni passo lascia il suo segno,[],213385,317,Chivasso,2020-12-04 18:38:47,GraphSidecar
7,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/118776388_341620713710620_7643736026162104531_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=CJjjODkX3toAX9nup3O&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDlv6rRg073gaiFdhvqIANWI0-_gLy0SgRCqUHIV_UQ_g&oe=65657485&_nc_sid=bc0c2c,"Io non mi arrendo , chi molla è perduto",[],200601,376,"Milan, Italy",2020-09-06 18:30:39,GraphImage
8,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117227252_593389354656081_469609361157925935_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=yRwuvN0UISMAX8My-9J&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC538SMBWuhP241l5vU43RwVVQUUcZURwqizWFZucitRg&oe=65652209&_nc_sid=bc0c2c,"Non invidiate , applaudite poi fate di meglio",[],198052,717,"Milan, Italy",2020-08-08 12:41:36,GraphImage
9,khaby00,80561614,965,True,False,N/A,463,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/126899872_361724528449239_2891938136679408555_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Lt2Ts67TAuYAX-MyXV3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBAcOZoS_C6VobzBR1DjUEZDJmyiaSOpmHZAIWjrNs-ng&oe=6565F4C1&_nc_sid=bc0c2c,"Ricordatevi di amici veri nelle vita ce n’è davvero  pochi , teneteveli stretti",[],189514,314,Chivasso,2020-11-22 18:27:45,GraphImage
