,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/241010453_984549032343765_36871507136072628_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=R-0oonZ7K3YAX8N-5mR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB9L8SMqtBSTYuSEFV-uh2qyIDCh_9sgU963T3RA2r79w&oe=65650893&_nc_sid=bc0c2c,"This is it. This will be my last season in Formula 1. This is a decision I did during last winter. It was not an easy decision but after this season it is time for new things. Even though the season is still on, I want to thank my family, all my teams, everyone involved in my racing career and especially all of you great fans that have been rooting for me all this time. Formula 1 might come to an end for me but there is a lot more in life that I want to experience and enjoy. See you around after all of this! Sincerely Kimi",[],1104167,50989,,2021-09-01 16:44:05,GraphImage
1,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/266672292_1063174047794526_7848081240066191750_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=8TKK1gybOksAX-1XXZK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBecIgyFxFB3T2sFieQB-GCipMfdg52guzop0egIUL-Cg&oe=6564DA6D&_nc_sid=bc0c2c,Goodbye Formula 1.,[],1061450,31569,Yas Marina Circuit,2021-12-12 15:34:38,GraphImage
2,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/316331787_452221896993977_694501369162082098_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=D0O1qu4R7hUAX9qpeqp&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk3NTYzMzU2NzEzOTIxMjEwMg%3D%3D.2-ccb7-5&oh=00_AfATgwXVezZnTenjdIMCL_eH1xmjpQ2jmGoFqG9muTPLdQ&oe=6564BA5D&_nc_sid=8b3546,Walking into retirement. Congrats on a great career Seb!,[],793474,2696,,2022-11-20 11:19:45,GraphImage
3,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/327622846_740545487376231_1892117641682622423_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=E2c2G0UQZZ4AX9z7Im9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAyNjU3NjMzNzY5OTQ5MzgxOQ%3D%3D.2-ccb7-5&oh=00_AfBduX2LqTxEm7TLxPBZ4tJ5hhsA0Y6MDCymaOn0qrtXEw&oe=656499B6&_nc_sid=8b3546,"Oh baby girl, you are already so loved❤️ We can't wait to meet the newest member of our family in a few months!",[],665674,4898,,2023-01-29 18:13:56,GraphImage
4,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/265608349_4473438016088355_6199095972231431333_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=zHZhiQcEM8IAX_79atY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCNNk9o74BvhQXHP1obo9c4-Qw2Pf-4hnJ03JD5v-hHXw&oe=6565B582&_nc_sid=bc0c2c,Grazie @scuderiaferrari,[],657372,3531,Yas Marina Circuit,2021-12-11 15:09:00,GraphSidecar
5,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/266241548_697225431181821_1921425285368001122_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=-OGM-TbjaEkAX-0Y6rI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDjWwbRO9WwggHUN1tCFz0og2UL2BealW6XUhquOS3N5g&oe=65647F41&_nc_sid=bc0c2c,"Thank you @markarnall_traveltraining for the past 20 years. You would have taken a bullet for me if needed. Sometimes it was close, but we made it through.",[],647157,1930,,2021-12-13 09:27:22,GraphImage
6,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/269930438_220095200280717_8933536674832981056_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=iwB3q_lDJJkAX8EQHyW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCEYsyIp9TLux3FWqZR8bPCt0YMLISIq8jAw07fDxSnkQ&oe=65657BFC&_nc_sid=bc0c2c,Happy Holidays!,[],583772,2660,,2021-12-24 15:05:04,GraphImage
7,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/260617616_486846065921811_888645215911007034_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=YljTMfpf18oAX-FxmZA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBlkmQm-x2Xr3j9TKtlYX9xxZD0krIa2Z2AqSm7ZVSe1A&oe=6564F2C5&_nc_sid=bc0c2c,Thank you everyone for a night to remember. Thank you everyone for all the years together. Thank you for your hard work. Thank you for all the memories. You are good people. Sincerely Kimi @alfaromeoracingorlen,[],576317,4841,,2021-11-26 18:56:52,GraphSidecar
8,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/241735261_135040692181839_4580903075681331533_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Y8-bM-8GFzwAX9d_hGB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMS2eHtmpeVYe5xi7NkuVqxRuo85U8tjLk6sdimFlpsQ&oe=65645EFC&_nc_sid=bc0c2c,I am all good. See you at the next GP.,[],447984,3481,,2021-09-13 09:57:46,GraphImage
9,kimimatiasraikkonen,2965039,36,True,False,N/A,338,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/132837147_204093374731485_844606082960348760_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=x5LdBmo1cqkAX9-LX98&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDMfTeLMmZ_Py8ejjOj3XT7ZtpaGqmnzCZSejxFtzNxrg&oe=65647C98&_nc_sid=bc0c2c,Merry Christmas from family RAI. Stay classy!,[],405463,2548,,2020-12-24 12:17:55,GraphImage
