,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/384343758_1026606301869727_2358329252385057932_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=JINtiyUT1IIAX_e_9ih&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCgtI8UehxkJvgb5qZ4LEd_ds0MbvD-S8NQIzhMZIS1NQ&oe=6567BE22&_nc_sid=bc0c2c,"Beautiful reunions, delightful interactions and heartfelt conversations echoed through Musée du Louvre during the Night of Grandeur, celebrating the exclusive collaboration between Lancôme x Louvre.​

#Lancome #LancomexLouvre #BeautyIsALivingArt​
@museelouvre​
@edwestwick @kellyrutherford @sabrinacarpenter @lenamahfouf @pierregasly @gavincasalegno @rubylyn_ @sandrashehab @milliemackintosh @clara.berry","['lancome', 'lancomexlouvre', 'beautyisalivingart']",644890,612,"Musée du Louvre, Paris",2023-09-30 10:01:01,GraphSidecar
1,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/371850902_949173366161138_7452246613834692221_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=F9nCylurgLcAX-6EVTm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5vaKVE0I-2hISJA4jO-3BqDcU8mF1ZVTwglmTtRBMzw&oe=6567E1A1&_nc_sid=bc0c2c,"LANCÔME X LOUVRE
At the Daru staircase of @museelouvre rises the Victory of Samothrace. This masterpiece represents the Goddess of Victory, portrayed by Global Ambassador @zendaya. Independent, strong, wild, magnetic, radiant. “The Victory of Samothrace is a messenger of the win. To me, her posture demonstrates a confident and victorious woman. A powerful symbol of achievement. And that’s what true beauty is: drawing on our own story to give ourselves wings. A way to empower ourselves.’’ - Zendaya
#Lancome #LancomexLouvre #BeautyIsALivingArt #Zendaya","['lancome', 'lancomexlouvre', 'beautyisalivingart', 'zendaya']",273703,601,"Musée du Louvre, Paris",2023-08-31 09:59:55,GraphImage
2,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/323825147_919658692357429_5133854901318904348_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=tSJD8ZwglMwAX_wJS-R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAKYmQbY2BXlLDqvSfSZsLvTON0zX3KzxxfMoljEGbj_g&oe=6568C1FB&_nc_sid=bc0c2c,"Discover HAPTA by Lancôme, a handheld, ultra-precise smart makeup applicator for users with limited hand and arm mobility, offering them the ability to steadily apply lipstick at home. Accessibility starts here.
#LOreal #Lancome #CES2023 #CreateTheBeautyThatMovesTheWorld #LancomeBeautyTech #HaptaByLancome","['loreal', 'lancome', 'ces2023', 'createthebeautythatmovestheworld', 'lancomebeautytech', 'haptabylancome']",115938,2720,,2023-01-06 13:04:30,GraphSidecar
3,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/310275983_562265035652003_6862338097815469794_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ri048eoljHYAX9bi8p8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCEq8AiDZs6qqb48UoUw6SYw7J_IyVnTVN84no_M9ymGA&oe=6568D5BB&_nc_sid=bc0c2c,"Zendaya exuded an effortless glamour at Paris Fashion Week in a Lancôme makeup look by @officialsheiks, using: 
• Teint Idôle Ultra Wear Care & Glow and All Over Concealer 
• Blush Subtil in 351 Blushing Trésor 
• Hypnôse 5-Color Eyeshadow Palette in Nude Sculptural 
• Lash Idôle Mascara
• Le Crayon lip contour in Caramel, and L’Absolu Rouge Intimatte in 299 French Cashmere 
#Lancome",['lancome'],71103,150,,2022-10-03 15:42:55,GraphImage
4,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386188995_1760204191116690_1294567280350550794_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=KRyjHG01iA0AX9GTQ8T&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCP6qPvv_GdKs2k_2fqI6eycqkGFJEXE5a0PDVRK0ou5w&oe=656816B1&_nc_sid=bc0c2c,"Get the luscious, buildable volume you crave with a subtle yet hypnotic color statement. Le 8 Hypnôse is now pigmented with deep color undertones, designed to enhance your unique eye color.

#Lancome #Le8Hypnose #Makeup","['lancome', 'le8hypnose', 'makeup']",67240,117,,2023-10-06 10:29:38,GraphSidecar
5,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/344763452_909979336787072_8941307424017675105_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=_mjgWRvsuQMAX94AtXt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBatr4qyAVQgED2rJxT73Gshq6KQ2acmG5BLePQLUHoFg&oe=6568AD79&_nc_sid=bc0c2c,"Behind the scenes of @lilyjcollins old Hollywood glam for the #MetGala by @fionastiles, using l’Absolu Rouge Drama Matte in Rouge Pigalle. 
#Lancome #RedCarpet #Makeup","['metgala', 'lancome', 'redcarpet', 'makeup']",59582,226,,2023-05-02 21:19:42,GraphSidecar
6,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/382911647_1249033565780803_527284651617974303_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Fq9tEDiXz7MAX9MzXUS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDZvYXvHHRZ4yufm3okd-jNZ_twlB2oNTo2P-fjkgIIMA&oe=65684AFE&_nc_sid=bc0c2c,A night of grandeur at Musée du Louvre with our iconic ambassadors @ayanakamura_officiel @mingey @penelopecruzoficial @isabellarossellini @emmachamberlain @chiaraferragni @heconghc #Lancome #Louvre #LancomexLouvre #BeautyIsALivingArt,"['lancome', 'louvre', 'lancomexlouvre', 'beautyisalivingart']",55032,230,"Musée du Louvre, Paris",2023-09-26 22:24:06,GraphImage
7,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/372876283_1280321312624132_3217246715780716924_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=isJ_zyLXBJIAX9ijWkk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDv-2bhFyVlGzAQeeM2Knt_Ke1i-emympVpqlD8K9yDgA&oe=6567BBB7&_nc_sid=bc0c2c,"Happiest birthday to our lovely Global Ambassador @zendaya! Your inspiring personality is the perfect embodiment of what Lancôme stands for.
#Lancome #Zendaya #LancomexZendaya","['lancome', 'zendaya', 'lancomexzendaya']",46573,119,,2023-09-01 12:00:13,GraphImage
8,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/369550155_1334200617228323_6303681874147997223_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=DZjHOHnQwAUAX9QE_Dp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBkzK1zAPG0rZ8KGgs7BanDx00A4U32jg4Jw6GZYRPamg&oe=6567DDD2&_nc_sid=bc0c2c,"Lancôme Drama Street, Shanghai, China.
Our latest L’Absolu Rouge Drama Matte campaign took to the streets of Shanghai and Hangzhou for a complete takeover, unveiling dramatic shades and an immersive experience like no other. Guests and visitors indulged in a unique adventure, re-discovering Lancôme’s iconic lipstick through interactive booths and tailored experiences.
#Lancome #LAbsoluRouge #Makeup #Shanghai","['lancome', 'labsolurouge', 'makeup', 'shanghai']",40014,146,"Shanghai, China",2023-08-22 09:10:55,GraphSidecar
9,lancomeofficial,6419200,26,True,True,None,665,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/318757667_5714772608614143_8584121320319465325_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=T6SqJ2fvbKwAX8UTmJV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9aXM8sZZxUnSqNfY9ZPPs6Dw7clWR0tb5MDuNMiL_Mw&oe=6569020E&_nc_sid=bc0c2c,"A behind the scenes look at our beautiful Global Ambassador @lilyjcollins before she stepped on the red carpet for the world premiere of Emily in Paris earlier this week.
Makeup by @aureliepayenmakeup
#Lancome",['lancome'],30334,49,,2022-12-08 18:00:18,GraphImage
