,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/329231227_929359858425586_2287801336814983825_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=AaJJjtNh-g8AX-RJGSX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFrhsHyLd--G2sqzfDBy0wTblVYg4385PWwAoZBuS9mw&oe=65647295&_nc_sid=bc0c2c,@realmadrid x @fifaworldcup . #world8champions,['world8champions'],119525,167,,2023-02-12 18:44:44,GraphImage
1,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/292993167_797485058288079_4766676392177591604_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=yPwN7Vk_jKMAX8Q3lps&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxe_C8az3ZHMcWR3VXuT2lvurZu8cj_3ABEQE1Ulv04A&oe=6565A1DA&_nc_sid=bc0c2c,Double session ✅🔋🛠 #halamadrid,['halamadrid'],109952,129,Ciudad Real Madrid,2022-07-11 19:06:10,GraphSidecar
2,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/298651812_2212749425550050_7216289262589954775_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=2eBb5KUavMMAX9JgPog&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBJc-YiwVSP0PP9b2ES_8SoIwPXgrvzq8MyGjPx5QJiJA&oe=656403BB&_nc_sid=bc0c2c,Un orgullo haber acompañado a este equipazo en este nuevo título. Orgulloso de ellos.  #halamadrid 🤍 Supercampeones de Europa 👑,['halamadrid'],45130,125,Olympiastadion Helsinki,2022-08-10 22:18:21,GraphImage
3,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/312567877_484838656927017_7315060990349929907_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=RqRYgLr3zYgAX8s2Fla&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDs4bh4_DScPKx5peJUM9HhMfrGWBpykFa48dhtDRfcqA&oe=65658E92&_nc_sid=bc0c2c,@realmadrid 🧠🫀,[],35473,69,Ciudad Real Madrid,2022-10-23 12:50:55,GraphImage
4,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/298304518_484472613518605_427772935744840817_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=L59DnbKE1sAAX8SJdVP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDMeRRaIRErsawXsEwQUwxN-xFzB-IZtx7T-UaZ1X8Vqg&oe=65647B0F&_nc_sid=bc0c2c,Tonight 🇫🇮 #HalaMadrid #SuperCup,"['halamadrid', 'supercup']",30581,90,Helsinki,2022-08-10 09:54:47,GraphImage
5,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/292274130_141737351805880_1191785830763524932_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eajsg2h5P0EAX-yLek1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCIUXXGWk_QZNJK5wo1CrUhlaXRiOI4DhWViStdsbscaQ&oe=6565F1E9&_nc_sid=bc0c2c,Vuelta al trabajo en el mejor equipo del mundo . @realmadrid 22/23 🔋🛠,[],30392,96,Ciudad Real Madrid,2022-07-08 18:37:15,GraphImage
6,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/330187680_1571544343360092_4848911336236134610_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=XO2kzH9jOOAAX836Uqo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAG4MIt9r8cZQQJZ5RQA0i-VEP6awXuJI3lsCHLssdNeQ&oe=656452E2&_nc_sid=bc0c2c,🏆🏆CAMPEONES DEL MUNDO🏆🏆 #HalaMadrid #w8rldchampions,"['halamadrid', 'w8rldchampions']",24960,97,"Rabat, Morocco",2023-02-11 23:09:01,GraphImage
7,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/310824271_802302400892664_335268390444505558_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Fb2crIlCYmwAX8asJ3l&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBKSAWlYOFYhijR0X_k-93aSvWsWMa78qTCTdpCXNDVNA&oe=6564903C&_nc_sid=bc0c2c,🧠🫀 #halamadrid,['halamadrid'],24938,53,Ciudad Real Madrid,2022-10-09 17:12:10,GraphSidecar
8,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/347095927_187121190946554_9099095183968861757_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=IY_k6em30F8AX8GyGqg&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwMzQ1NTU3MDA4NjM3NjI5Ng%3D%3D.2-ccb7-5&oh=00_AfChu0y5kc8RjksRd5QLqqcKDdH3zNO-uRajqRiewz2KVA&oe=65645238&_nc_sid=8b3546,A por la recta final ✨ @realmadrid #HalaMadrid,['halamadrid'],23650,95,Ciudad Real Madrid,2023-05-15 19:59:15,GraphImage
9,luis25lopez,144787,742,True,True,None,73,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/363316505_209601502078017_3076291088279249070_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=wXuwuP4zwP0AX_nuvtN&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE1NDc1MDkxNDE2NTMxOTQzMg%3D%3D.2-ccb7-5&oh=00_AfD1GFeZQVmX1nWLnKTD7OwJ6sIAr-SOQo6-aQnr5HbeTg&oe=65640FA0&_nc_sid=8b3546,"“Nunca olvidaré aquella llamada del Real Madrid. Tenía trece años y jugaba en el Real Murcia, el club de mi ciudad. Querían que fuese a Valdebebas, a la cantera, donde están los mejores. Y allí fui con la misma ilusión o más que los jugadores de la residencia; todos con la intención de llegar algún día al primer equipo.

Ochos años en el Real Madrid, cuatro de ellos viviendo día y noche en la residencia. Por eso, mi primer agradecimiento es para sus empleados que se encargan de que a ningún canterano le falte de nada. Ese es el verdadero momento en el que empiezas a aprender los valores de este club único. 

Fui creciendo, ascendiendo de campo a campo, aprendiendo de diferentes entrenadores de porteros, de otros compañeros que competían conmigo. Con cada uno de ellos siempre mejoré. Y de esas experiencias llegó una inolvidable: la UEFA Youth League 2020. Aquella semifinal, el penalti, la final …¡sin palabras!

A partir de aquel título juvenil, todo sucedió muy rápido: Castilla, entrenamientos entre primer equipo y filial, y definitivamente el Real Madrid. Dos temporadas conviviendo con una plantilla increíble y entrenando con el mejor portero del mundo : !gracias,Thibaut, por tus consejos y todo lo que me has enseñado , sin duda te estaré siempre agradecido a ti y al departamento de porteros de Valdebebas por todo . Y no solo eso: jugadores, fisios, médicos, utilleros, etc, … gracias de verdad.

He vivido el privilegio de haber disfrutado de grandes títulos como La Liga, Copa, Supercopa y Mundial de Clubes. Ahora me toca despedirme para seguir creciendo. 

¡Hala Madrid!”",[],21545,303,,2023-07-25 14:33:58,GraphSidecar
