,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/149538440_219850269844926_4031853398397287720_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Egq9HylFKeQAX9Zf02R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBJPZhXt0aa4q9FurnuJqqjAWqajRm4nvwJYvN9_BqrAQ&oe=656A9FC7&_nc_sid=bc0c2c,"On this #ValentinesDay, I think of the brave & inspirational children at @TheChildrensInn @NIH where I visited the past few years. Sending them love & strength, today & everyday. #HappyValentinesDay","['valentinesday', 'happyvalentinesday']",230423,4818,,2021-02-14 14:30:20,GraphSidecar
1,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/194663440_190150816318852_8823678253537390486_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=gHHMukP1jBAAX8t6gDD&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU4NTc3MjI2Nzc2MzIxNzExMA%3D%3D.2-ccb7-5&oh=00_AfBkMN55LNG5altCsbnzWOgtxMlPUtM5SFtpmczp55ncqA&oe=656B3545&_nc_sid=fc8dfb,Today we honor courageous fallen heroes who fought for our freedom! #MemorialDay,['memorialday'],208806,2829,,2021-05-31 13:34:56,GraphImage
2,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/240808574_1037062907081225_6791706900080371577_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTI0eDgwMC5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5BzwluJsvPQAX-gOJE4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY0OTAzMDQ2MjYxMDUzMjExNA%3D%3D.2-ccb7-5&oh=00_AfCR33pGcwIMN2heHHOqCfLsLGO8p0PrGW1ELP-pEHy6EA&oe=6569C079&_nc_sid=fc8dfb,We are praying for the families and loved ones of the Marine heroes killed in Kabul and for everyone who is suffering during this difficult time.,[],202760,6100,,2021-08-26 20:17:41,GraphImage
3,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/178128169_501141924390615_7530848776668811558_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2MzIuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=foOVMgOsHaYAX_uYgGA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU2MTEyNTkxODA2OTU2NDU4Mw%3D%3D.2-ccb7-5&oh=00_AfC7Q0Aib9R8-Qnqit8GbXUO-UEmkz_3gJl2piGLhEAg0A&oe=656A137A&_nc_sid=fc8dfb,Thank you to everyone for the wonderful birthday wishes!,[],178505,7877,,2021-04-27 13:27:02,GraphImage
4,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/241471617_243299117585635_7679694931100310704_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTU4eDExOTMuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=UdTs743wqnQAX9ITKj_&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY2MDM5NDAxNjY2OTY5NjE5OA%3D%3D.2-ccb7-5&oh=00_AfBUqohViYoqPNm5NeUb6LOfxMcwWE_P8BIroj7_Taw49g&oe=656AFC93&_nc_sid=fc8dfb,"On this solemn day of remembrance our Nation honors the 20th anniversary of 9/11. May we never forget the innocent lives that were lost & the selfless heroes who emerged. Let us remember that evil will not break our spirit. God bless our Nation, our military & their families.",[],142610,3101,,2021-09-11 12:35:02,GraphImage
5,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/158591037_923399495100785_7504127837563022308_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi41MjB4MzkwLnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EU3-ZBZrp_YAX-IfQmo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUyNzE1NDQ2NTA4NzQzNDQ0Ng%3D%3D.2-ccb7-5&oh=00_AfD4KOrxJMY1WxYGjP7v7x3An5SkeAPjj5Y_cAHaq6rAdg&oe=656AAF39&_nc_sid=fc8dfb,Today I received a beautiful picture of the children at Chipala Primary School in Malawi using their #BeBest school supplies I sent over the holidays last year. A heartwarming reminder that the message of Be Best is still being heard around the world.,['bebest'],141005,3269,,2021-03-11 16:31:50,GraphImage
6,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/292032542_1103096417269843_2946298357444564201_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDc1OS5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=3yQc8dfII7EAX9WGvMv&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg3NDk3NDg4MDE0NDM1MjAwNA%3D%3D.2-ccb7-5&oh=00_AfDZs4vTQRluDVPxh7PSZunZptxtACMLOkHbvJ5hYbtzIA&oe=656A22B2&_nc_sid=fc8dfb,"Our American Dream is built on the principles of life, liberty, and the pursuit of happiness as expressed in the Declaration of Independence. Together, on this historic day, let’s salute the brave men & women who have fought to establish and preserve our freedom. 🇺🇸",[],124604,2169,,2022-07-04 14:08:54,GraphImage
7,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/253861688_1013256642564540_5008682550133604875_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=N-s2RWBSooAAX_WrMdc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjcwMjcyMjYyOTc3Mzg2OTcwMA%3D%3D.2-ccb7-5&oh=00_AfDN85ofBbUtnpMVfiX8wkFWp1hZYjR1LDcXlJ1xvrEGOw&oe=65696360&_nc_sid=fc8dfb,Melania Trump: ‘Our Futures Are Not Predetermined’  https://www.breitbart.com/politics/2021/11/08/melania-trump-our-futures-are-not-predetermined/,[],121759,2239,,2021-11-08 22:14:26,GraphImage
8,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/254396348_580341913217546_5942942041239850598_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=uDaWTRUk5WoAX9a618o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC8TvUN7dOL_XJ2LpXTh47XJwkFVc5yqzIKHp7vkBD3kw&oe=6569D40D&_nc_sid=bc0c2c,"Over the years, the @LogCabinGOP & @RichardGrenell have been pivotal in uniting people & taking a stand against bullies and labels. Thank you for honoring my work w the Spirit of Lincoln Award. It was an honor to join you to celebrate your accomplishments!",[],110537,1070,,2021-11-09 15:00:57,GraphSidecar
9,melaniatrump,1849594,2,True,False,N/A,81,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/205853162_1459004597779456_5084371095370177058_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=P9TFkYPDv60AX_5HM0_&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYwMzM0OTk4NDI0NzMwOTQ2MA%3D%3D.2-ccb7-5&oh=00_AfBxCGA73I3U8kljaRKZ2Mp9xCmohBE7jBTsSjlYErWqGQ&oe=656A37CA&_nc_sid=fc8dfb,"#repost @a1policy ••• One year ago today, President Trump Signed the Child Welfare Executive Order. Under @melaniatrump @flotus45 leadership, this EO provided a guiding light on the importance of protecting the well-being & outcomes of children in foster care #BeBest

Americans must provide the next generation with the resources and understanding necessary for their own journey as citizens. The America First Policy Institute will research and develop policies to promote the social, emotional, and physical health of children.","['repost', 'bebest']",104334,2463,,2021-06-24 19:38:43,GraphImage
