,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/330701984_189938857013407_1321613959080528457_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NDB4ODYzLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Jp5Iexl9lVkAX9wk9_7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAzODEwNzIzMjM5OTc3NDgwNA%3D%3D.2-ccb7-5&oh=00_AfDBdpmUjWtoWqlf1zA7Fae48802jRwQKpT1TkO4Aroe1Q&oe=656B3B9A&_nc_sid=fc8dfb,Happy Valentine’s Day to my darling Catherine! I love you so much @catherinezetajones ❤️ #ValentinesDay,['valentinesday'],434683,2634,,2023-02-14 16:03:46,GraphImage
1,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/82707399_545549296046210_1703898982678944374_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=6pzvR96iK4oAX-H7zGN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBtHKrBCfpuMj9tkem4_vC_jDhctV6zjBPMcX87o2Aa2w&oe=656A7434&_nc_sid=bc0c2c,"It is with tremendous sadness that my brothers and I announce that Kirk Douglas left us today at the age of 103. To the world he was a legend, an actor from the golden age of movies who lived well into his golden years, a humanitarian whose commitment to justice and the causes he believed in set a standard for all of us to aspire to.

But to me and my brothers Joel and Peter he was simply Dad, to Catherine, a wonderful father-in-law, to his grandchildren and great grandchild their loving grandfather, and to his wife Anne, a wonderful husband.

Kirk's life was well lived, and he leaves a legacy in film that will endure for generations to come, and a history as a renowned philanthropist who worked to aid the public and bring peace to the planet.

Let me end with the words I told him on his last birthday and which will always remain true. Dad- I love you so much and I am so proud to be your son. #KirkDouglas",['kirkdouglas'],210960,18489,,2020-02-05 23:33:30,GraphSidecar
2,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/331092222_591723212464263_7404044210289203076_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43ODV4OTgxLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=0DJj7fTb3FwAX-E60uM&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA0MDI0MTMyMjA1ODAxMTUxNw%3D%3D.2-ccb7-5&oh=00_AfATcZFyMvykOygO_EnZ7I3_kTYtofpGH4P72ngJDOb1WQ&oe=656AE952&_nc_sid=fc8dfb,"Thank you London! Catherine and I had a wonderful time at the Quantumania UK premiere last night. The film hits theaters today! Check it out I know you are all going to love it! 🐜 🐜 🐜 

@antmanofficial @marvelstudios 

#AntManandTheWaspQuantumania",['antmanandthewaspquantumania'],189207,1187,"London, United Kingdom",2023-02-17 14:43:49,GraphImage
3,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/382273053_1471551596722938_4097730298674007128_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjAxeDEyMzQuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=IodYpKJCFiIAX-GREfk&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE5OTM3NDg4NjAzMTE0NDQ4OA%3D%3D.2-ccb7-5&oh=00_AfAa0mHc1IUg0d0T_bqOYKRSdsVYklzWpY-Vxcl4vbl7xQ&oe=656BF2DD&_nc_sid=fc8dfb,"Have a great new year darling! Wishing you a very happy birthday! All my love, Michael ❤️ @catherinezetajones",[],153862,1968,,2023-09-25 04:13:48,GraphImage
4,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/396446778_2498755323638520_5158203430655986629_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjY3eDE1Nzcuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=wAWjL0ApRGkAX-4AjWI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIyNDM3MjY5ODM2ODQ5NTk3MQ%3D%3D.2-ccb7-5&oh=00_AfAtpxDDGjF3xbcvrWDZYcKWo7FulKH-rwNi0WB5lcH7xg&oe=656BEC92&_nc_sid=fc8dfb,"Over 200 men, women, children, and babies have been taken hostage by Hamas terrorists. Noam Avigdori is 12 years old and we need to bring her home now! 

These innocents are currently being trapped within the Gaza strip, and no one has any idea when or if they will be returned home – not even their families.

From infants as young as 9 months, to elderly Holocaust survivors, they’ve been brutally ripped away from their loved ones.

We need to bring them back! @bringhomenow @ccfpeace #BringThemHomeNow",['bringthemhomenow'],138574,10212,,2023-10-29 16:00:00,GraphImage
5,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/242862354_364804588683554_8285470545872101018_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45NDN4NzMzLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=po6HsmDLhYYAX_VJZNi&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY3MDUwODU2ODEyMjY2MDg2NQ%3D%3D.2-ccb7-5&oh=00_AfBoLf6rnXCqP4-tE1AZwtpUiMfNfxNyIyNeJnC1wKo_8w&oe=656BAEAB&_nc_sid=fc8dfb,"My first night meeting Catherine at the Deauville Film Festival in 1998. I found out that she had the same birthday as me--tadaah! Then when I discovered she loved golf, I realized all my fantasies had come true. I've lucked out at this time in my life. I just lucked out. I'm so impressed by her intelligence, sense of humor and work ethic. Happy Birthday Catherine- I love you so much! ❤️ @catherinezetajones",[],127561,3017,,2021-09-25 11:30:50,GraphImage
6,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/139648180_854786915314621_6544912050522377814_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2ODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=mxWD7dLV6psAX_2HzV6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQ5MDEwMDI4MjEwODc1NTkwNw%3D%3D.2-ccb7-5&oh=00_AfC79EIsjI0XU3uvdjLKW4yA-A8LpI6bW5DCE5okdv2BJg&oe=656B43A5&_nc_sid=fc8dfb,"First time I’ve seen my month old grandson, Ryder! 😃 ❤️",[],126658,2882,,2021-01-19 13:31:47,GraphImage
7,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/347180985_1644141466056912_4497935556520757352_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=COQ8KWhZzIYAX-DH0sD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDzukzio2ao25YaNe_5fHE8k2_xhkDyNNAK5HXP8XczBA&oe=656B4F48&_nc_sid=bc0c2c,"Thank you Cannes! I am so honored to receive the Honorary Palme d’Or at @festivaldecannes for my career achievements. Catherine, Carys, and I had a wonderful time celebrating last night! #Cannes2023",['cannes2023'],120753,2141,"Cannes, France",2023-05-17 15:30:01,GraphSidecar
8,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/403910459_881297176545030_8573513208786892044_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0MjUuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=GWC1i7cIUcAAX--cTNi&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzODcxNzQ4MTUwMTEwMDA4MA%3D%3D.2-ccb7-5&oh=00_AfCLdATOQd8LlKhpTaZRcOBNuOEXhViz-fvGVGxN0tOfAg&oe=656C29B8&_nc_sid=fc8dfb,"Happy 23 and Me, my darling @catherinezetajones! Can’t wait for 24! 
Happy Anniversary ❤️ #23years",['23years'],114358,2795,,2023-11-18 11:00:31,GraphImage
9,michaelkirkdouglas,1513549,100,True,False,N/A,446,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/354784750_711115364152239_6167861704134708544_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=qBHbdp8GyNUAX_9Ks7A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEyNzk3NDc2Mzk0MzE5MzcwMQ%3D%3D.2-ccb7-5&oh=00_AfAslQCS8Wjw8el4QOHgkUl9IWah5N6U31CLH5_rMSwV8w&oe=656ACE20&_nc_sid=fc8dfb,"Happy Father’s Day to all! Peace and Love ❤️
📸: @catherinezetajones",[],109184,1386,,2023-06-18 15:54:31,GraphImage
