,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/273724633_271324811645754_8805282793307060523_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=f888b6WDnpsAX8srejH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAL5ykm7bAaO-ZefDDd_eL3q5DfXM8htxc5yr89K_OhBA&oe=6561DCFD&_nc_sid=bc0c2c,Court side w my best friend n what not 😎❤️,[],913798,8437,,2022-02-10 22:40:20,GraphSidecar
1,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/340858733_771523490964467_6119939511545776432_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Tz7PJPs8F7cAX8CPTq6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAadzMldMXNZL15glYTBCRSs9BXJrJuU2svMaugchWEQA&oe=655F61FC&_nc_sid=bc0c2c,Midnight 305 Is live 🇮🇹,[],540496,3211,,2023-04-13 21:17:41,GraphSidecar
2,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/272311398_946481472697907_2398758595980979782_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=DVsSDfV-GPsAX-8DRUK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBbfDBkllqeEeTduIITgFeQ58IA8tJTgpb6RQA4bRzVGA&oe=65626B94&_nc_sid=bc0c2c,🤯,[],393715,2474,,2022-01-24 01:26:20,GraphSidecar
3,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352416477_249921854314953_1028760100105700438_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=A_ROiAAYs7cAX-mb_n7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCxsGQx32vQDpBeW8TSl2C2yKDAwHE2emE0AUnXjWd6EA&oe=656319DE&_nc_sid=bc0c2c,Had the pleasure of attending the Style for Strength benefit @donnakaran,[],381723,2581,,2023-06-08 20:13:19,GraphSidecar
4,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/274065027_907379586599959_6369210907768577339_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Wu0rCwANM4kAX8cs81C&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBfB-y2D4LvdEzih8vOEudkXpyI6EyohqOUvrVSdIn6Wg&oe=6562BD0E&_nc_sid=bc0c2c,In n out,[],378578,3788,,2022-02-17 17:20:44,GraphSidecar
5,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/273044366_970469796911603_7867586509361463920_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=uG80TSU1yDAAX94gg6w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCcx9h9vU-IZSfqZUhvx4Alla8-WHaui33QxZP3l9dn8A&oe=65621897&_nc_sid=bc0c2c,Happy birthday to the queen 👑 my heart❤️❤️❤️,[],352219,3549,,2022-02-02 22:20:19,GraphSidecar
6,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/271511719_748940316102400_1497634668782673064_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=_0VCigqFWZcAX_c6YR5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBAvFIiTKjctml72VnIVMdnbbOKULd7egBKHGDaYeUT0w&oe=65618DC0&_nc_sid=bc0c2c,Me and unc @tracymorgan Coolin watching @rjbarrett casually drop 31 on they heads 🔷🔶🔷 btw Thanks @nyknicks for the love 😎 #Knickstape,['knickstape'],346825,1061,,2022-01-11 03:07:26,GraphSidecar
7,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/276106476_977668316193836_2122990793318135214_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=M5j59CqUrTkAX-nx220&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiF8Ff3AV3aLE345QyMzmmFUW6qNuG-rfKiatrADlyng&oe=65619AAE&_nc_sid=bc0c2c,Having our way 🌲 NOLA showed mad love ❤️,[],339956,1509,,2022-03-21 00:54:48,GraphSidecar
8,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/275332558_1390265348090439_3519391628995681407_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=6DvAL1zfxwEAX_HjVUQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCRkR6AWK-cuuUulL41YnShLBvMLGwC9-IFesIPd0OtMg&oe=6561A795&_nc_sid=bc0c2c,Just having fun with it 🤷🏽‍♂️❤️🍾,[],330728,2470,,2022-03-07 19:23:17,GraphSidecar
9,michaelraineyjr,3107366,487,True,True,Creators & Celebrities,123,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/382171701_18382505452010524_1064782937010289115_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=WjHdclhaj6YAX-iN2qC&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzE5OTIwMjI0NDM1MTIzNzg0NA%3D%3D.2-ccb7-5&oh=00_AfBbdei5I8KdQQwqoFleN6Ex-xQg1Y655sGWS3yuP_MS5Q&oe=6562631F&_nc_sid=8b3546,+1,[],315500,3733,,2023-09-24 22:30:48,GraphSidecar
