,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/327622846_740545487376231_1892117641682622423_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=E2c2G0UQZZ4AX9z7Im9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCoCHGkz4mt5HS20l_VwJLWtbwkjIhNnW43YyVDLq1x9g&oe=656499B6&_nc_sid=bc0c2c,"Oh baby girl, you are already so loved❤️ We can't wait to meet the newest member of our family in a few months!",[],665674,4898,,2023-01-29 18:13:56,GraphImage
1,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/307148175_537313481532082_523763715301476834_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=XKreilyAYjkAX_CZySx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDBcOgskuJd3YRsY8BU7tNXFXpuHZErN5ji6hYkSwVWSw&oe=6565E76C&_nc_sid=bc0c2c,First race of many!🏁 Mom and Dad are more than proud of you Ace!❤️🔥,[],326259,1418,,2022-09-17 16:39:23,GraphSidecar
2,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/266309101_1353704415061946_4130156646420097198_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mtkQNvZD6zgAX88Ui_T&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB5fu4wE1i31LceqxPyvLQtDm5SSGx4SV8RuI1tvrpJ5g&oe=656545A7&_nc_sid=bc0c2c,"Arrivederci😘
📷 @calloalbanese",[],86245,533,,2021-12-12 16:51:25,GraphSidecar
3,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/279570833_389464473068056_8744697240530091011_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=xHAAb5H7Q4gAX-oXqCQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAmai0o57Cmo4vUsMSJw30RpTlu1_N6Nd3r0bYO7PpdaQ&oe=656492E9&_nc_sid=bc0c2c,"Make your nights epic with the new Galaxy S22 series ✨️ @samsungsuomi 
#TeamGalaxy",['teamgalaxy'],79000,332,,2022-05-02 14:22:23,GraphImage
4,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/121594800_201284051387385_6425298677624392836_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=QQT3JRwcrtEAX9n554F&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCAT1dR1F6423y0pgdVmCeASMsBjBfgwTqm9oC-VY5JYQ&oe=6564C3F1&_nc_sid=bc0c2c,Happy birthday @kimimatiasraikkonen 🎂 We love you very very much❤️,[],74691,1356,,2020-10-17 11:33:01,GraphSidecar
5,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/264823395_1350139952110969_2174021487734740059_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=nD7_WxViGMkAX87tXyX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVouzwXa37AUsBGumSYHDPCzzUL_3CM5PuE-BHxMId8g&oe=656617E7&_nc_sid=bc0c2c,Sandpit🪣,[],72248,414,"Abu Dhabi, United Arab Emirates",2021-12-09 12:39:43,GraphSidecar
6,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/227029022_3104651023151384_5626662469635519039_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=kWuOtyDuI0oAX9zmwhO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBna8WBFmpn3oeGPO79tYDFdVaKZy2TIU5lppU1klXPAQ&oe=6565B9D1&_nc_sid=bc0c2c,Best of Saturday🇭🇺,[],58384,229,Hungaroring,2021-07-31 15:53:59,GraphSidecar
7,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/132189376_234252351401306_6365324403190619907_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=97GDYHxc_M0AX-9BDcJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDQqj54GldhcG1xyYZNFeNrj-h7XaF2pdC9m0uZvfgUCQ&oe=6564D4E8&_nc_sid=bc0c2c,Merry Christmas from our family to yours❤️,[],57125,621,"Porkkala, Etelä-Suomen Lääni, Finland",2020-12-24 11:32:55,GraphImage
8,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/267084406_437023641262984_8631197478203640988_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=b-84Ve22N7sAX-r6Akk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDDv4qJvlFH2LBanXaBKAoB1k51qK7BT-Y4GoPMwiq5wA&oe=6565F953&_nc_sid=bc0c2c,"Thank you for all the exciting years @f1 🏁 Now The Raikkonens are ready for new adventures❤  #kiitoskimi
📷 @petercebrian",['kiitoskimi'],55694,219,Yas Marina Circuit,2021-12-15 05:36:35,GraphSidecar
9,mintturaikkonen,298052,87,True,True,None,269,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117176423_307817977235599_3167065437316907406_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=FKVy9HhX_sgAX82HvcG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAvv3FsCzmT0jL7cLdO0Qt1C6Nb-yxdTcmTEnlGirx17A&oe=65658653&_nc_sid=bc0c2c,"Happy 4th wedding anniversary my love❤️ Each year I love you more and more @kimimatiasraikkonen ❤️

""I don't want our lives to be quoted as an example of the perfect marriage, but as the coolest adventure ride that two people ever took.""",[],54564,626,,2020-08-07 05:26:22,GraphImage
