,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/84633664_606288199927764_6606577712566066981_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=wgyirGE9w_oAX8_Z6pp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAkyi_MwzqEX2m7FkG9xt3EA8BTSsNNEpnrWtBd--3kqg&oe=6563955B&_nc_sid=bc0c2c,"Mags, I’ll carry you everywhere. Always. 
RIP Lynn. You wonderful wonderful lady you. X",[],700236,5605,,2020-02-15 17:58:27,GraphImage
1,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/120242586_338643470808954_1711693193840428243_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=5QSB_G7VltoAX_DXpTe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCon5oHmpWH7kGRMhr_c8Vc2T4zBUkFpKuoMA6XASITlQ&oe=6562F9DA&_nc_sid=bc0c2c,"Little Enola so desperately wants to be like her big brother. 
A little gem I caught of the little wonder @milliebobbybrown. Love you little sis. 

For those of you who haven’t seen it already #EnolaHolmes is showing on Netflix now. For those of you who have seen it, I hope you enjoyed it. 🤗

@netflixfilm @legendary",['enolaholmes'],693904,3990,,2020-10-01 12:52:51,GraphImage
2,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/56161537_342322816411072_154713128087539669_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=BwUJSBkSo9wAX84Rcug&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDnXsz9HjpzZtRgt6fXD43z1ahBGePQTp4-6kJYyEtXqA&oe=65625F72&_nc_sid=bc0c2c,"#TBT / and a Happy Birthday to this little beauty. 6 years old today. There have been so many changes in my life over that time, but the one constant, the one thing that has never and will never change is my love and appreciation of her as a best friend. 
So much more than just a dog. 
Happy birthday RoRo x",['tbt'],639772,2858,,2019-04-11 09:05:24,GraphImage
3,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/150680585_835151460550495_3549900568743306256_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=_aEM2qiCqf0AX8_JOWx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDccD-lsbOh854TIXfdBUrWIQBFnWu4SY3l0zm8Hy78sQ&oe=6562AC7B&_nc_sid=bc0c2c,"Love me some pancakes. 
🥞
Happy Shrove Tuesday y’all.",[],616732,3126,,2021-02-16 12:54:42,GraphSidecar
4,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/137628506_209662227470611_5827800607682327917_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=hdfG7hpq1fgAX9-YjCo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfALYpHzXJUPYKRp-IFfUyTU_LE_f8R9BV-wgzhuraVW5A&oe=65632B00&_nc_sid=bc0c2c,"🛏
A series.",[],572453,4693,,2021-01-13 23:28:54,GraphSidecar
5,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/173491144_2930580057224293_4038810837090370457_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=WHwazxV5aNsAX8eyypm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDQ_kO9vlhlaQDlxzPEfl7ULYyEeTBqXYxVDKyC5O0Y1A&oe=6562D8CB&_nc_sid=bc0c2c,"Helen McCrory. 
Thank you for all you have done. For all that you brought. And all you have left. 
You have been a teacher. A guide. A leader. An inspiration. And a friend, to so many.

Any time I was ever fortunate enough to see your face across a crowded room, I felt ok. You were such a strong presence. Such a gifted and versatile actor. Such a kind and generous person.

And you will be missed.
Love and strength to you and yours x",[],569647,3266,,2021-04-16 17:25:24,GraphImage
6,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/123768494_384813546204144_1610998693589147424_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=GLPGAx60coYAX80Y4Xl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfASNCQY2qZGkeWWMhbMokpI7JrI1T_fdP7_GFweWH6NGg&oe=65640CBD&_nc_sid=bc0c2c,🤗,[],531018,3317,,2020-11-04 12:30:07,GraphImage
7,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/170811775_295786912107552_2424569116732264316_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=PPaHGRx-DXgAX9xOW-e&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCjPSBODd8s-z4YMnypUoUIDpMCjC5XKB4x_X954SEf3Q&oe=656370A4&_nc_sid=bc0c2c,"To anyone who needs to hear it.
Keep smiling. 
You got this. ❤️",[],527784,3912,,2021-04-11 00:57:13,GraphImage
8,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/94904749_159661368816446_2917351746582493212_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=xsPq5uDwduUAX9wriBN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdcaGPfvNYI7LbpHdqE9JEd9Sr19bFqHgg2ptPKBCOtQ&oe=656326CC&_nc_sid=bc0c2c,Sweaty sweater 🥵,[],522019,4848,,2020-04-30 16:29:01,GraphImage
9,mrsamclaflin,4062236,539,True,False,N/A,668,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/60059736_816075222081670_5003790041234556021_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=WWNm3l_lmEgAX9nD2XK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGWTiwxTquH0aZsUUSbHrvh6CYqKC8LYqwsDz8Q3ZD3g&oe=6563DAD3&_nc_sid=bc0c2c,"#TBT Catching Fire 2012.
@oeru77 (quite literally ‘the BEST costumer ever’) stitching me up from behind. I miss you sister.",['tbt'],482180,2017,,2019-05-23 19:46:43,GraphImage
