,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/258076895_1001294237097071_3975561521447366818_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=DLXe89UsE7wAX-hAWy5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBcyZu9FmsgxEw12tkKIApgke2gL1ztpz3FN8G8r6UyMw&oe=6566EDBC&_nc_sid=bc0c2c,"Today marks 3 years with this munchkin!! Feels like time really flies by quick when you’re having fun. And I have the best partner in crime to do so. We on that G shit together. 😎😅 
Thanks for the click - @nihalashraf__",[],55232,120,Doha,2021-11-18 17:41:20,GraphSidecar
1,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/81052353_271664867588116_7281209744194505077_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=YO3bfVl_QYEAX_ZUVHJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCI40igR04t8AZoZW9oBns6zNCjopdw5CkOeKhn5eGMzQ&oe=656669D2&_nc_sid=bc0c2c,"Happy Birthday to my partner in crime @tantoo19 ❤️ You’re one of the sweetest, kindest, funniest and most bad ass person I know with the deadliest kicks. Keep kicking ass cutes. Looking forward to more adventures with you. 👊🏻
#tantoo",['tantoo'],45288,128,,2020-06-19 08:16:00,GraphSidecar
2,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/133509959_419243806155535_5828247879894050004_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YoFGjb-zTEAAX97u4bE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD3KHOhqqH4VHiCxcIXr5ZHhmlsE75SVh8GGOQQzjs0nw&oe=65681546&_nc_sid=bc0c2c,Ohhh Christmas 3’s ohh Christmas 3’s how lovely are your colorways. 😋 #christmas #jumpman23 #3,"['christmas', 'jumpman23', '3']",42398,101,,2020-12-27 04:26:54,GraphSidecar
3,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/67735028_1365003737014111_7540400368226232042_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=zyJuFf2yhOAAX9ym5Kb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBh37lCvlSuPtl_U5DWOFvgXgzCASEuuk8x1lseDWPqJQ&oe=65663A38&_nc_sid=bc0c2c,The year has been nothing but fun with this one. Happy one year foo.😋 #1  @tantoo19,['1'],36719,196,,2019-11-18 08:59:36,GraphSidecar
4,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/122026185_151747199990744_467945438335981496_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=2DcTN43EB3cAX_3MYUS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD2ndpOG5r7bF1JbwXkkux_HvBkClzwvqPV8RXOi84jSQ&oe=6567E479&_nc_sid=bc0c2c,Your test results are back Mr @vineethbeepkumar you are officially getting older 😂 Happy birthday brah!! And here’s to getting old together 😅 Have a dope year and see you on the zoom birthday party tonight. 💯🎉#beep,['beep'],36366,182,,2020-10-21 10:41:45,GraphImage
5,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/79439570_164246878130101_6468186814640847097_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=vimmtf_7H6QAX9RhIZz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBSwvpazM60HYR16niqJSTcaKnUVAT3UeKUCL162d6ujg&oe=6567FAF2&_nc_sid=bc0c2c,"It’s beginning to look a lot like 🎄
Right after that pic we stole some Christmas balls from that tree. Look out for your trees people. 😏😅
#christmas #jingleballs","['christmas', 'jingleballs']",31038,123,,2019-12-25 12:39:17,GraphImage
6,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/246867001_1242277239569900_6427697382364416218_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=jrSeB_Vdw1gAX8qOZq2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAJcNc-wjH8VAjy5C2pqQ67lg89CeVAa5SB-jGBWPn_MQ&oe=65677073&_nc_sid=bc0c2c,Happy Beepday to the dude who has had my back from day one!! Here’s to many more crazy times and wish you all the love and happiness brah!! Have a blast yo!! 👊🏻🕺🏻,[],30029,76,,2021-10-21 14:07:35,GraphImage
7,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/73414172_1037489213309904_6777337670858490006_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ODNWl4hPI7MAX_2osqk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBPGtPNlQKwtMmf-o53UgcYoEv1snItZzLaaHh2Ps0H0A&oe=65670F06&_nc_sid=bc0c2c,"When they ask if you want Pineapple on your pizza. 😤
.
#hellnaw #pineapplepizza #thanksbutnothanks","['hellnaw', 'pineapplepizza', 'thanksbutnothanks']",28202,99,,2019-11-21 10:54:55,GraphImage
8,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/130773665_227609262088575_7348251885742770319_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=9NQjZpMvCK8AX8TwQUD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD2Dy_ApAugVqwUx0coSm068ABUjQ1cOWFsHOFg31f3Lg&oe=65669A30&_nc_sid=bc0c2c,"Bad hair day but a good “Hare” day. If you know what I mean. 😎 #jordanhare #jumpman #jordindian #esbr 
📸- @sunilino","['jordanhare', 'jumpman', 'jordindian', 'esbr']",26375,97,,2020-12-14 08:18:58,GraphImage
9,naseralazzeh,432294,1347,True,False,N/A,977,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/79815495_241411883509080_3473133343258576968_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=gyMD8t0cbL0AX_4fZ2v&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAaQdA13EVZQU2yN2z3AeSMx3-iRQZP9tvNlSNQ4SQkwA&oe=65675E3E&_nc_sid=bc0c2c,"Caption this..
Here’s mine- When you fart and blame the dog and she believes you. 😏
#imrunningoutofcaptions",['imrunningoutofcaptions'],26176,199,,2019-12-08 08:42:36,GraphImage
