,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/364426815_3514827678796126_252237358624396336_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=3ENjp8a9RGMAX-vXV1Y&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDuMET-ls4xO085Ue1nTHWm0ewN83bqRQbPO3mdaaTkRw&oe=656334B3&_nc_sid=bc0c2c,Now & Then with @taylorswift 💜,[],2246779,98,,2023-08-04 17:56:06,GraphSidecar
1,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/118071727_137977394642091_6592795139500562975_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hHsCE5deuLUAX8HJ2DP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDszHU8PfBD2KoMSDpUATsAvWxFZv3urX1Y9L2F_JunQw&oe=65641648&_nc_sid=bc0c2c,"Happy Bithday Dad❤️ I miss your smile, laugh and big bear hugs. Happy Birthday to the best movie buddy I could have ever asked for. I will always remember our late night drives to the movie theater with the windows rolled down and listening to our favorite songs. I love you forever and always.  Always,  Slim",[],1225045,11539,,2020-08-23 17:14:57,GraphImage
2,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/95096108_264570578265794_6463730311348069359_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=LERxtrbhiwkAX_dUojA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGT4eTYa6hkeSBc8GWrO8KqQFtULrMB6L8jzIodh8B5g&oe=65627D42&_nc_sid=bc0c2c,Happy 14th Birthday Gigi! ❤️ I miss your smile everyday but I know you’re always smiling down on us from heaven with daddy.I LOVE YOU. 👼,[],1012470,11055,,2020-05-01 21:04:02,GraphImage
3,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/132779401_403039860939864_7805902063716461659_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=3krt8mI02v8AX_eotNM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDnFJ5EilVniASNdPyDvRfdp0FndyNqS2AFqnwBySxIoQ&oe=6563B762&_nc_sid=bc0c2c,Merry Christmas❤️,[],1015518,3930,,2020-12-25 19:21:09,GraphSidecar
4,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/186767288_212402883821585_3470224296813542445_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=I98lyef9LmoAX-fbgMK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAKE-WGuCoKIiiKRjIhOINbZ9-hkNs3v-oH8_avAuCG0A&oe=656411C7&_nc_sid=bc0c2c,Prom! 💗,[],925238,62,,2021-05-18 05:49:05,GraphImage
5,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/157124761_784222652214450_1363721652761917040_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=exe8GyOfG1AAX9wRruh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCJBovRPAilXEojvTQMXWGYKd5tXlrp-EgSFAuNAgULSw&oe=65626DB5&_nc_sid=bc0c2c,Had so much fun today with @mason.poole 🤍,[],789897,8313,,2021-03-06 05:26:57,GraphImage
6,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/279523368_1423839041359812_8467656483863877305_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=WyE5E5sIcY0AX_IyWkL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDF8qtMu8NXWL0o_unUhHM0NI5mnzCSOTSE_0xznu4rSw&oe=65628AEB&_nc_sid=bc0c2c,happy sweet sixteen my dearest gigi♥️I love you to the moon and back 🌙forever & always.,[],782614,132,,2022-05-01 14:27:00,GraphImage
7,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/240408573_349015253604815_5167872758915894446_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=BeqAVPAmepUAX9HVX4R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDBkQEsMsoRT5aj4hsYr2o0qldKO7_fAHDQAj3VYOim6A&oe=6563EEB0&_nc_sid=bc0c2c,Happy Birthday Daddy ❤️,[],741207,44,,2021-08-23 17:28:43,GraphImage
8,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/122770647_590569804988435_5466218650730434563_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ukXN55-elYUAX_nTn7W&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiVzPTAQInw1X2cBf9T-_-NeEu-987HIidAslCQLAlRQ&oe=6562C5E5&_nc_sid=bc0c2c,,[],727636,2877,,2020-10-28 03:49:59,GraphImage
9,nataliabryant,2992898,1018,True,False,N/A,329,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/104372085_156614835918122_6993826833693464048_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=RRGosBuGBdkAX-HOwFT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA-OnsYzPZseJ2gvK1kPySXms2cgS7N8z54IvPJWZ3Ycw&oe=6563806A&_nc_sid=bc0c2c,"Happy Father’s Day to the best dad in the world. I love you❤️ Always, Nani",[],722082,5059,,2020-06-21 17:52:19,GraphImage
