,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/264896691_252007670195748_854476738145349551_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45OTl4OTk5LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=UvmgOVCOzFAAX-D4mD2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjcyNDM2MjUzMTcxMzg1NTI4Nw%3D%3D.2-ccb7-5&oh=00_AfCiHyskxx-HFdfS8Brm0k26QGzJIBc7SJA_M4ByMJWdZA&oe=6566D6BF&_nc_sid=fc8dfb,"The device will supposedly allow patients with no control over their limbs to interface with digital devices with similar technologies, allowing quadriplegics to order shopping, communicate with friends, and browse the web directly with #brain waves. 🧠

#neuralink #2022 #elonmusk","['brain', 'neuralink', '2022', 'elonmusk']",6671,204,,2021-12-08 18:49:03,GraphImage
1,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/118416722_2627451247569434_8112283325089694975_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=OPqe-qlYzKcAX9mSDTN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAjZaa6Rh4OUKiQz8lAjepn6S39gTeXgaYedbXTf1_2lg&oe=65642409&_nc_sid=bc0c2c,"Three Little Pigs 🧠

Gertrude the pig implanted with a Neuralink device during a presentation. Neuralink puts computer chips in pigs' brains in bid to cure diseases. 

Implant could solve ailments such as memory loss, hearing loss, depression and insomnia. 

Over the longer term, Musk said the system could help people store and replay their memories, upload their minds and download them back into robotic bodies, or merge their consciousness with AI agents.

___________________________________________________
#elonmusk #28aug #neuralink #elon #28augneuralink #ai #brainmachineinterface #spaceX #solarcity #hyperloop #engineering #bmi #boringcompany #braincomputerinterface #theboringcompany #tech #bci #openai #starlink #brain #falcon #matrix #falconheavy #tesla #science #technews #robotic #artificialintelligence  #technology #implant","['elonmusk', '28aug', 'neuralink', 'elon', '28augneuralink', 'ai', 'brainmachineinterface', 'spacex', 'solarcity', 'hyperloop', 'engineering', 'bmi', 'boringcompany', 'braincomputerinterface', 'theboringcompany', 'tech', 'bci', 'openai', 'starlink', 'brain', 'falcon', 'matrix', 'falconheavy', 'tesla', 'science', 'technews', 'robotic', 'artificialintelligence', 'technology', 'implant']",6283,173,,2020-08-29 15:39:24,GraphSidecar
2,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/131896851_3918994761466348_7996366888724194452_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3MTYuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=vho5yn6razAAX-o66e9&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQ2ODUzNTA3OTkwOTc0NjE4Nw%3D%3D.2-ccb7-5&oh=00_AfBIXf9m3bKbYbFdngQ7hK9jZc-Owa81Vwa2M-8DQuD5bA&oe=65682D86&_nc_sid=fc8dfb,"🧠—The Link —>🖥

The first neural implant that will let you control a computer or mobile device anywhere you go.

Micron-scale threads are inserted into areas of the brain that control movement. Each thread contains many electrodes and connects them to an implant, the Link.

___________________________________________________
#elonmusk #neuralink #elon #ai #brainmachineinterface #spaceX #solarcity #hyperloop #engineering #bmi #boringcompany #braincomputerinterface #theboringcompany #bci #openai #starlink #brain #falcon #tesla #science #robotic #artificialintelligence #implant","['elonmusk', 'neuralink', 'elon', 'ai', 'brainmachineinterface', 'spacex', 'solarcity', 'hyperloop', 'engineering', 'bmi', 'boringcompany', 'braincomputerinterface', 'theboringcompany', 'bci', 'openai', 'starlink', 'brain', 'falcon', 'tesla', 'science', 'robotic', 'artificialintelligence', 'implant']",6281,158,,2020-12-20 19:25:34,GraphImage
3,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/227461576_827544177949170_3103348406141380038_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43OTl4Nzk5LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=rkE43TkBHzAAX9wpn1s&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYzMDEzNDMxNjUxMDc5MzQxNw%3D%3D.2-ccb7-5&oh=00_AfDQQXV0m7m8FdVa5Z6KFNZYbLzOltLcFmsQfdXMN-WiLg&oe=65665F46&_nc_sid=fc8dfb,"Neuralink, has raised $205 million from investors including Google Ventures, Peter Thiel’s Founders Fund, and OpenAI CEO Sam Altman. 

The series C round, announced in a blogpost Thursday, was led by Dubai-based Vy Capital.

It comes two years after Neuralink raised $51 million. Total investment in the company now stands at $363 million, according to start-up tracker Crunchbase.",[],5402,52,,2021-07-31 18:34:25,GraphImage
4,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/118467582_301358591150585_2045987263443761089_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45OTB4NjE5LnNkciJ9&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=MhNRNgwarlMAX_fFfNM&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM4NjAyOTM4OTg2NjIyOTM0NQ%3D%3D.2-ccb7-5&oh=00_AfBElunsti0Lt1C8rQYN_NoKMaxTnltEMA7_6dVIOXm4-w&oe=65678BC5&_nc_sid=fc8dfb,"Take a closer look at new surgical robot 🧠

Neuralink surgical robot can be separated into three main parts: The head, the body and base. The head of the robot is that helmet-like piece, which actually holds the head of the patient. 

It also includes a guide for the surgical needle, as well as embedded cameras and sensors to map the patent’s brain. The intent of the design of this piece, which includes a mint-colored interior, is to give the robot “an anthropomorphic characteristic” that helps distract from the invasive nature of the procedure. There are also single-use disposable bags that line the interior of the helmet for sterile operation.

_______________________________________
#neuralink #bmi #brainmachineinterface #braincomputerinterface #bci #implant #elonmusk #elonmusknews #brain #surgicalrobot","['neuralink', 'bmi', 'brainmachineinterface', 'braincomputerinterface', 'bci', 'implant', 'elonmusk', 'elonmusknews', 'brain', 'surgicalrobot']",4942,95,,2020-08-28 23:21:30,GraphImage
5,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/158746879_443155530097769_7146631201744887212_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44MDB4NjA5LnNkciJ9&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=F4t6tqn9TGEAX9HeJSc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUyNjQwMzY0OTEwNDQ5Njc5MQ%3D%3D.2-ccb7-5&oh=00_AfCaHxgqwfin41Rmm1xfR0p0mV_eM4ODjtZyWBQ9iDopMg&oe=656700E5&_nc_sid=fc8dfb,"🧙‍♂️🧠Elon’s wizard hat plans cannot be properly understood until your head’s in the right place.⬇️⬇️⬇️

For thousands of years, our language hasn’t evolved past writing. Sure, our methods have gotten more advanced, but it has essentially remained the same, as we still type out individual letters on our phones or speak.

BCI’s could turn telekinesis into reality- being able to send thoughts and even emotions to your friends and family wirelessly from anywhere in the world. And instead of describing your thoughts in words, you send them in a “raw” format; the abstract concept in your mind before you form it into a word. Multi-dimensional concepts that would otherwise take thousands of words to explain, could all the sudden become intuitive to others in seconds.

___________________________________________________
 #neuralink #telekinesis #elon #ai #brainmachineinterface #engineering #bmi #elonmusk #braincomputerinterface  #bci #openai #elonmusk #starlink #emotions #brain #falcon #matrix #raykurzweil #tesla  #science #robotic #artificialintelligence #implant","['neuralink', 'telekinesis', 'elon', 'ai', 'brainmachineinterface', 'engineering', 'bmi', 'elonmusk', 'braincomputerinterface', 'bci', 'openai', 'elonmusk', 'starlink', 'emotions', 'brain', 'falcon', 'matrix', 'raykurzweil', 'tesla', 'science', 'robotic', 'artificialintelligence', 'implant']",4838,114,,2021-03-10 15:40:05,GraphImage
6,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/118651329_308815127016604_4968667756610829399_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=m8-CgZJRVIMAX_yeG6o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCMwwPEKLz_Y4SYm5tILfD1P_bLa8yTpsQCBDII_ZbpHQ&oe=6566A92E&_nc_sid=bc0c2c,"LINK V0.9 chip, which now has the shape of a thicker coin, has been able to be compacted into a single unit 23 mm x 8 mm that includes battery, sensors, chip, and transmitter. 

LINK would be implanted surgically by a robot - also developed by Neuralink - that uses real time detection to locate and avoid blood vessels on the surface of the brain when inserting the wires. When implanted LINK ends up within the skull and flush with the bone, covered by the skin, and connected via bluetooth to the user's phone. Just like many other wearables, the device would be charged by induction overnight for an all-day battery life. 

“...it’s a fitbit in your skull with tiny wires” said Elon while showing a physical sample of the implant.

According to Neuralink team, getting a LINK implanted would be relatively easy. The robot is able to perform the surgery in less than an hour and without general anesthesia, meaning that the patients would be able to leave the hospital on the same day. Regarding availability, Musk expects LINK implantation to be similar to a procedure like LASIK - quick and relatively low-cost. 

____________________________________
#elonmusk #28aug #neuralink #elon #28augneuralink #ai #brainmachineinterface #spaceX #solarcity #hyperloop #engineering #bmi #boringcompany #braincomputerinterface #theboringcompany #bci #openai #starlink #brain #falcon #matrix #falconheavy #tesla #science #robotic #artificialintelligence #implant","['elonmusk', '28aug', 'neuralink', 'elon', '28augneuralink', 'ai', 'brainmachineinterface', 'spacex', 'solarcity', 'hyperloop', 'engineering', 'bmi', 'boringcompany', 'braincomputerinterface', 'theboringcompany', 'bci', 'openai', 'starlink', 'brain', 'falcon', 'matrix', 'falconheavy', 'tesla', 'science', 'robotic', 'artificialintelligence', 'implant']",4795,126,,2020-09-04 17:39:19,GraphSidecar
7,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/117829286_502399927294774_3876958663577105231_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjAweDg0OC5zZHIifQ&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1dc56bvcy20AX8SMoCy&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM3ODY4Njk1MDQ1MzAzNTUzNA%3D%3D.2-ccb7-5&oh=00_AfBr8I1Uz9b48XHYdyZdeFSN41SvvVO7n3Vt3P8L4BTlqA&oe=6567F892&_nc_sid=fc8dfb,"Neuralink’s N1 chip can control a host’s emotions and mode by emitting waves that are outside of natural frequency and amplitude. 

The original function of the chip was to help people with severed spinal cords restore mobility, but can now alleviate stress and anxiety by balancing hormone levels in the brain. 

More light will be shed on the topic at an event scheduled for August 28.
__________________________________________
#elonmusk #neuralink #elon #quotes #teslamotors #spaceX #solarcity #hyperloop #engineering #occupymars #gigafactory #boringcompany #teslaroadster #theboringcompany #bci #openai #starlink #brain #falcon #falcon9 #falconheavy #elonmuskmemes #elonmuskquotes #science #astronomy #ironman #tesla #scientist #space #nasa","['elonmusk', 'neuralink', 'elon', 'quotes', 'teslamotors', 'spacex', 'solarcity', 'hyperloop', 'engineering', 'occupymars', 'gigafactory', 'boringcompany', 'teslaroadster', 'theboringcompany', 'bci', 'openai', 'starlink', 'brain', 'falcon', 'falcon9', 'falconheavy', 'elonmuskmemes', 'elonmuskquotes', 'science', 'astronomy', 'ironman', 'tesla', 'scientist', 'space', 'nasa']",4658,213,,2020-08-18 20:13:23,GraphImage
8,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/160398729_260438545795630_6356411365147594644_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KajvuEutuY8AX9ZzjsH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDIoxe9Zn9OaqZwaoVLPOpS6yv37cMtRLSXRImUtJTNBw&oe=65680FDC&_nc_sid=bc0c2c,"This robot has the ability to make the precise movements necessary to install the threads into your brain. It sounds like a simple task, but at the small scale that the threads are, it becomes a task that’s about as complicated as landing a space rocket safely back on Earth — something Musk is all too familiar with.

“These things are really, really small. You really can’t manipulate them with your hand. The threads are peeled off one at a time by the robot to place into the brain… So we had to build a surgical robot… The surgery is not possible without the robot.”
- Max Hodak, President of Neuralink

#neuralink #telekinesis #elon #ai #brainmachineinterface #engineering #bmi #elonmusk #braincomputerinterface  #bci #openai #elonmusk #starlink #emotions #brain #falcon #matrix #raykurzweil #tesla  #science #robotic #artificialintelligence #implant","['neuralink', 'telekinesis', 'elon', 'ai', 'brainmachineinterface', 'engineering', 'bmi', 'elonmusk', 'braincomputerinterface', 'bci', 'openai', 'elonmusk', 'starlink', 'emotions', 'brain', 'falcon', 'matrix', 'raykurzweil', 'tesla', 'science', 'robotic', 'artificialintelligence', 'implant']",4496,53,,2021-03-17 15:51:00,GraphSidecar
9,neura.link,96062,34,False,False,N/A,115,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/116696726_299074494674141_4309806599315721635_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EDdVUIE_UxkAX9C37Iu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBqdk-iA93EWrJuZsOgIzKkUR2b7TLAMgjF6dnn9KUlxQ&oe=6567AC48&_nc_sid=bc0c2c,"🧠 To restore some human functionalities, neurons in a damaged brain must be recovered and given the ability to move and function normally again. 

Neurons are nerve cells that are responsible for communicating with other cells through synapses.

To work correctly, neurons must fire at different times, depending on the activity that is being performed. However, those with handicaps or neurological diseases lose functionality of these neurons. 

Neuralink’s technology aims to restore the use and integrity of neurons through an implantable chip in the human skull.

__________________________________________
#elonmusk #neuralink #elon #quotes #teslamotors #spaceX #solarcity #hyperloop #engineering #occupymars #gigafactory #boringcompany #teslaroadster #theboringcompany #bci #openai #starlink #brain #falcon #falcon9 #falconheavy #elonmuskmemes #elonmuskquotes #science #astronomy #ironman #tesla #scientist #space #nasa","['elonmusk', 'neuralink', 'elon', 'quotes', 'teslamotors', 'spacex', 'solarcity', 'hyperloop', 'engineering', 'occupymars', 'gigafactory', 'boringcompany', 'teslaroadster', 'theboringcompany', 'bci', 'openai', 'starlink', 'brain', 'falcon', 'falcon9', 'falconheavy', 'elonmuskmemes', 'elonmuskquotes', 'science', 'astronomy', 'ironman', 'tesla', 'scientist', 'space', 'nasa']",4150,109,,2020-07-31 18:42:16,GraphSidecar
