,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/328368119_553348280099131_6449108037723452110_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=F--Z7tb94pwAX8HTKgq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB0BvppYdC-pQ6LxUEtBzbdd3WsNrxuG8kSTokUNiiQrA&oe=65630BAC&_nc_sid=bc0c2c,"𝐅𝐞𝐛𝐫𝐮𝐚𝐫𝐲 𝟏𝟔, 𝟐𝟎𝟐𝟑 𝐢𝐧 𝐏𝐚𝐫𝐢𝐬 🖖🏼🖖🏾🇫🇷",[],271721,1348,,2023-02-16 12:39:58,GraphImage
1,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/376857129_327268993026305_838004675951596619_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=H3a8efGsgzAAX_Y6cUp&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE4Njk5MDMwNDU0ODg1NzU4MA%3D%3D.2-ccb7-5&oh=00_AfDQsrwPDJ5NyVO5YbwLEsRTplylCDGRS1G1gAJ_oeJKLg&oe=6562C524&_nc_sid=8b3546,Thanks for visiting @kendricklamar 🇯🇵,[],134819,341,,2023-09-08 02:07:51,GraphImage
2,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/398223456_18396501739034115_8336692681100716975_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Z5M5TDmjAvgAX-1qDFS&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyNTc1MjE3NTgyODA1MjczOQ%3D%3D.2-ccb7-5&oh=00_AfAe_S3-hJ6y5llfdnYjOLvbFU6QXQdsGd72uBUnrIZ25g&oe=65627069&_nc_sid=8b3546,"We're honored to present ""From Me To You"" — @nigo's archive collection for auction at @joopiterofficial.

In 2003, during my first visit to Tokyo, I got to meet NIGO in person and what I saw changed my life forever. NIGO blew me away with his taste and curation. Everything he bought was an investment, something that clearly fit in a defined collection.

Looking through these pieces, it's like walking down memory lane for me. So many of these items are from iconic moments in fashion and culture, it's a history lesson.

""From Me To You"" bidding opens Thursday, November 9 on JOOPITER.com",[],130608,920,,2023-10-31 13:40:46,GraphImage
3,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/261530703_1216686932173892_1417256901930983640_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=DJ3_NFaOBFUAX8Q5JPb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNjnlsH7B6MJHyFdxK2gHjAEhK5c1lf-olu8ugtJ99Yg&oe=656316B1&_nc_sid=bc0c2c,"The fashion world changed completely with his arrival. 

But, not only in fashion - it it is difficult to understand the extent of his influence. 

He used to say that he was greatly influenced by me, but now I can’t imagine myself without Virgil’s presence. 

It’s so sudden - I can’t accept his death. I am full of thoughts of gratitude beyond my power to express. 

Thank you Virgil. 

May you rest in peace.",[],121808,776,,2021-11-29 10:09:41,GraphImage
4,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/347670900_990475515659094_4454025273312381829_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=103r_R4uJkUAX9IYbxR&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwNzY0NjYwMDYwODk0MzQyNA%3D%3D.2-ccb7-5&oh=00_AfAglHBhaOGvIdSc9HbtD-vrjpzl5bWe75PiyWaxG_n5HA&oe=6561D9DE&_nc_sid=8b3546,𝚃𝚑𝚊𝚗𝚔 𝚢𝚘𝚞 𝚏𝚘𝚛 𝚟𝚒𝚜𝚒𝚝𝚒𝚗𝚐 𝚖𝚎 🫱🏼‍🫲🏾,[],90773,299,,2023-05-21 14:46:05,GraphImage
5,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/335771423_899097677873153_7337607608685922826_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=uXKn8zz2imsAX-1PwWY&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1OTU2NTU1MTI3NDY1MjUyMQ%3D%3D.2-ccb7-5&oh=00_AfBKUYIiUG-r_aIRixT533LyZtZnAXQOoBXyVQAtdjMg6A&oe=6561CF09&_nc_sid=8b3546,Welcoming our new advisor @kaws to the HUMAN MADE team 🫱🏻‍🫲🏼,[],56867,449,,2023-03-16 06:37:37,GraphImage
6,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/401165240_17953052168701754_629802000341554042_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=5JeKq_r3-ccAX_1OEYd&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzMzk3MjA3MTUwMDAxNjMzNg%3D%3D.2-ccb7-5&oh=00_AfAriROokPuE7HcL8Yx0KcqqhQIhHJPa0kWJu9qdSZYbJg&oe=65635411&_nc_sid=8b3546,"Preview From Me To You, the archive collection from @nigo at 60 White Street, NYC through Nov 12.

The From Me To You auction is open for global online bidding through  Nov 16 on JOOPITER.com",[],38821,143,,2023-11-11 21:52:15,GraphSidecar
7,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/366457862_992691442050549_6445750053756381365_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=pRawwjGdXVwAX_ZeYSw&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE2NjUzMDc0NTI3NTgwOTExMQ%3D%3D.2-ccb7-5&oh=00_AfAzbohpxeem7VJdSHhSyZWxPxoPYuEI-iixtlBBKEHS6g&oe=6561CCDE&_nc_sid=8b3546,"𝗔𝘀 𝗽𝗮𝗿𝘁 𝗼𝗳 𝗗𝗶𝘀𝗻𝗲𝘆 𝗖𝗿𝗲𝗮𝘁𝗲𝟭𝟬𝟬, 𝗜 𝗺𝗮𝗱𝗲 𝗮 𝗹𝗶𝗳𝗲-𝘀𝗶𝘇𝗲 𝗬𝗢𝗗𝗔 𝗽𝗮𝗽𝗲𝗿-𝗺𝗮𝗰𝗵𝗲 𝗳𝗶𝗴𝘂𝗿𝗲. 
𝗧𝗵𝗶𝘀 𝗼𝗻𝗲 𝗮𝗻𝗱 𝗼𝗻𝗹𝘆, 𝗵𝗮𝗻𝗱 𝗰𝗿𝗮𝗳𝘁𝗲𝗱 𝗱𝗲𝘀𝗶𝗴𝗻 𝘄𝗶𝗹𝗹 𝗯𝗲 𝗱𝗼𝗻𝗮𝘁𝗲𝗱 𝘁𝗼 𝗯𝗲𝗻𝗲𝗳𝗶𝘁 𝘁𝗵𝗲 𝗠𝗮𝗸𝗲-𝗔-𝗪𝗶𝘀𝗵® 𝗳𝗼𝘂𝗻𝗱𝗮𝘁𝗶𝗼𝗻. 

#disneycreate100 #disney100
@disneystyle @makeawishintl","['disneycreate100', 'disney100']",29545,151,,2023-08-10 20:38:22,GraphImage
8,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/397323165_247314694989245_1293934821331117296_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=bh5sS0DJccAAX-3BI0O&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyNzYxMjU2MTI4OTQ5Mzk2NQ%3D%3D.2-ccb7-5&oh=00_AfBbd1UYVj-kWoAoqUKEXJNLm2tbCvgHglKlwC8CpSZPUg&oe=6563434A&_nc_sid=8b3546,Otsumo Plaza opens November 4th 🎉,[],18804,79,,2023-11-03 03:17:02,GraphImage
9,nigo,1490004,3,True,False,N/A,14,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352183449_1308356636724889_8082264373058978975_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=UHNyh-G82W0AX9AFhUV&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExOTk1NjY5MzYxMDM3MTgyMQ%3D%3D.2-ccb7-5&oh=00_AfDMNV9JpyLUfsB70OeUD0NpL8gt9pSNDhUNwKM272Sctg&oe=6561F12D&_nc_sid=8b3546,LVMH PRIZE 2023 ⭐️,[],17766,115,Louis Vuitton Foundation,2023-06-07 14:24:02,GraphImage
