,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/376258141_18390290236051481_2659911908838855907_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=NcpoWZEfF4MAX_05hMD&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfB5F6jZh_2qI_Az-eA-3vmkJ3BDCe8q4_vVrnshukzWyw&oe=6563AF01&_nc_sid=bc0c2c,14.09.23 ☀️,[],2964383,28540,,2023-09-14 19:08:59,GraphImage
1,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/343259163_626516685585753_7510438437736615410_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=HuXy1fkhx7MAX-V-ZOH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCeKOQ7Uozm86LGjNtYAtw0mE03g1MJk1AgTu1bFEw1HA&oe=65639A33&_nc_sid=bc0c2c,"Recordando un descanso al alma en mi precioso Costa Rica🇨🇷💭🔌💚🔋…
Pura Vida!",[],1223145,5056,,2023-04-25 19:30:48,GraphSidecar
2,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/395780494_250349180994646_7960443222745366594_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=V1eNazeIpUkAX859w9c&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyMzE4MTgzMDY5NzIxOTY2NA%3D%3D.2-ccb7-5&oh=00_AfCux06qPqh5f1DKRpQYmGfJxw5K8lXLd6Z1WOelK1ZhbA&oe=656246B8&_nc_sid=8b3546,"Una preciosa noche más para recordar mami.. 🌹❤️‍🔥
@voguemexico",[],1195249,4841,,2023-10-28 00:33:58,GraphSidecar
3,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/180875588_821451898467473_7644696750664185040_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=AfDw5cdxWAMAX_11aoG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVDlz1C4w0Yp3heox36_ESkjHgg5QKAakGofjWZ2VrRg&oe=6562D95B&_nc_sid=bc0c2c,,[],867305,7324,,2021-05-04 01:54:21,GraphSidecar
4,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/118857942_1549502665260350_494592769581578415_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=urtSOPWppmoAX_ZSA4A&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAamvBKmaGwkoP9_jOh97fFuLjpPGWyemlzp_SG4_JEHQ&oe=65631D39&_nc_sid=bc0c2c,,[],816943,8276,,2020-09-10 01:54:04,GraphImage
5,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/280252068_3294608714201278_1414623418767138894_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=ZnPc8z6B0dEAX96L8iF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCoEixgVgQ_kr6RrzAzjZZqCkhDenYGsnzTslis_dm3Tw&oe=6562F761&_nc_sid=bc0c2c,💚✨🌼,[],754599,8278,"Los Angeles, California",2022-05-13 06:53:25,GraphSidecar
6,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/403820843_332370612728794_8306885362345596816_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=LBqK0IUAiDEAX9UUlYr&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzODIxODk3OTQwMjYxMzA0NQ%3D%3D.2-ccb7-5&oh=00_AfCX3JiQIHd3xQc3g5pY_Y6yGiJvPz1c5dIj-sdJOvLLKw&oe=65639936&_nc_sid=8b3546,"De esas noches preciosas inolvidables ❤️‍🔥🥰🌹…
🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽

GRACIAS A TOD@S LOS QUE SINTIERON FORAJIDO EP2!!!!
NOS LLEVAMOS EL GRAMMY!!!!
LOS AMO CON TODO MI CORAZÓN 
FORAJID@S!!!!!💚🫂🥲",[],705463,2053,,2023-11-17 18:30:06,GraphSidecar
7,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/104168360_298342518020317_2800012301448770435_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=9vvIqkfwHD4AX_lqJRJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD9c3WPNed-HeTRtYHi-V5c6ET_Ls_lKhpd4oQt4nw8lQ&oe=65642151&_nc_sid=bc0c2c,,[],692475,7685,La Vida Es Bella,2020-06-22 03:44:02,GraphSidecar
8,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/284994038_1054984625130323_7156079232237116964_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=QD7M_6eqN9YAX_DsJf8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDOvMYc0TlWsVoa8HS5UL3GetCzRgM2_f4xxaDIJMJU6g&oe=6562A5AC&_nc_sid=bc0c2c,#Forajido,['forajido'],640134,30948,,2022-06-01 03:55:24,GraphSidecar
9,nodal,10038334,182,True,False,N/A,74,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/332919650_565249698889521_3062342241607319205_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=-WLRg0DRXA0AX8Fxg8o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAPMTtqAXH8IwsKMFl55dEqd14tPfEu594iB0-bCNYqcA&oe=656280FC&_nc_sid=bc0c2c,"Pero que noche tan preciosa me toco vivir en @premiolonuestro!✨
Toco poner la bandera de México bien arriba 🇲🇽 🔥
Gracias a todos mis fans por todo el amor y apoyo🌹 se dejaron sentir!
El forajido se llevó 2 premios a casita💚.
LOS AMO🫶🏻",[],624823,3554,,2023-02-24 19:40:37,GraphSidecar
