,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/130471639_448970046468934_3898600218521492478_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=QQcLErB_yr0AX82oQjO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDCmIemYxnfVjKHqTtRP9rNNamDNhvYcS9mIe5zznlYOQ&oe=65642FC0&_nc_sid=bc0c2c,"It's the final chance to enter our #GiftAGamer Celebration!🌟💚🎁

How?
1. Like this photo.
2. Tag a fellow Cyberpunk 2077 fan you know in the replies with #GiftAGamer
3. If selected, you + the friend you tagged BOTH win these collectors edition Cyberpunk 2077 RTX 2080 Ti GPUs!","['giftagamer', 'giftagamer']",131481,46793,,2020-12-11 19:26:17,GraphImage
1,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/104430313_301204381009161_1023421819159626389_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=U1Rmfbg4lP0AX8jlfFX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAts3FEJ2riL0WQdzdgmNEipM4iuUoyEYt6XSQpPQwQ5A&oe=65642042&_nc_sid=bc0c2c,"**GeForce RTX 2080 Ti #Cyberpunk2077 Edition has entered the chat** ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀
And for our Summer of RTX sweepstakes we have 7️⃣ to giveaway. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Want one? 
1. Like this post 👍
2. Reply with #RTXOn 💬
3. Tag 3 gamers 👥","['cyberpunk2077', 'rtxon']",124742,51658,,2020-06-23 16:05:58,GraphImage
2,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/118649440_610711999469747_2420260170058593621_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=sJWywAL-B0UAX8rzY6d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAJWTB0vUeEE6oH_wTYniqD0nlWTfbu_1fI-fb6DDd2DA&oe=65644E09&_nc_sid=bc0c2c,"Today’s #UltimatePlay Card Spotlight: 
@teamevga 

⚫ EVGA iCX3 Cooling
⚫ ARGBW Lighting + Backplate LED
⚫ Built for EVGA Precision X1
 
Want your chance to win this card?

1. Like this post
2. Reply with #UltimatePlay","['ultimateplay', 'ultimateplay']",106878,38220,,2020-09-03 16:50:33,GraphImage
3,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/126068439_2803045689964736_3453620858920347541_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=OdAZbfjU9scAX-thwdx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCPSvuCaQbl8_YD5dOdW64g1h7ZfVZfF8rpkNqlcIh0uw&oe=65646BE5&_nc_sid=bc0c2c,"Our #GiftAGamer Holiday 2020 Contest is live! 🌟💚🎁

Want to share the love (and win big yourself?) Here's how: 
1. Like this photo.
2. Say something nice about a fellow gamer (& tag them) in the replies with #GiftAGamer
3. If selected, you + the friend you tagged BOTH win an RTX 3080!","['giftagamer', 'giftagamer']",110351,29854,,2020-11-20 19:00:16,GraphImage
4,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/118695472_615218626022983_8323682388525678233_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=qbX1xVRpkI4AX-1Co00&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAVBGgo9JfHxJ9zlJ3yp8ZZHlAdgC4wetz21jYoimWA3g&oe=6562E9EE&_nc_sid=bc0c2c,"Today’s #UltimatePlay Card Spotlight: GeForce RTX 3080 
 
⚫ 2nd Gen RTX & RT Cores
⚫ New dual axial flow
⚫ Superfast G6X memory
 
Want your chance to win this card?

Tag a friend and tell us the first game you'd play together...",['ultimateplay'],96865,32961,,2020-09-02 15:16:09,GraphImage
5,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/84288649_1300161716842711_3019866230568579260_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=3T_FYW7ImAgAX_EIZbh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDtt1K_mOoOukhK971HhQM6-0k_jMYaG5zbytx8Q8epaQ&oe=65649228&_nc_sid=bc0c2c,"_ERROR_: Last chance. ⚠

Only a few Cyberpunk2077 Edition RTX 2080 Tis are still available! 
Want one?
1. Like this photo. 
2. Tag a gamer you talk about Cyberpunk 2077 with (use #RTXOn!) in the replies. 
3. If selected, you BOTH win the ultimate GPU for playing the game.",['rtxon'],94853,34417,,2020-02-28 17:00:17,GraphImage
6,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/85137563_905679816552265_4663235542307170966_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rYvdEOEX1cgAX9ZkAgC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDJuFWyVbaND9MGm5_vQ2UI3phms3INhJALfOTBdLLORQ&oe=656333EE&_nc_sid=bc0c2c,"1 of 77.

The GeForce RTX 2080 Ti Cyberpunk 2077 Edition.

Want one? 
1. Like this video.
2. Tag a gamer you want to see play CP2077 (and tell us why!) in the replies with #RTXOn
3. If selected, you BOTH win one of these ultimate limited edition GPUs.",['rtxon'],101134,24780,,2020-02-21 17:00:14,GraphImage
7,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/118540129_683689748898784_5339223120692769408_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=LGZv6FD8JhcAX-0GKQu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB-uHIHiDWsH8J6adLKkIZ87G_TY65FqGpXTx7ZLKxb7w&oe=6563CB63&_nc_sid=bc0c2c,"Take a closer look at the GeForce RTX 3080.

Coming first, starting September 17th. 

#UltimatePlay",['ultimateplay'],114234,4579,,2020-09-01 23:34:16,GraphSidecar
8,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/129780510_968708536987973_3444386576419078410_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Shyp_JU0x4UAX-bvllC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB_mYedXnQ7pBeCc24-uYLCtVq6v738zZp20mBJExP2cw&oe=6563BECD&_nc_sid=bc0c2c,"Our #GiftAGamer Holiday Contest Ultimate Prize! 🌟💚🎁

Win a GeForce RTX 3090 for you and a friend! 
1. Like this photo.
2. Tell us about the person you always go to for PC building or hardware advice (and tag them!) in the replies with #GiftAGamer
3. If selected, you BOTH win!","['giftagamer', 'giftagamer']",87479,31289,,2020-12-07 23:04:21,GraphImage
9,nvidiageforce,2486846,125,True,True,Content & Apps,2281,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/118855683_318739746010468_1251988806685185968_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Xseh3ks6hYQAX_FPD20&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDHFt5QBHjkojMkYkVCk3-SMfvCn8GG9L4O8TRNYO6WQA&oe=6564A48C&_nc_sid=bc0c2c,"Today’s #UltimatePlay Card Spotlight: @aorus_official 
 
Key Features:
 
⚪ WINDFORCE 3X Cooling System
⚪ RGB Fusion 2.0 – sync w/other AORUS devices
⚪ Protection metal back plate
 
Want your chance to win this card?

1. Like this post
2. Reply with #UltimatePlay","['ultimateplay', 'ultimateplay']",79763,31234,,2020-09-05 16:52:08,GraphImage
