,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/41823562_141544563468460_7183867740715688644_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=HkkvOR5P2r4AX-D4pk8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBsv6znJqxrSO57Ty5P2kdqO062WNd9Z6lNUcQSb_AJ4g&oe=65670A45&_nc_sid=bc0c2c,"Spring 18’🐠
Simple & perfect.
Top recto Crudo.
Sardine Girl: @petitnoni",[],952,0,,2018-10-07 00:18:42,GraphImage
1,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/26297004_1984841458446076_649489176453971968_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=le8-jcpLGOwAX84W9GO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBlQOmxZFphhLoEgyOGkiRZDuo5z90iMYy7tqOYlqDA1A&oe=6567BFB8&_nc_sid=bc0c2c,"SUMMER SALE ✨
SALE 30% OFF
Rustic Colors: Maíz, Musgo y Cemento. .

#summersale #saleoff #tshirt #knit #top #cotton #love #originalsardine #softcotton #weave #tejido #rustico","['summersale', 'saleoff', 'tshirt', 'knit', 'top', 'cotton', 'love', 'originalsardine', 'softcotton', 'weave', 'tejido', 'rustico']",765,77,"Córdoba, Argentina",2018-01-25 21:16:49,GraphImage
2,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/36136546_2211947615758118_7360254149138579456_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=i2JOYG3k88wAX9-OVta&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDOUS3OsxQh2StXqrOkdHyBkg46oq8PrWN82J3Osghbog&oe=65673264&_nc_sid=bc0c2c,"SORTEO DIA DEL AMIGO!
No te podés perder este super mega sorteo para que te lleves 3 gorritos a elección, para vos y tu amig@s! 
Condiciónes:
- Like en nuestro Instagram.
- Like en esta foto.
- Comentá etiquetando a tres amigos. Y tu color favorito! Buena suerte! Sorteo dia 19 de julio.",[],476,361,,2018-07-10 03:08:12,GraphImage
3,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/311472246_942086547180199_8115274233290047093_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=vf6ytVjqn5oAX99PmnH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA8uT4G2PYKcUR0a3dxAdFeJh5HP37OuH3kIKFLCY6Nkg&oe=65680A0A&_nc_sid=bc0c2c,"Sorteo Original Sardine's World ❤️ En Sardine queremos mimar a nuestro cardumen y futuro cardumen regalándoles un Top de verano a elección✨

Condiciones:

1)Seguir a @original.sardine
2)Me gusta a la foto
3)Comenta cual es tu color favorito etiquetando a 3 amigas 🫶🏻

Anunciamos en nuestras Historias el Día 27/10 🏹",[],350,334,,2022-10-14 21:16:41,GraphSidecar
4,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/38019733_525124174579608_4410210708889796608_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=0aUsTjk9mUMAX8H4Mv3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA30dMgjMMz4ddnMceOUqPamOAq2biRmtdhF23j8WRC_g&oe=65666013&_nc_sid=bc0c2c,"Se vienen los hilos taaaan suaves que tanto deseabamos. Estamos asi 😻
.
.
#knit #top #knitted #sardineknitwear #knitwear #cotton #instaknits #knittop #weave #soft #originalsardine #spring #summer #softwool #softcotton #knitters #instaknit #woolcolors #love #tops #topsdeverano","['knit', 'top', 'knitted', 'sardineknitwear', 'knitwear', 'cotton', 'instaknits', 'knittop', 'weave', 'soft', 'originalsardine', 'spring', 'summer', 'softwool', 'softcotton', 'knitters', 'instaknit', 'woolcolors', 'love', 'tops', 'topsdeverano']",565,18,"Córdoba, Argentina",2018-08-11 00:08:34,GraphImage
5,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/39625344_237204050323750_3468445726588010496_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uwHVdr9oAOkAX9xVtto&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9KvrblTtnkTAExw8rxUpX8PSmwDCyxjWrfCzQnYwfBQ&oe=65678BCD&_nc_sid=bc0c2c,"Simple & Perfect ✨ 
Top Trenzado, tejido con hilo de algodón suave.
Disponible en otros colores.
Envios a todo el país.",[],539,2,"Córdoba, Argentina",2018-09-02 20:22:59,GraphImage
6,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/45347869_314984216016679_3560888983559586072_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=abASAwTRsUkAX_rVdu_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB3MCHif8wGGMkjsW_yKkCaW2uvoQAgT-7VpRNmYsaONA&oe=65678978&_nc_sid=bc0c2c,"Adorable, nuevo top con mangas japonesas. ✨
Mañana muchas cosas nuevas en @misstienda 🔥
.
.
#top #knitting #contemporary #rustic #looks #grunge #hipster #vintage #lifestyle #style  #design #outfitters","['top', 'knitting', 'contemporary', 'rustic', 'looks', 'grunge', 'hipster', 'vintage', 'lifestyle', 'style', 'design', 'outfitters']",466,6,"Córdoba, Argentina",2018-11-30 02:04:07,GraphImage
7,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/71526177_171185570730389_5943136231912894267_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=lKFHBgap1bAAX9kbvih&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDg0pcYk1BDqUDoPMFuYguKgGadvbcs2YTq6OJ0gyJMQg&oe=65673A19&_nc_sid=bc0c2c,"BACK TO LUREX! ✨
Nuevos Tops Sunny en Plateado y Dorado para usar de noche! 🌙
.
.
.
#night #lurex #tops #toptejido #tejidoamaquina #party #night #summernight #spring2020","['night', 'lurex', 'tops', 'toptejido', 'tejidoamaquina', 'party', 'night', 'summernight', 'spring2020']",444,12,,2019-10-18 19:09:46,GraphImage
8,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/41684267_2133980273281653_8781464953605905154_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=BvVp5UhUaF0AX8nBPbg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBf7x4B1F0pVUI9R_FGx_DWZfdboFEQX6ehyE_j1DAERA&oe=6566FAE3&_nc_sid=bc0c2c,Hermosos bordados.,[],436,4,"Córdoba, Argentina",2018-09-27 02:27:07,GraphImage
9,original.sardine,10583,944,False,True,None,527,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/39608161_1945028085795364_5782536846791023788_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=oM7xpctJ1g4AX9vfO4y&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDxSOH3J5p_Z3krXqPEaPaE3mhhN9oZsQTRMACSzmcItw&oe=6566B919&_nc_sid=bc0c2c,"Top Recto
Lima 🔥
Disponible también en otros colores.",[],407,2,"Córdoba, Argentina",2018-09-05 22:40:19,GraphImage
