,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/350246648_170097649115660_6086931242144318356_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=c6o_rF7iZfAAX-smNIH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC496-4dQNCs3lU55owBY1PLotSsxlNl4ytQRRH9sCWVw&oe=656298C1&_nc_sid=bc0c2c,"@pesopluma || BZRP Music Session #55 🇲🇽x🇦🇷 

MAÑANA

FIERRO ALV",['55'],4957224,32197,"Sinaloa, Mexico",2023-05-31 00:15:14,GraphImage
1,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/343289746_556346846579150_8274650152776479152_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=B2jMzulr5cAAX-BjKme&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBb58PjsEE-e4qjtQ6SmcuJqksy6vXr-_w65rbc1dm9xQ&oe=6562F417&_nc_sid=bc0c2c,"EL PALENQUE MÁS BÉLICO DE LA HISTORIA‼️
Ayer demostramos que unidos somos imparables , agradecimiento total a mis amigos que asistieron 🫶🏻🫂
ARRIBA LOS CORRIDOS ‼️
ARRIBA MEXICO CABRONES 🇲🇽‼️",[],3231410,12168,,2023-04-28 01:52:39,GraphSidecar
2,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/378478927_18203997130262390_3665847952657711611_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=zSv1bfk2zWgAX8tFJQl&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzE5MTE4MTM4MjIxNTA4OTM4MA%3D%3D.2-ccb7-5&oh=00_AfCJjSf0YFgp-JGn0xBoIQGzB8ytEDDuhQdockVxv2hleg&oe=65633CC2&_nc_sid=8b3546,🖤🕷️VMAS 🕷️🖤 De 🇲🇽 pal 🌎❗️,[],2404075,13581,,2023-09-13 20:54:48,GraphSidecar
3,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/355440300_1305704086695851_1595105241636425156_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=vAm9rg1G4hgAX_6vQ55&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDu0keKCqZLaj43RarpUZhaMzBxZpy_nPybOeFGpbN5Hg&oe=65601104&_nc_sid=8b3546,GÉNESIS YA DISPONIBLE 🕷️🖤,[],2104349,11450,,2023-06-23 00:04:07,GraphSidecar
4,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/360116236_18196529728262390_4272524693557901676_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=EhC6LmUasEQAX_DT03s&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAmwBkyF_1bj-ZvTH8qnDyhjxxNJDQaotTzm_T3_FT82g&oe=65626D6E&_nc_sid=bc0c2c,LA🌴🖤🕷️,[],2011690,7364,"Los Angeles, California",2023-07-21 19:48:20,GraphSidecar
5,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/333199562_1272975026962563_6008457746413138312_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=3PXmjiSpLgQAX-f_rc9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAEsSo3jPsBpKQTdRk5D-ZWOPwiutGH1GL3g57Lqx5cqw&oe=6562989E&_nc_sid=bc0c2c,"por las noches - remix 🖤
ya disponible ‼️",[],1531630,3531,,2023-02-28 01:10:17,GraphSidecar
6,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/386311637_346605077822048_3750220794813670670_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=7WYu5v6N-IIAX8UfTYI&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNzMxNzc5OTc0NzI1Njg0MA%3D%3D.2-ccb7-5&oh=00_AfDEZkr-yae5_IfjxtBJnHDzKDwVtzHRTzrh-lg994pUYg&oe=6562E7E4&_nc_sid=8b3546,"Peso Pluma was the big winner at the Billboard Latin Music Awards, taking home eight awards, including artist of the year, new; Hot Latin Songs artist of the year, male; and the coveted songwriter of the year award, reflecting his more than 20 hits on the Billboard Hot Latin Songs chart. 🏆

Tap the link in bio for the complete #Billboards2023 winners list.",['billboards2023'],1488971,6047,,2023-10-06 03:14:58,GraphSidecar
7,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/368000635_18200108767262390_2115778125973084097_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=cXL5VBl4MAwAX9sBI-4&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBjn4B-DQ7leUGMUa9m_jvgPl0tlBR538yU8lU8Gbh-mg&oe=65641AE7&_nc_sid=bc0c2c,UNA NUEVA VIDA LA QUE ME ESTOY DANDO📈‼️,[],1449165,5086,,2023-08-16 17:39:07,GraphSidecar
8,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/398978447_18211739716262390_9021837332651806456_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=0gA9HbZHogIAX9AGcM0&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzMjUxMjA0OTkwNTIwMDczOQ%3D%3D.2-ccb7-5&oh=00_AfDiIPowlpEp_IMZtYXhO21gMDci1YVfApAhumEIjKZwyw&oe=6562907D&_nc_sid=8b3546,"MONTERREY SE PUSO BÉLICO 🖤🕷️
Que placer verlos tan felices, gracias por acompañarme en este show inolvidable 🤩
LOS AMOOOOOOOOO 🥷🏻
Gracias también a mis invitados  @luisrconriquezoficial @yng_lvcas @blessd @titodoublep @gabitoballesteros @grupofrontera  @_jasiel.nunez 🙏🏻",[],1295680,3111,Estadio Mobil Super,2023-11-09 21:31:27,GraphSidecar
9,pesopluma,12132485,1304,True,True,None,21,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/401842260_18212303014262390_6814630724654495202_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=dvA2nbtm9joAX8H281p&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNTM3NjI0NzY1NDYwMDg1MQ%3D%3D.2-ccb7-5&oh=00_AfBHkvK3NNw2lrfv__rOYZu76lpw7XWMbz1diOSNLOA-Sg&oe=65629BF8&_nc_sid=8b3546,"GRACIAS CDMX🖤🕷️
ESTE ES UN SUEÑO HECHO REALIDAD, LO QUE VIVIMOS EN EL FORO SOL FUE ÚNICO, JAMÁS LO VOY A OLVIDAR, GRACIAS POR HACERME TAN FELIZ, LOS AMO 
VIVA MÉXICO CABRONES, Y QUE VIVAN LOS CORRIDOS 🖤🥷🏻🇲🇽",[],1248636,3226,Foro Sol,2023-11-13 20:22:06,GraphSidecar
