,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/67387245_130870318188741_3613614035462551762_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=OxIVp8xbEowAX_WH3XM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCQGAoTKYA9xnX6kg74T22McmCXP_TIVlOivTuAQ9FLqQ&oe=6566BD43&_nc_sid=bc0c2c,We are married!!! I'm the happiest I can be ♥️ I'm so lucky to share my life with this amazing woman.,[],10209697,345710,,2019-08-20 11:40:54,GraphSidecar
1,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/343219465_1194516704562552_1747716603373973458_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=a2VnX07S0sIAX9NhO4d&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA5MDI5MDI4OTk0NTE4MzY3MA%3D%3D.2-ccb7-5&oh=00_AfBSIi9ji-DDrCSjjFPayUm1yZkmjWzxHFWnNRzfKh-ekA&oe=65665EF4&_nc_sid=8b3546,I finally met Pewdiepie,[],5951362,30994,"Tokyo,Japan",2023-04-27 16:02:12,GraphSidecar
2,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/359325538_748419940414961_913738545292804320_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=L38n4HJPdSoAX_RoNI6&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE0NTE5Nzk1MjgwNDI1MjgxOQ%3D%3D.2-ccb7-5&oh=00_AfAZDQNUflZsnxlWx2xpHXVZmwxVkI2Kp1wS5lK0_K2-Jg&oe=6567EC95&_nc_sid=8b3546,"11 / 07 / 2023 
Welcome to the family, little Björn 🐻 ❤️",[],5325658,85256,,2023-07-12 10:13:55,GraphSidecar
3,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/66770975_2951222238253028_911090647607231960_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=VMCpqvRz9uwAX_50rsc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCL4V-gvdFj8l0c7Jz13DnNWS4qsAj19uEcoJJFw5xH0Q&oe=656679D6&_nc_sid=bc0c2c,Our wedding day was the best day ever! Really couldn't have asked for a better wedding. Everything was perfect and I'm just so happy. I want to thank all the guest that came for bringing so much joy and happiness on our special day. 🧡 (PS there's many more photos to come) 📷 @jessicakobeissi,[],5096156,30671,,2019-08-21 12:42:05,GraphSidecar
4,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/67750209_866243237094710_1501622749162890965_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=T3s3ujitgt8AX_Gdi8W&edm=APU89FABAAAA&ccb=7-5&oh=00_AfChb5-_qxvmyIrCrrZF-Q8yrpIYjq1LBEjdNAA-kbDIXQ&oe=656645A9&_nc_sid=bc0c2c,"We are off to honeymoon, later gamers",[],4871440,39880,,2019-08-26 12:33:39,GraphSidecar
5,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/68678326_165751964579928_2262317913225380783_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=ArIHt35QLRUAX-lWKfn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCc-KDCA1bY7wEt89QzwjnSQkrAv6r6LdXkcr_agCb5ww&oe=6566E244&_nc_sid=bc0c2c,"Photos from our first dance, we were both so nervous ✨ I took a few wrong steps, but we look like we knew what we were doing.",[],4622520,32254,,2019-08-22 17:28:17,GraphSidecar
6,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/120296809_3272186742830360_2114534140628344873_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDY2eDEzMzMuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=i9yyEA5GBCQAX-Eqqn8&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQwOTU3MjM2OTQ1NTgyNDEyNw%3D%3D.2-ccb7-5&oh=00_AfCPJFqDW18_vrs1mY4Nk_bG4006mXJf0cpNkiWLuAVjnQ&oe=65681088&_nc_sid=fc8dfb,Last day of no simp September boys,[],4435411,91310,,2020-09-30 10:57:12,GraphImage
7,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/74694522_172350340555684_1578736861600130787_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=3LpAHqMJnvUAX8xveHl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAYqtmRcPBo8_pBAcJxZz7aNTVE75iMrbJY9pVZmM7x8w&oe=65679038&_nc_sid=bc0c2c,2 months ago today c:,[],4163167,26328,,2019-10-19 18:28:43,GraphSidecar
8,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/320202520_212169311178947_3750750891091383830_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Y2m25DHfIJsAX_AQEfJ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk5NTc2NDM5NzA5NTY4MTgxNw%3D%3D.2-ccb7-5&oh=00_AfBItZrrV7q7SMCAEae2udX2PfTtp7TP6Qo3O-3zvLPtiA&oe=6567947E&_nc_sid=8b3546,"Said farewell to my little Maya 💔 this morning.. 17 years is a long time for a pug, but no time in the world would've ever been enough..
I didn't think I could love a dog as much as I loved her.. ❤️
Thank you for all the wonderful time we got to spend with you ❤️ Thank you for always making my days brighter ❤️ Thank you for bringing me closer to Marzia♥️ I will miss you so much and I already do.. you will always be in my heart Maya ♥️♥️♥️",[],3883240,73510,,2022-12-18 05:56:07,GraphSidecar
9,pewdiepie,21502885,69,True,False,N/A,776,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/70072849_384425855818978_8357236079982830849_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=GM4rW_HYV64AX_OCXO0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDPr7Bj443FYNIAeMb4aWWNPJRLhzxnFf5k_OT7HxqK9w&oe=656780D2&_nc_sid=bc0c2c,"Last pics from Bali, I stole @roomieofficial 's shorts, don't tell him",[],3514408,25716,,2019-09-07 15:00:00,GraphSidecar
