,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/66817918_398994594074902_5919031917678088048_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Bq8yo2oR-t0AX_cjEdZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCeSX2QJpBbSsg2AgYENcWNrVYwMvnbfwfeQVd7RO6N3Q&oe=6565ECA3&_nc_sid=bc0c2c,THEY FOUND HER!!!!!!!!!! The Amazing officers at Newport PD Found COCO!!! I guess she fell through a low basement window down 6 feet in a narrow window well. In a vacant house in the neighborhood and could not get out. SHES BEEN IN THERE A MONTH!! I just got the call from Dispatcher Andrea Stout that the home owner came back and found her stuck inside. Officer Mathew Sardinha(pictured) is on the way to Newport Animal Hospital with her now. I’m just Blown Away. I’ve been praying so hard to find her. God really does Answer prayers!! I just have to say thank you so  everyone that posted and posted and tagged and reposted and those who searched and put up flyers. You guys made the difference! I am so thankful that you all did this!! Booking my flight to Rhode Island Now to get my little Coco.. Thank You Thank You! #jessejames,['jessejames'],116774,10475,Newport RI Police Department,2019-08-14 23:44:58,GraphImage
1,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/47585704_371818793643931_9215973874664770898_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=uSToQQHX-S4AX8B5cXt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC8jzJJMov0yuuPARdcOaLz9bhgiq22T9Z10E5aVSD8xA&oe=6565D1E8&_nc_sid=bc0c2c,"Man-O-Man what a life!! Thank you Ritchy for touching my life the way you did. So many great stories over the years. I loved the way you snatched the M1 Garand out of my hands, and lifted it up and down a couple times, and told me “I remember these being heavier”. Also thanks for the pic with my Thompson, also letting me know it’s the wrong magazine. I think my best memory is one time we were talking on the porch. Right in the middle of the conversation. You glanced over at your ‘70 Monte Carlo(that you bought new) in the driveway and noticed it wasn’t parked straight. You proceeded to get up off the porch. Start the car, let it warm up for five minutes. Then spend the next 7 minutes going back and forth in the driveway, gunning the motor between Drive and Reverse. Making sure it was absolutely straight and exactly in the middle. I think I like that story because it showed me what kind of man you were. Non compromising and Oh so determined. Cars need to be straight in the god damn driveway! I agree 100%. Rest In Peace Mr Overton. #jessejames",['jessejames'],78527,1001,East Austin,2018-12-28 02:55:44,GraphSidecar
2,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/69618832_162103781601333_5193002356791941056_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=5j6ooEanBCUAX9GtwfH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBaMmbhsgegsgTBHkGpfOgyuxnSOtctTE3L3dxGoZmMOA&oe=6565A0C5&_nc_sid=bc0c2c,"Sometimes we are called on to do something for someone else. That thing isn’t something that we need or really want to to do. But we without a doubt have to do it with all our heart. This was definitely one of those things. 
Hanging out with Jessi a year ago, and filming some shows for Discovery. I never thought she would be overwhelming my thoughts and heart like she has for the last couple weeks. Without a doubt this is the emotionally hardest piece of metal I have ever had to shape. Not because of the skills or labor involved. It because of what it is and what it symbolizes, and who’s ashes it will hold forever.  I had no plan, no patterns, no design ideas. I simply cut a circle of copper and started hammering. I let the metal dictate what it wanted to be. Thinking about her every step of the way and what she would like, and what she would think about it. Hoping I gave it the right amount of love, blood, sweat and tears. 
Thank you Terry for the honor of letting me do this. I hope in some way it makes your pain a little lighter.
#jessejames
#RIPJessiCombs","['jessejames', 'ripjessicombs']",67584,3252,"Dripping Springs, Texas",2019-09-19 20:48:55,GraphSidecar
3,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/72651387_460455338153664_5448965445499923127_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=nkM6WTrjREIAX9N0VQy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5X967o_ep4WIFPT45wrb5xrKkJXxJHPmz9-t3VV1CNQ&oe=65648FC8&_nc_sid=bc0c2c,Well ain’t this a Motherfucker! My 1951 Mercury just Won the 2019 John D’ Agostino “Award of Excellence” for The Best Custom at SEMA!! I was also presented with a 2019 “King of Customs” Ring by John. Man What an Honor! I am so lucky to work with such an amazing team of guys/gals that crank out Badass stuff on the daily. Also so thankful to be partnered up with Great companies like @swrefinish and @houseofkolor_ that give us the best paint and supplies to make our cars/bikes worthy of this kind of recognition. Appreciate all you guys that have had my back and the support  that never waivers... #jessejames,['jessejames'],59714,1409,The SEMA Show,2019-11-07 22:28:55,GraphSidecar
4,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/240806883_2975171562728687_5243704003787157031_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=aMrcTFbgPzgAX-C7pk7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB6LQvrDSyhSGZ05N4wLrnxJ2QuBgxIz3fcYqPKkdNitQ&oe=6565A39E&_nc_sid=bc0c2c,"Caption this????

#throwback
#machete
@officialdannytrejo 
@popeofwelding","['throwback', 'machete']",58896,1518,JJFU,2021-08-27 22:43:56,GraphImage
5,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/357366679_18373578310035506_8285797646991742078_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=tD2f82pI5icAX9MjE0l&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCY1f0JaEmNKPF9IGblgs4XR_CapHz9YgyTN4sBgX6rzA&oe=65654B97&_nc_sid=bc0c2c,"4 days old and Bishop James is in the shop!

Right where he should be💪🏽⚒️🔥

💙 Beautiful Mama @officialbonnierotten 💙",[],48111,1276,JJFU,2023-06-29 23:35:00,GraphImage
6,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/124183598_120892419820412_8316094198228007533_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=dPVAIUdHCl4AX_j27QR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB9dBqUOU7AQM5M6DjjjNrc62bYFUK2Y3xEBP36v6ZOCw&oe=6564A342&_nc_sid=bc0c2c,"..... 

Larry Richard James

4-23-1940 - 11-8-2020

 ..Rest In Peace Dad..",[],43430,3461,,2020-11-09 16:59:14,GraphSidecar
7,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/47581484_606769083091616_6653229606399613246_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=lByGTLt-e0UAX9PRnD4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxrAEbLmEFm5dg-UUz44HvGETQZmHSJUeCget-ST3L6Q&oe=6564E35F&_nc_sid=bc0c2c,"""When you know who you are; when your mission is clear and you burn with the inner fire of unbreakable will; no cold can touch your heart; no deluge can dampen your purpose. You know that you are alive."" ~ Chief Seattle Duwamish",[],45399,336,"Hill County, Texas",2018-12-23 00:30:16,GraphImage
8,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/137565632_1290824947958773_8073553131592364586_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=phywp7xIJLgAX8nD5Z1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA2alaIaLuc5gXnFQULKq-V30KSuJSu2iSIPeR0JlJi3w&oe=6562119B&_nc_sid=bc0c2c,"Thank you Jess ( @silver5bullet ) for hooking us with this sweet little girl Gertrude “Gertie”. 
Boy I sure wasn’t looking to get another Frenchy, but when I saw her. My heart melted. 
I’m pretty much a crazy cat lady with high end French Bulldogs at this point.
Seriously Thank you🙏🏻
#jessejames",['jessejames'],42872,707,"Austin, Texas",2021-01-12 23:51:41,GraphSidecar
9,popeofwelding,925640,207,True,False,N/A,157,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/118311032_1007041749734217_8044672378782336206_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=LslshzoJnAYAX_2IhCU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAA6Mr3ZOXvkpH_gF_39jiZMt2HiuMLUAr5rjOXKWIyAA&oe=65654A3F&_nc_sid=bc0c2c,"Where were you 30 years ago?? I was traveling around the world as head of security for the baddest rock band in the land, Danzig. I know I’ve never told Glenn this, but he was one of the most influential father figures in my life. Yea that seems crazy to say out loud. I know if he sees this he will probably say F You and laugh. But it’s true. Glenn really opened my eyes to the world and encouraged me to follow my dreams. We have remained close all these years with a loyalty and bond formed way back then. I think it’s time to build a Misfits/Samhain/Danzig signature JJFU pistol... #jessejames",['jessejames'],40651,1092,,2020-08-28 14:40:02,GraphSidecar
