,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/330890394_2313952905431300_1080330626305882105_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=FPTxnb2VD5YAX-9VRFF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB7RJ9_8EIJvVGdYW0D8K0it6_0oca-Pps48-IJV-qo4A&oe=6567B3F6&_nc_sid=bc0c2c,"i tried 60 different cheesecake factory menu items because i hate myself, you can watch it here https://youtu.be/WSCc1xAJ_-4

what food should i try everything of next",[],14890,130,,2023-02-15 20:28:46,GraphImage
1,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/64586399_376939912952018_5197080656725720223_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wjdeWefsSXMAX8wYO8D&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDr_d0gwXRH3CDoBpUcXVgQ-DYmSPj7FKcAl2vkKDQCnA&oe=656763CD&_nc_sid=bc0c2c,"i’m real close to 500K on twitter, if any of y’all wanna follow me and help me shatter that number, i’m at twitter.com/ProZD

anyways here’s sophie",[],13646,61,,2019-06-26 19:46:31,GraphImage
2,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/65881171_465710244220036_863803405652067714_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=_QqCNKlHTUcAX9Y527Q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC8mVZ15nliO5bvvo_a1ClpZm0348AG2u2KandSwsJD8A&oe=656732E8&_nc_sid=bc0c2c,"i’m very close to 2 million subscribers on youtube, if you wanna help the cause, go subscribe at youtube.com/ProZD

anyways here’s effie",[],13026,69,,2019-07-28 18:57:32,GraphImage
3,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/118438910_2885811401522955_4107922726268527881_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=lh9pq5dMcxUAX-hQw9B&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAFbwrvMno63umuprj9Ih4iKVpy2aKi2ltZcKMaZ8u1cw&oe=656736E9&_nc_sid=bc0c2c,"i tried 15 different goldfish crackers, turns out they kinda suck ass, you can watch me try them here: https://www.youtube.com/watch?v=RiQcMFSoGFs",[],12332,118,,2020-08-26 19:42:46,GraphImage
4,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/83197336_110962303796831_4701130151640876511_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=AoVeBaALqGgAX8IsPXP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfComtXQvooNqPtiDEHvaz3nI5FGmzANmNPOMpj2vUS-tA&oe=6568A2C6&_nc_sid=bc0c2c,"i tried 30 different lay’s, we’re still workin through the leftovers, you can watch it here: https://www.youtube.com/watch?v=tURHv0t4Yco",[],10871,75,,2020-01-31 23:45:46,GraphImage
5,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/156121648_881675352617749_4182648046642841416_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Sq1pQsePgMoAX_BQm0-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBwteAMXFa3kCZ4tIfmxAPOX2sJvSzhFlZAyCTKqay2og&oe=65678418&_nc_sid=bc0c2c,"comment and follow @youtooz for a chance to win a Refrigerator-senpai figure, winners will be announced on March 5th, the day it releases on sale",[],9898,485,,2021-03-01 18:36:50,GraphImage
6,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/146915428_859792777916608_7193941025666785193_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0PYglNrVC14AX8LSmrf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAVyxz-nQpLSf7L9jku8JpAz6pKv0cDmcEU-jb7abfBg&oe=6567ED25&_nc_sid=bc0c2c,,[],10312,64,,2021-02-08 21:02:26,GraphImage
7,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/91087894_2597037167237998_1847675792493498750_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=cw6tPDV7YTIAX-OXTxv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC_91wP5ceBcPHU6z8Nq6Qy1Z_9O6yVbZAoHu7iAELnQw&oe=65678D2E&_nc_sid=bc0c2c,"gettin close to 600K followers on twitter, if you wanna help hit that number, go on over to twitter.com/prozd

anyways here’s effie",[],9482,35,,2020-03-29 19:50:02,GraphImage
8,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/103495780_630480714493477_5075913027596965066_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=0vh5vofWvy4AX-0TRYX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDsXS2v2-aEus8dX4fzZ6fEQoAFv2jaZ75AK-Vq2HKfgA&oe=6567405E&_nc_sid=bc0c2c,"i tried 15 different cheez-its, we still have a sizable treasure trove left, you can watch me try them here: https://www.youtube.com/watch?v=14KZGYclY1o",[],8933,81,,2020-06-12 22:12:25,GraphImage
9,prozd,138864,43,False,True,None,538,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/37750119_260462504548240_4086175818911318016_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=HXlE8nw_f30AX8XMUnA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA2aJb8LHynpzqvSkorQK0uIOIn3jorl4X63egbaf59Tw&oe=656770DB&_nc_sid=bc0c2c,some good eats at kyodong noodles,[],8765,41,,2018-07-25 00:02:41,GraphImage
