,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/58698715_2734765219898539_7288832986869799848_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=hDkMCR2vACUAX8waMnC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfByRwdibqhTgcZGhjksq-bfpuNSCeLmmHP7MUMK1y2tlw&oe=6562A8E9&_nc_sid=bc0c2c,#tbt #throwback #flashback to the #Women of @marvelstudios #mcu lunch I had the pleasure of hosting... #girlpower #epic #bts (📸 @jimmy_rich ) #TeamStark #thankyou good-times getting the ladies together...,"['tbt', 'throwback', 'flashback', 'women', 'mcu', 'girlpower', 'epic', 'bts', 'teamstark', 'thankyou']",11260449,80810,,2019-05-01 06:29:40,GraphSidecar
1,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/168351661_350882619688634_3955649099329572606_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=Lc4deEwfx6cAX_rxUKt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCQLBWb5AzDwk1ruZpeLinS2VzQl1PaIfqfAZVWvgFh0g&oe=6563ED30&_nc_sid=bc0c2c,Much love and gratitude for all of the birthday well wishes! Many reasons to feel blessed today. #HappyEaster #HappyPassover #BirthdayDowneyJr 🎉✨🐰✨🙏,"['happyeaster', 'happypassover', 'birthdaydowneyjr']",9380581,127399,,2021-04-04 22:08:36,GraphImage
2,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/359636642_1024162868952819_2064076004986387023_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Rs6k-a5b_TUAX9bGhp4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCfxzh56QiWUs4UWFBAa7Yco8xEzP0FLpRTMY6kE2VmkQ&oe=6562F528&_nc_sid=bc0c2c,"Linking up with my Oppenheimer cast mates...wait, is that a Krasinski photo bomb or might there be a surprise cameo???",[],9120694,21391,,2023-07-09 15:00:50,GraphSidecar
3,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/57097122_298174744430773_6910301440945824899_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=ZCZYUAAItZkAX_ocj2r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAebmdShjBYaGyre5ZoDxOBPOfcaNM39hXyl6zJrA1mLw&oe=65642FBE&_nc_sid=bc0c2c,"#tbt @avengers Thanx to everyone,,, family, friends, fans, cast and crew... #loveyou #3000 #mcu #thankyou #TeamStark (📸 @chuckzlotnick )","['tbt', 'loveyou', '3000', 'mcu', 'thankyou', 'teamstark']",7439000,119700,,2019-04-26 00:50:15,GraphImage
4,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/59536092_2213585348718096_2997876751847211850_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=dXF8VHaL9UEAX8Cmhz5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB24l92JxYZoAHSIcOZBpnWFfpKG1DVABBYw5YVJ-QQag&oe=6563E32E&_nc_sid=bc0c2c,#tbt #bts @avengers In the stills of the night... #TeamStark #thankyou (📸 @jimmy_rich ) #3000 #videovillage #flashback #throwback,"['tbt', 'bts', 'teamstark', 'thankyou', '3000', 'videovillage', 'flashback', 'throwback']",7376656,97812,"Fayetteville, Georgia",2019-05-10 05:12:58,GraphSidecar
5,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/57194672_2431152897171194_8016932878127468030_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=d4K9QeNEoj0AX8jhVX9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBNuRSgpxZ2D2FEfNiFMwoK_hdcudP0JBjViQZlhp7WIg&oe=65640D43&_nc_sid=bc0c2c,#flashbackfriday already ?!?!? @avengers #press #tour #2019 #TeamStark #hair @davynewkirk #style @jeanneyangstyle (📸 @jimmy_rich ) #thankyou (Does the #suit make the man or #viceversa ? ) #fbf,"['flashbackfriday', 'press', 'tour', '2019', 'teamstark', 'hair', 'style', 'thankyou', 'suit', 'viceversa', 'fbf']",6483456,111152,,2019-04-27 04:03:59,GraphSidecar
6,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/278619683_2207704259385707_852166624381972148_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=bHndYwrRx2sAX-1Y7JU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCwOsLBsO_9rAKlEbPlBLNwdawbgqrGZA61Quayb9Q83Q&oe=656380B9&_nc_sid=bc0c2c,Rebirth and Renewal,[],6434959,20564,,2022-04-17 18:25:21,GraphSidecar
7,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/44626701_103409423965788_2123965955426140472_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=9yem9qdzZicAX8i2nGb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA9UrFSQ_-StuQMUQ4Fg2tFljaSWn4dibsBTFhoTKa2-A&oe=6563A7E1&_nc_sid=bc0c2c,"I owe it all to you,,, Rest In Peace Stan... #MCU #Excelsior #legend #rip #stanlee #TeamStark","['mcu', 'excelsior', 'legend', 'rip', 'stanlee', 'teamstark']",6369631,64798,,2018-11-12 19:26:25,GraphImage
8,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/58423708_132834917818640_1569775737187674802_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=UtA-po-yQb8AX-qgE7n&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD2cN25E3QogdZyIp_78Lraa11g06IV8ajqhi6qQtqBBA&oe=655FEA6F&_nc_sid=bc0c2c,Infinity war / Endgame cast and crew assembled ... #TeamStark #thankyou Where’s #waldo ? It takes a village ... (📸 @chuckzlotnick ) #flashback #throwback #tbt,"['teamstark', 'thankyou', 'waldo', 'flashback', 'throwback', 'tbt']",6339574,45321,Pinewood Atlanta Studios,2019-05-07 22:47:39,GraphSidecar
9,robertdowneyjr,57199720,6,True,True,None,502,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/371355229_849035603245878_5673478783824222295_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=RJ7M-kd_jZkAX-vkTJU&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDo538d6DXizYP67cQI7UHrj1-MEHtuxz4X516O6ASTFQ&oe=6563A002&_nc_sid=bc0c2c,"18 years , love still in bloom!!",[],6126057,15840,,2023-08-27 16:00:17,GraphSidecar
