,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/306782485_1069412127111576_789395861184244453_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=NTPkLj5sw3UAX-dKue1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDOYphXSsiocXNHzaW3GOVyaNgc1O5u728yjklUxMI9Zg&oe=656A6828&_nc_sid=bc0c2c,"To my tennis family and beyond,

With Love,
 Roger",[],3283692,87770,,2022-09-15 13:15:26,GraphSidecar
1,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/308155659_793779801958093_5835970502252028725_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=YtHZNKtpVdoAX-nShNV&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzMzA5NTI4NzU2NDE5OTUwNw%3D%3D.2-ccb7-5&oh=00_AfBsP2UhOmo2FwSDr5KbPFuN68FRwCIDVrXN0FLBi1_Cyg&oe=656A5C0D&_nc_sid=fc8dfb,heading to dinner with some friends,[],2729897,24437,,2022-09-22 18:43:47,GraphImage
2,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/320549123_136274972583467_4649331280332318492_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzY1eDEzNjUuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=i3-MxwknARcAX-jBUew&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk5NjE1MzA2Njk1Nzk2MTQ1Ng%3D%3D.2-ccb7-5&oh=00_AfAPJzQBv7D3v0fAS0PNBd1o7iXTKQ7ayNhShz7NkURrSA&oe=656B97D0&_nc_sid=fc8dfb,"Fairytale stuff Argentina! ⚽️ 
Time and time again you @leomessi have redefined greatness. It’s a privilege to watch you. 
Congrats Leo & 🇦🇷 . 
Special and historic 👏🏼🏆",[],2431440,14212,,2022-12-18 18:48:20,GraphImage
3,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/308578742_605609224439961_1161915251929023091_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=TZ9AgeoW8AsAX9ul3N3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAHDXNPV3pdfIyI3nIczFj0F_dEr1aD5U1Ogp6pwT2PnA&oe=656B2B6E&_nc_sid=bc0c2c,It was a magical evening yesterday. Thank you again to all the players and fans who were here to share this moment. It meant the world to me. ❤️😊🙏🏼🥲,[],2227593,40980,"London, United Kingdom",2022-09-24 10:27:15,GraphSidecar
4,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/327594368_1227331914883772_6895384342947428474_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=NkADp-L5YesAX-7Tctb&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAyNTU5MDA5MjcwNTExMjMyNQ%3D%3D.2-ccb7-5&oh=00_AfAIBME3pWkvWj-vv3fQCiEBKO5jip9t1CQDrXZcWF8vKw&oe=656B1AE7&_nc_sid=fc8dfb,"🖤💗
My kids said this was a definite IG post 😊",[],2003409,11620,"Paris, France",2023-01-28 09:34:27,GraphImage
5,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/309059710_1144542213122630_558252689369347420_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=eziIjRgB0hUAX8JwWLA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCYFiow8sYeCyi6qhSl7j70HPqRPjC4Y1B_HIq2QhNmlg&oe=656BB262&_nc_sid=bc0c2c,"We all hope for a fairytale ending. Here’s how mine went:

Lost 😩 my last singles
Lost 😩 my last doubles
Lost 😩 my last team event 
Lost 😩 my voice during the week 
Lost 😩 my job 

But still, my retirement could not have been more peRFect and I’m so happy with how everything went. 😄

So don’t overthink that perfect ending, yours will always be amazing in your own way…🎆🎇",[],1765090,18460,"London, United Kingdom",2022-09-29 13:17:03,GraphSidecar
6,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/307148175_502193255066237_6533551751011768721_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=z3jC_bkEae8AX8_oUQE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD6w-fgSi2UiFtJbpHJxFu1jNqMuheH35cYJ48k9Q8Umw&oe=656A7506&_nc_sid=bc0c2c,It was beautiful to release the news surrounded by my Mum and Dad and Mirka. Who would have thought that the journey would last this long. Just incredible!,[],1667970,14784,,2022-09-16 18:53:11,GraphSidecar
7,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/121236058_3300335243395018_2969744924304749491_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42ODF4NjgxLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=smVfHQlMCaIAX9Auv3p&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQxNzcxNDc4ODA2MDk2NTA1MQ%3D%3D.2-ccb7-5&oh=00_AfBjNupp810LNfVU3adMCocoqMccApLkVKqLhXVsjkvlcQ&oe=656A904D&_nc_sid=fc8dfb,"I have always had the utmost respect for my friend Rafa as a person and as a champion. As my greatest rival over many years, I believe we have pushed each other to become better players. Therefore, it is a true honor for me to congratulate him on his 20th Grand Slam victory. It is especially amazing that he has now won Roland Garros an incredible 13 times, which is one of the greatest achievements in sport. I also congratulate his team, because nobody can do this alone. I hope 20 is just another step on the continuing journey for both of us. Well done, Rafa. You deserve it.",[],1647364,27897,,2020-10-11 16:34:43,GraphImage
8,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/308386507_161785119852752_6479882313903952105_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=NUmrZdcgRnMAX90tgnL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDoF5-JUcvNsnUsk39dbIGsPxwEWVqLFLvuccW9rrjV9w&oe=656BCBB9&_nc_sid=bc0c2c,"I’ve done this thousands of times, but this one feels different. Thank you to everybody that’s coming tonight 🙏🏽",[],1575322,70329,,2022-09-23 17:37:07,GraphSidecar
9,rogerfederer,12172872,106,True,False,N/A,484,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/26066524_179925319445627_5685301033517973504_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=pdik6sVNR1QAX-319K8&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTcwMjIzNDMxNzc5MzkxODUzMA%3D%3D.2-ccb7-5&oh=00_AfDQm1nIE5_IM_2ZM86f9KVKV8ijByYe8kYabiyTa4YOdA&oe=656BD918&_nc_sid=fc8dfb,20🏆❤️#normaniscominghome #20 #ausopen #RF20,"['normaniscominghome', '20', 'ausopen', 'rf20']",1422408,45339,Australian Open,2018-01-28 12:22:45,GraphImage
