,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/379406092_18379656940059629_9090150373312354992_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=hIrKffA5pSwAX_0Qe8O&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDM6pGKPobmt_RQMjWkRk_z8EyGlZh7kVqEpYbKqJcw8Q&oe=6565405B&_nc_sid=bc0c2c,"Gucci è l’occasione per innamorarmi della moda, ancora.

Gucci is the opportunity to fall in love with fashion, ancora.

– Sabato De Sarno

#gucciancora",['gucciancora'],56624,1328,,2023-09-16 13:01:29,GraphImage
1,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/398112908_18388469023059629_979598258466029787_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=EPBIk_3VfVYAX-uiUVb&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAt_9Ccwp_4ZpzCJ4er6hneMQubt9jb2ZCa5XT3v9xdHw&oe=656440E2&_nc_sid=bc0c2c,"It was us in LA. We danced. We laughed. We loved each other.

Miley for Gucci. It’s coming.",[],33451,439,"Hollywood Sign, Hollywood, CA",2023-11-02 20:39:41,GraphSidecar
2,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/363391493_18371684590059629_7761411065867412496_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=sq79shb74x0AX98_-ef&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDacGzDF6WjUWUZIFo-_O3I3c6JSSzU2hAeFJ6mPYWWVw&oe=65655A13&_nc_sid=bc0c2c,"Daria, we started together in this business in 2003, and here you are with me at the beginning of this new adventure. David, you pictured her at the debut, now you are behind the camera for her comeback.❤️ @dotwillow @davidsimsofficial @gucci",[],28838,1184,Chateau Marmont,2023-08-05 12:59:27,GraphImage
3,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/327446958_1511663256009340_5876775496770214024_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=upJ7gW8xdwsAX_iLPR6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAwZ6HKv7H7lxjGXFYlv8M_nyDLRH3Gxd_xPCXjMTCxrQ&oe=656611B5&_nc_sid=bc0c2c,"I’m proud, honoured, touched and excited. #Gucci",['gucci'],22890,1588,,2023-01-28 22:32:37,GraphImage
4,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/393392418_18385174012059629_4771095699253065390_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=w63DyQgRYdMAX8ka9uQ&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfB2lgNwD_o0jzKeFXsL3rsFiHzXObpJvY1VH45DlrBwXw&oe=65647473&_nc_sid=bc0c2c,#guccistars,['guccistars'],23827,300,,2023-10-16 06:07:08,GraphImage
5,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/381026542_18380633779059629_1191920522426807505_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=DECEH73PdjgAX9MMKYL&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAoxQtsnjkc7zTWs9yAkUf33AZur58KqjFBUgi8a_e0fg&oe=65644452&_nc_sid=bc0c2c,To Dance. To Sing. To Sweat. To Live. To Breathe. To Feel. GUCCI❤️,[],18968,594,Gucci Hub,2023-09-21 18:22:45,GraphImage
6,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/402238332_18391256905059629_5953018094776974866_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=N92183RB1_wAX9U1gDN&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNzIzNTIwNTQ5MDEzMzQwOA%3D%3D.2-ccb7-5&oh=00_AfDwK1wULNgZ7jCIGrlY3s1O__qP7Zepo77Ofo0RXNh6IA&oe=65651D0A&_nc_sid=8b3546,"Respiriamo liberi, io e te.

Battisti.",[],15582,282,"Milan, Italy",2023-11-16 09:55:31,GraphSidecar
7,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/382819168_18381241258059629_9065503414814664994_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=nslpMfsZFeAAX-DVWJM&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDn9ynC317-e3y77qYM_e1kJw222ZE5qS_O-phl08_q_A&oe=65647615&_nc_sid=bc0c2c,Senza Paura,[],14969,615,"Milan, Italy",2023-09-24 22:48:04,GraphImage
8,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/377578839_18378724636059629_2858871758821914633_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8KLigazodBwAX9ZrDIe&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfD3OcvVve4i_qrKjEm9Y6YKv1cP_rZoMP4QvuUupCXkzA&oe=6564890B&_nc_sid=bc0c2c,#nopressure 😬,['nopressure'],13734,496,,2023-09-11 11:35:10,GraphImage
9,sabatods,174291,1017,True,False,N/A,584,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/343310245_965279021563832_4294808733364953640_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=YGB8mzfiNTMAX-x8TP8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBM6taIM5Rix-5Dw6z6qHkFGf2nF_qr7cnbYbWdRyxIBQ&oe=65643F81&_nc_sid=bc0c2c,VALENTINO.  È stato bellissimo. ❤️,[],13421,615,"Rome, Italy",2023-04-27 14:05:47,GraphSidecar
