,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/362219791_805254310963673_8931646958117286872_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8vLvbgjMoOwAX_cCnLR&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDgy-Z2qYAIpwNpuXmCElO9zJLatSrsHERV5p3ZBccdfw&oe=65670B94&_nc_sid=bc0c2c,"The finalists are in.

Now the final vote for THE #unimpressedcat to be featured in a new edit of the Samsung Neo QLED 8K commercial!

Vote for the cutest unimpressed cat and who you want to see in our new commercial by liking the comment for your unimpressed cat of choice.

The winner and new star of our commercial will be revealed on July 28th through our channel!

#MoreWowThanEver #NeoQLED8K #Samsung","['unimpressedcat', 'morewowthanever', 'neoqled8k', 'samsung']",14160,16828,,2023-07-19 09:00:09,GraphSidecar
1,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/329313160_883774202928255_8533317405064368386_n.png?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=ytl94Gplp3YAX8MQdft&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAPCwWFIf-P00fNxaLz2vurdkQ5te-HX3LRBX0m3158rg&oe=65677D5E&_nc_sid=bc0c2c,"We are deeply saddened by the earthquake disaster in Türkiye and Syria, and send our deepest condolences to all those affected by this tragedy.",[],15798,532,,2023-02-09 23:40:57,GraphImage
2,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/396535465_689247736491991_6511844699270128299_n.heic?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=tAp3vkEXWQEAX8wIfFx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCQWfpHm3sfBgnLYTsTuUD7eXB1at5OtEoqDX8n3CQsBw&oe=65678A11&_nc_sid=bc0c2c,"Unveiling the limited edition, Galaxy Z Flip5 Retro, an homage to the iconic model SGH-E700. 

Find out more on Nov 1st at Samsung.com

#GalaxyZFlip5Retro #Samsung","['galaxyzflip5retro', 'samsung']",8030,89,,2023-10-30 08:00:11,GraphImage
3,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/369589168_861078395381264_4530204232779619324_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=2pWd0szpPlQAX-hEO-6&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfD3xBRcsNW0k6gBfZtF3Tgr2Js-SccjSiirKotXHce53g&oe=6567422F&_nc_sid=bc0c2c,"2003 meets 2023. Introducing Galaxy Z Flip5 Retro, an homage to the iconic model SGH-E700. Limited edition includes a Collector card with a unique identification number.

Learn more: smsng.co/GalaxyZFlip5Retro_IG

#GalaxyZFlip5Retro #Samsung","['galaxyzflip5retro', 'samsung']",7280,59,,2023-11-01 09:00:34,GraphSidecar
4,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/326039075_740324967764217_8164619903163349514_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=23Pf-YPD_0kAX-gYs13&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBooqZNG9gdliNF0kv_6OrJ5yWOLYPkKgfpIIbLDkJTzw&oe=6567A1DF&_nc_sid=bc0c2c,"Say hello to our SmartThings Gallery – the heart of our exhibition at this year’s CES. It symbolizes how we’re bringing calm to our connected world. Here, you can learn how to take connected living to a whole new level with SmartThings. From seamless integration to sustainability, you can create your own personalized smart home ecosystem. It’s simple: Do the SmartThings! 
#SmartThings #CES2023 #Samsung","['smartthings', 'ces2023', 'samsung']",6875,429,,2023-01-19 09:00:27,GraphSidecar
5,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/397990982_861457542010016_5006150666216721632_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EOTUceJJadwAX_to3HD&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAC3G8uFaVgtftIA0P7IxqdtjUAqmXFMttyVehjdZhk6w&oe=6567EF7A&_nc_sid=bc0c2c,"Galaxy Z Flip5 Retro, paying homage to the legendary SGH-E700 is available for a limited time. 

Learn more: smsng.co/GalaxyZFlip5Retro_IG

#GalaxyZFlip5Retro #Samsung","['galaxyzflip5retro', 'samsung']",6759,85,,2023-11-02 01:00:40,GraphSidecar
6,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/342531530_1441981153206821_9052867144494056129_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=mGbgXaO51SUAX8_2aW-&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDEg0BtDDS4DolWM-PsYYhKk-OWwCB8Clp7wfVoJ6dh9A&oe=65672F23&_nc_sid=bc0c2c,"Get the perfect #MothersDay gift. There’s something for every side of Mom. 💝 Whether she’s into epic adventures, or relaxing at home, Samsung’s got gifts to make her day unforgettable. 📱⌚️

#MothersDay #MothersDayGifts #SamsungGifts #GiftIdeas #Samsung

Learn more: samsung.com","['mothersday', 'mothersday', 'mothersdaygifts', 'samsunggifts', 'giftideas', 'samsung']",5237,80,,2023-04-24 09:00:09,GraphSidecar
7,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/202919016_489739915636106_6094808662553678458_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=GBYKE5xcHcUAX_qjOBJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB_nSseOx-Wje9IV7Tx4eUpbFgn1E3jPHmf1wVd8LamIg&oe=6564A850&_nc_sid=bc0c2c,"We’ve reimagined the packaging on our Galaxy S21 to use less waste and help preserve our natural environment. What things do you do to cut down on waste?

#Environment #Sustainability #ReimagineABetterPlanet #DoWhatYouCant #Samsung","['environment', 'sustainability', 'reimagineabetterplanet', 'dowhatyoucant', 'samsung']",4624,445,,2021-06-17 09:01:06,GraphSidecar
8,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/247378477_220505916815964_1023138291477240815_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=XdzvRcbKa9sAX9Y8Em3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDwtdaPiPZ_pA99x5VQPSG21UMg_jVlUKVn2JO3oYAWEA&oe=65673B24&_nc_sid=bc0c2c,"We know you’re just as excited as us - only 3 days to wait until our birthday celebrations begin!🎆🎇🌟 We’re celebrating decades of innovation for a whole week, and there’s even a free gift waiting for you.👀 Link in bio to find out more! ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#SamsungWeek",['samsungweek'],4992,67,,2021-10-22 09:00:55,GraphImage
9,samsung,1391812,93,True,True,None,281,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/401457966_1064014227966161_7061448458581381161_n.heic?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=e7MoSwbBHBsAX-yQpPf&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzNDk2MTk0NjIwOTU0ODExNQ%3D%3D.2-ccb7-5&oh=00_AfCzyu2y4IN-ehddMuel0JfkzrBF_1BIthGYcggwk0PX5Q&oe=6567D7A0&_nc_sid=8b3546,"Shop smart. Save smarter.😎  Enjoy more savings during our #BlackFriday sale. #Samsung 

Learn more: samsung.com","['blackfriday', 'samsung']",4694,78,,2023-11-13 06:38:57,GraphSidecar
