,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/240592871_831621690850724_4769835136332944318_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=IoD8lHgutw8AX8jkOE9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDhVpxqzkhdrco5bN0r6psK8p5ka2Sws6sprb_t8KfCPQ&oe=6568BA8E&_nc_sid=bc0c2c,"⁠Love is Seeking Discomfort. ⁠
⁠
You're peeling away your most vulnerable layers and exposing them for another human being to see. ⁠
⁠
Your fears, your insecurities, your childhood, your past rejections, and the emotions you usually don't show. ⁠
⁠
Whether you're loving your partner romantically, your friends and family, or even yourself.  Love is taking a ginormous leap.⁠
⁠
If you're choosing this type of discomfort, that is definitely something to be proud of. ❤️⁠
⁠
📸 @thomasbrag @lexielimitless",[],48315,179,,2021-08-27 19:02:34,GraphImage
1,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/274536354_495673858619330_4280855279059919686_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=JhcwodJ1zjAAX8vLNS8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBOjEKGfGdKiQr46rNmSUahOaWl8gF4cdps-yToej7o3g&oe=656455E2&_nc_sid=bc0c2c,"We're so excited to finally be sharing this!! We have been working hard over the past 6 months to bring you @sparkbyseekdiscomfort Spark is a game that prompts you with questions to connect with those around you, and then sends you on a random adventure to be able to deepen those connections! It is our ultimate goal with Yes Theory to give you tools to Seek Discomfort in your own life, and that's exactly what Spark is.

We asked you all what were the best questions you've had in your life to connect with other people, and that's where the inspiration for all of these questions came from! And one of the best parts is that the adventures that the Spark generates are ever evolving, so the game will never be the same! (Secret tip, the flow and adventure element of the game was designed by our very own in house architect @ammar 😃) 

Spark by Seek Discomfort is launching this Sunday, 2/27 @ 10 am PST!!",[],38344,596,,2022-02-22 20:17:35,GraphSidecar
2,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/187140820_176165714415712_2168234404269907328_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=pRlanP7B1z4AX94MdMW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCqXJhqMML76C2IDLAMMds7-1tkpTfu9iQYcKUMVvG8UQ&oe=65685659&_nc_sid=bc0c2c,"Dear Seeker, ⁠
⁠
We’re not sure where you are or how you feel as you stop scrolling to read this, but we wanted to let you know that You Are Not Alone. ⁠
⁠
Last year, @YesTheory posted on Instagram, and asked you to leave a comment if you were open to someone DM’ing you who felt like they have no one to talk to. The response blew us away. 20,000 of you commented showing your support. ⁠
⁠
Your actions on that post inspired “You Are Not Alone” a Seek Discomfort Collection that drops later this month. Our goal is to raise awareness around mental health, work to de-stigmatize seeking out help, and provide tools and resources to help our community. ⁠
⁠
We will also be donating 10% of the proceeds from this collection to @active_minds, a nonprofit dedicated to raising mental health awareness among college students.⁠
⁠
We hope you know that when you join this family, You Are Not Alone. We have your back and our community of Seekers is here for you.⁠
⁠
Comment a ❤️ below to show anyone that might be feeling alone, that you are here for them.⁠
⁠
Let's change the world together, Seekers. One step at a time. ⁠
⁠
With Love,⁠
⁠
The Seek Discomfort Team",[],35548,2461,,2021-05-17 19:02:46,GraphImage
3,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/202375575_493075471920190_507164897126439495_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=kFA80jo8YVgAX996q6c&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCvwsyUZ62P9C5W1y9niy1cKG3YxxcZFaFLOGvq3-nL5Q&oe=656738EC&_nc_sid=bc0c2c,"Matt Dajer, one of the @yestheory founders, is a constant source of inspiration for our team.⁠
⁠
Recently, Matt made the decision to stop hosting videos on Youtube so he could pursue his passion for writing. He's now living in Puerto Rico and writing Yes Theory's first book. We admire his courage and commitment to Seeking Discomfort as he strives to live his most authentic life.⁠
⁠
What are you going to do to Seek Discomfort this weekend?",[],36057,496,,2021-06-18 19:02:33,GraphImage
4,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/239965987_525363405205813_3535745849558868773_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=UqiPqxseDboAX9dYZjT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD9jCsAc0bcThwhLBs_nqB5M02rzvORvx0VtphGXoSqxA&oe=65683FEA&_nc_sid=bc0c2c,"Let's play a game. ⁠
⁠
1. Comment your favorite song.⁠
2. Reply to other comments with a ⚡  if you are also a fan of this song.⁠
3. Create a group DM with all the Seekers that replied to your comment. ⁠
4. Answer the questions in the second picture of this post.⁠
5. Seek Discomfort. Make new friends :)",[],17448,11005,,2021-08-20 19:00:28,GraphSidecar
5,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/270575474_257245939809053_2865541545199206580_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=pYEJwMNqp54AX80WH_K&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA2VwUv8_AU0r9xO_-o9E22N08qrEjuQwdL00jGOi2J_Q&oe=656746B6&_nc_sid=bc0c2c,"Let's play a game!⁠
⁠
We're going to get into groups of 6! Every group should have one person from each Seek Discomfort category. ⁠
⁠
1. Look at the second picture and comment the one letter that BEST describes your 2021. ⁠
⁠
2. Reply to other comments by sharing your letter.  Avoid replying if a comment or reply already has the same letter as you. ⁠
⁠
3. You should have ended up with up to 5 replies, all of them coming from different categories.  Create a group DM! ⁠
⁠
4. Share your most proud Seek Discomfort moment of 2021. ⁠",[],22579,5244,,2021-12-29 20:00:36,GraphSidecar
6,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/46391044_2144476275616982_4694547441113839591_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=XP8FtsZWwkEAX86YdDv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCOjCxcYhhY0O6WetorscDPFcMuiu_u_GM9FWU988t4Pg&oe=65674132&_nc_sid=bc0c2c,"Would You Take A Selfie With a Wolf !? 😳 
Tag Someone Who Would Be Freaked Out!",[],26783,295,Wolf Mountain Sanctuary,2018-12-18 05:45:35,GraphImage
7,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/261944801_510490366605552_5021059260894225515_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=p28V4Hkl9dcAX_Hsc9N&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNtGGVi2ZTPHXs8zXI710y8_NqIynKA5ak465DOH1YHQ&oe=6568116D&_nc_sid=bc0c2c,"We have a SHARE THE SPARK challenge for you…
⁠
1. Comment your favorite movie below. 
2. Reply to Seekers with a ⚡ if you are a fan of the same movie.⁠
3. Create a group DM with the first 5 Seekers who reply to your comment.⁠
4. Answer the 2 questions that are on the back of the sweatshirts in the photos.⁠
5. Share your spark ⚡⁠
⁠
-⁠
SHARE THE SPARK ⚡ NOW LIVE⁠
Shop link in bio!⁠",[],24034,1754,,2021-11-29 21:26:38,GraphSidecar
8,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/209579134_2895147654147197_3348956604644692135_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=PZcLPynNRroAX85rv83&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDcM2Lm5In5xU6o70Dpqi8j9GmMO3bdgGbgBNE3-aDuGg&oe=6567D9FD&_nc_sid=bc0c2c,"Seeking Discomfort with others is always easier than doing it by yourself. Let's use this post to make Seeking Discomfort easier for you.⁠
⁠
1. Comment below one thing on your bucket list that you want to accomplish this year.⁠
2. Reply or DM other Seekers who have the same goal. ⁠
3. Encourage each other and get it done 😁",[],23384,1874,,2021-07-02 19:02:26,GraphImage
9,seek.discomfort,326281,49,True,True,None,870,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/65857283_620982551742886_5297389296381757941_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=4-Kus_LCTVgAX9l1ylM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDFtfuKdQrqXbN4shdJN4j0R2DnNDyqQdXOSn6JZnEGcQ&oe=656780B3&_nc_sid=bc0c2c,Pssst... Season 11 drops tomorrow 👀 We're bringing back our best sellers of 2019 for 72 hours only! (📸: @visionsofele ),[],24911,263,,2019-07-28 01:44:24,GraphImage
