,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/364660125_18388837936045232_323951381087101213_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=DdG0qmE-PdYAX-iply6&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfALLIr9mW1tPSUXOEKfaLJZSlEn22sB4bfxGDgLSqJiMA&oe=656282F3&_nc_sid=bc0c2c,The cream always rises to the top.. As I said before there is not a fighter in the sport who work harder then big bro! I am so happy for him and I know he deserve everything coming his way - Put some FUCKING respect on Terrence Bud Crawford name. #TakingNotesEveryStepOfTheWay 🥊💙,['takingnoteseverystepoftheway'],383920,3168,,2023-07-30 20:47:07,GraphSidecar
1,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/402152905_17975749532627503_5607956321830659395_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=KOegG5pej3AAX9_nswz&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNzUyMzkxODU3MDc2ODUxNg%3D%3D.2-ccb7-5&oh=00_AfA51w2z-uFByELR1IiSa2bL3fyUVxbcNvtlSyRKNH7nQw&oe=65639062&_nc_sid=8b3546,PRIME is proud to partner with boxing’s greatest @tbudcrawford (40-0) and @shakurstevenson (20-0) as we continue to elevate the best in the world! #CertifiedDAWGS,['certifieddawgs'],284583,1438,,2023-11-16 19:29:07,GraphImage
2,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/248286037_1302424550219708_8614385689400614256_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=Xygfyxf_VxMAX844Bxr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCZaMjJsTcPMplgjUImq6RzRtyJkceJd77VaCtEQL85Qw&oe=65601CF9&_nc_sid=8b3546,The Shakur Stevenson Era has begun😈,[],276806,5660,,2021-10-24 11:32:50,GraphSidecar
3,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/348227087_695600495704035_429765537680670232_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hhSpHri60kwAX_VJgSK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCGpZ8VbyhfukCEcD1AKmecdurEMjNCxCbq6HkG_5NVvQ&oe=6563AEF0&_nc_sid=bc0c2c,My destiny awaits- God put me here for this reason I understand it clearly now.. Love you all I’m more focused then I ever been 😮‍💨 @onlyfans,[],253965,3009,,2023-05-21 21:17:11,GraphSidecar
4,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/356254578_4328131997412954_2165169529554702346_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=yi-Vi5JfRusAX86FpPN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAgU7GjRZSywupAC47rFgvuVzX3ZPS6u978-ZMS41jc9A&oe=65631D92&_nc_sid=bc0c2c,Family over everything 💙 Thank you @thereallyricmichell and everybody that helped put this together it meant the world to me,[],207773,1278,,2023-06-26 17:28:18,GraphSidecar
5,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/343054359_779881290161055_4864667423817935438_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hxZieNhnvQIAX9Rvn_-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGpJBfzLGvB7P-omYb5WwiZ5j4BZo0oR77Q5H6ynhSsQ&oe=656304BF&_nc_sid=bc0c2c,I made her my wife and then I promised we won’t grow apart ❤️ @thereallyricmichell,[],165175,1395,,2023-04-25 23:38:29,GraphSidecar
6,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/359518343_18385441372045232_5449702725057153668_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=35sdSxgBWwYAX8Orpk7&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAC9OAbolrdceCjMd5UsoZmuRnrU_uJ7k8jsvWH0vi1BQ&oe=6563CC15&_nc_sid=bc0c2c,My brudda played a major part in my career I’m rocking wit him forever this shit deeper then boxing wit us 💙 we working @tbudcrawford @willie_elmongoose_monroejr #LockedIn,['lockedin'],145983,1074,,2023-07-12 17:25:37,GraphImage
7,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/403736650_725434768952707_1091405571113705962_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=OC56Au5rv_0AX9Ilob9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzODE5NzI4ODAyMzQ3NjY0OA%3D%3D.2-ccb7-5&oh=00_AfDWvlQAMBZ7BNASu6ANhGYJ0xZuZVoIWuUG9Wu88R0f6A&oe=656313A1&_nc_sid=8b3546,Do me like they did the Greats Ian tripping.. I wasn’t 100 percent last night and it’s ok because I still got the win and for my fans who support and love me Y’all know the real no excuses chin up and I love y’all too don’t worry next time out I have something to PROVE I promise DONT FORGET I BEEN HERE BEFORE.. Maybe now they will fight me who knows but time to heal up and enjoy the holidays wit my family 💙 #ChasingGreatnessDontStop #3DivisionChampion,"['chasinggreatnessdontstop', '3divisionchampion']",137366,5788,,2023-11-17 17:47:00,GraphSidecar
8,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/401701589_18409372015045232_7184092086449773880_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=k1ly1nZPp-8AX_rKvFR&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNjk1NTM1OTEzODg1OTEwMQ%3D%3D.2-ccb7-5&oh=00_AfChyZ_mp3vzzGINni8LYVAXSGt7dMCyS2TDum_x5CCBgg&oe=65624E50&_nc_sid=8b3546,Im Made for moments like this. #ChasingGreatness 💙,['chasinggreatness'],112583,2861,,2023-11-16 00:39:30,GraphSidecar
9,shakurstevenson,1228351,481,True,True,None,182,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/364047243_18388893730045232_892626589139820273_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=OHZ-epQtvv4AX_9cTMd&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfC8itUbeAmdLya7oSBz8MbD30EUYWEUCH76vvsBwCZVYg&oe=6563AB3C&_nc_sid=bc0c2c,Happy birthday baby I love you so much I appreciate u for always holding me down.. Enjoy yo self I love seeing u happy ❤️ @thereallyricmichell,[],107548,485,,2023-07-31 04:49:46,GraphSidecar
