,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/80894421_1232942357096230_2601708578002601264_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDk1OS5zZHIifQ&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=G-QHdxO8B-oAX80jP7L&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjIyNzkxOTg4OTMzOTIwOTM5Mg%3D%3D.2-ccb7-5&oh=00_AfCeJ2R-ljfiCSR1q57ysfSfruA8swI9fbiz4EVU1gCKjA&oe=65658AAA&_nc_sid=fc8dfb,He doesn’t like my jokes as much as I do 🤷🏻‍♂️,[],1105821,3891,,2020-01-23 19:46:08,GraphImage
1,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/121493316_1004747750001683_4264084558047560370_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=6NCM9VHL6aEAX8hkEY7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQyMDU3NjM4ODIyMDU5ODEwMg%3D%3D.2-ccb7-5&oh=00_AfBOMliHQ0orhpANI_QSxZoZPvkKKYstLX5bG2uy1u7XUA&oe=656535E5&_nc_sid=fc8dfb,Goodbye Riverdale...thank you for introducing me to some lifelong friendships and so many beautiful souls. Today is my last day on set but the experience will never leave my heart ❤️ Thank you to all of you for the love and support 🙏,[],965161,24784,,2020-10-15 15:20:13,GraphImage
2,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/50895217_144632666484016_6084209430217979948_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=uR2gcKioVdUAX8tuFJ4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk3NTM3NDE5Mjc2OTU1MTEwOA%3D%3D.2-ccb7-5&oh=00_AfAbaPuTe85gUz3qBFWShTOiAObHHm5ukQyt34yZBT2tRw&oe=65645697&_nc_sid=fc8dfb,Who dat?,[],965999,4634,,2019-02-09 09:02:55,GraphImage
3,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/40077286_242645533104890_1461251906797043712_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDc5eDEwNzkuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=0DyJRMWjqWMAX97iuyO&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTg1Njk2MDIzNTg1MzcwMTgyNA%3D%3D.2-ccb7-5&oh=00_AfAsL47wQykZANJVozltOGHENHvKVKEJ-4dbfIx1fRP8BQ&oe=656595D6&_nc_sid=fc8dfb,A snake may not shed its skin so easily...but clothes are another thing altogether 🐍💪 #FaliceThrives,['falicethrives'],780547,22863,,2018-08-29 23:55:32,GraphImage
4,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/116794683_855333921905708_1708082227759913377_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=pudl6YiJx60AX-8luRA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD9st45ttFDDW_gFFhpXRnr6S17kbFwijJhwCReStdH9Q&oe=65645546&_nc_sid=bc0c2c,"Happy Birthday!!! There are so many qualities to admire about you...your love of animals being one of them (you even went to see Cats twice) 🙏 Keep fighting the good fight, both real and imaginary 💪",[],796792,2430,,2020-08-04 17:43:27,GraphSidecar
5,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/47694299_2116313061761865_6116472991486733793_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=IXOaLdnnx2gAX_wQDm3&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk1ODIyMTg5NjU5NjQ0MTA5Nw%3D%3D.2-ccb7-5&oh=00_AfDC2jL7LS0oMrcUQPCJMaHvMJxCX0DSPFssPFcT1aA5Jg&oe=6563FD14&_nc_sid=fc8dfb,"Jughead, Boy! Wake up, we are back on tonight!!!",[],745271,4226,,2019-01-16 17:04:22,GraphImage
6,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/146254806_245924916920191_3141158297713029647_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0MzYuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Z04aVg1HKTQAX-8ARGl&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUwMDM2MTQ5NjQ4NTY1MzcwOQ%3D%3D.2-ccb7-5&oh=00_AfAtTKG9t2QDY-ecDqDstx7UfIGp2thNW3WdPayCt008Qw&oe=656493E3&_nc_sid=fc8dfb,“It’s been a wild ride!”,[],710105,4587,,2021-02-02 17:18:59,GraphImage
7,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/47582448_296502067659935_3772985028099635356_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDc5NC5zZHIifQ&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=zxVLZYGmdgsAX_pK-Zm&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTkzMjEwNjIyMzcyNjE3NjQ3OA%3D%3D.2-ccb7-5&oh=00_AfBNS6CRrBaBxZT4C7eARZRuEOUxAxaMoAHiHvwRL117Zw&oe=6563B94F&_nc_sid=fc8dfb,The boys are back in town...or are they?! Tomorrow night at 8 on the CW and around the world Thur on Netflix...,[],675264,2914,,2018-12-11 16:17:11,GraphImage
8,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/37109640_2002738403077891_6204830383700180992_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NDZ4NzQ2LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=OHieMSvIY9UAX98phpK&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTgzMDIxMjY0MjI3MjY2MDcxMA%3D%3D.2-ccb7-5&oh=00_AfDwvPJTpUXyw9IRT1QLQluDEKEuDBmx2iuljO9GEXzi3Q&oe=6563F26C&_nc_sid=fc8dfb,Thanks to everyone who made ComiCon such an amazing experience!!! Back to work with all the support in our hearts 💪❤️,[],662625,3235,,2018-07-24 02:12:50,GraphImage
9,skeetulrich,5017467,98,True,False,N/A,151,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/66473341_357555438263430_6818389778649245625_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45MDB4MTEyNS5zZHIifQ&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=7WTZc5I_jesAX_xJi6k&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjA5MDkyNDE0ODE1NTIzNzA1Nw%3D%3D.2-ccb7-5&oh=00_AfCQJhjV7h5iDyr4YsM04reRJWtFQkKkiwkW4NnD8Wpjbg&oe=6564924E&_nc_sid=fc8dfb,Just because of that mischievous grin! @madchenamick,[],640713,2637,,2019-07-18 19:20:03,GraphImage
