,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/242662188_122228603498239_1452625536924377643_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Ch3gVcjdupgAX9dNQ-l&edm=APU89FABAAAA&ccb=7-5&oh=00_AfALHDwzlmKawa8kwBOzkx2iNd0lBmmClg8KuWo9PaETnQ&oe=6565A2D4&_nc_sid=bc0c2c,hiiiiiii 🖤,[],677509,10212,"Sapelo Island, Georgia",2021-09-24 21:33:34,GraphSidecar
1,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/154633506_1590452527808627_2565918836165987561_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=RKyX6YOZhCYAX8iE1Nq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAV_t312D9nZoW03ECjoDJx9Q0cudKr2LDCo-AquHKJcg&oe=65656444&_nc_sid=bc0c2c,,[],661519,9288,,2021-02-28 01:13:01,GraphSidecar
2,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/356033200_270946478941714_6021893647709411753_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=RwfPb_5sj7wAX86nrqm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAOQ6m5Era5Q7RWsR7ca7dqDebNGO4NsrVtAYNhQfIsCQ&oe=6562D4D6&_nc_sid=8b3546,"@cancersznisforever !!! 🎂
S/o all the black women who lift me up and bring me joy every day ! 

🛐All I want for my birthday is to give gratitude that God chose me to be black and woman, and to bump Yes Sirrr like 4, 5 times in a hot tub w my frennnns…🥂

I love yallllllll",[],656622,13036,,2023-06-24 16:50:12,GraphSidecar
3,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/205286120_528084855049965_741916738618362264_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=uZJv5OMXn1oAX-PHqjQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDVDuIlCg3gI5o5kICp65HxBHiLPcjf0wprA-VpP3LbaA&oe=6565B313&_nc_sid=bc0c2c,"🦀 @cancersznisforever 🦀
 ♋️♋️♋️♋️♋️♋️♋️♋️",[],644147,7692,,2021-06-22 17:24:32,GraphSidecar
4,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/51441855_396400954271423_2405803370655456891_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=FrZdb-c-Oo4AX8ChKpn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD6rDxs8g947DGIF0lskLJVP8a4Fouod_dFGWP-kiSo4Q&oe=6565ABE6&_nc_sid=bc0c2c,"When I Get Home
...out midnight 2night 🖤🖤",[],540319,25717,"Houston, Texas",2019-02-28 23:31:19,GraphImage
5,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/273621540_116061760986775_484972928176352567_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=H8jj_UndKeUAX9o4p7l&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDEDN0g8PiMCsrtR2BClEniyK6y-Mk69tPv4Cou3rm3Pg&oe=65654CF7&_nc_sid=bc0c2c,,[],535870,8090,,2022-02-08 18:23:24,GraphSidecar
6,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/299885937_549050980238461_597390654307199839_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=qFP8_IHOYv0AX8PadnD&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkwNjE3MTc4ODg1MDQ5MjgyNw%3D%3D.2-ccb7-5&oh=00_AfBvfnuBQxTOYlEgQIa1VtGddvtCJ0T37t-u9XNKSBWw3A&oe=6566C10B&_nc_sid=8b3546,"🖤very excited to announce i’ve composed an original score for the New York City Ballet 🖤 choreography by Gianna Reisen , score performed by the City Ballet Orchestra and soloist from my ensemble 🖤 

Shows : October 1, 8, 11, and 16 as well as May 2, 11, 13, 17, and 18th at Lincoln Center",[],500978,6813,New York City Ballet,2022-08-16 15:11:36,GraphSidecar
7,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/309453226_1693647564364311_833178496125864906_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=iqayV5sBXUMAX-zsrQO&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkzODc1Njc0ODUxODQyNTYyMA%3D%3D.2-ccb7-5&oh=00_AfDHiuMsoZgOaPeZTD4QhAVTO4WETvmevQWERlJJPUXyaA&oe=656599C1&_nc_sid=8b3546,🖤heart so fulll🖤,[],472524,5346,New York City Ballet,2022-09-30 14:12:06,GraphSidecar
8,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/132205009_206425031072712_2033361507559421285_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=7_pR3aE6pj4AX8o4rao&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCqLmCNs3NYz1tKuNKjP9f3W0gD4aSrca6ZvwVJEqb1Tg&oe=6565CF62&_nc_sid=bc0c2c,@rafaelrios__ for @documentjournal 🖤,[],453732,5601,,2020-12-24 17:45:55,GraphSidecar
9,solangeknowles,6925639,80,True,False,N/A,123,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/42671994_276688866520052_7269119738673434077_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=IM2YumRwnT4AX-ii_Qn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCI27shihy0Jir-DjhtGt3kbk9DBWGssxjFNshBzZvk3g&oe=6565A921&_nc_sid=bc0c2c,,[],450878,8374,,2018-10-14 21:56:17,GraphImage
