,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/101395239_118283102961471_6373195229388555275_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=2SUQUTyYbgUAX8VtjNa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCaYj0VXFHsxwfP0qbFxXOuXAcZTsl13f2vBAsllmGqqA&oe=6566E931&_nc_sid=bc0c2c,NASA astronauts Bob Behnken and Doug Hurley before Crew Dragon flight,[],1026366,7433,,2020-05-27 19:36:11,GraphSidecar
1,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/116440696_741457026398660_8908950689553695899_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=sT44OiOiMJEAX9hfHzO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBlswkES-5lbXXvg8JnKuumKY_f_4YSOA-ckO93zrK5Sg&oe=65665458&_nc_sid=bc0c2c,"Welcome back to Earth, Bob and Doug! For the first time in history, a commercial company—entrusted to carry @NASA astronauts to and from the @ISS—has successfully taken humans to orbit and back on the world's most advanced rocket and spacecraft.",[],994046,5205,,2020-08-02 22:58:21,GraphImage
2,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/125429319_371478547294845_7920628227846909691_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6dilaQ3tDScAX-ffb5J&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCCCZ3LvJ8-9Wy1juOmqP1PzUnjSXT9ovrxM3Yultmyxg&oe=65675BFC&_nc_sid=bc0c2c,The crew is go for launch,[],951773,4962,,2020-11-16 00:25:26,GraphSidecar
3,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/101439880_929942760764208_6440904193845829246_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=il8SXezdIpAAX8PR3Rn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCz7S820fKVR9kM0Pp4_qFWCevOipiJ2VGnZmP7LbJ5KQ&oe=65661626&_nc_sid=bc0c2c,Ready for launch @nasa,[],905857,5804,,2020-05-30 18:29:32,GraphSidecar
4,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/101469669_261256858646407_6832094108126523869_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=rHB-vhADcjoAX8UUJZj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCK-Uh_FGbY-8ydk4f30s8U4PNkZagx2RZ3AgG_Qxx-2Q&oe=6565D460&_nc_sid=bc0c2c,Falcon 9 lifts off from historic Launch Complex 39A and sends Crew Dragon to orbit on its first flight with @NASA astronauts to the @iss,[],884571,4377,,2020-05-31 01:41:44,GraphSidecar
5,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/160108853_895131581245291_847132394528951699_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=vITLFwpgp3gAX91c5eG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAyer9V4Wf1ijw1ojehMf7GC-J9B1YZpQAGC_ooe7nrzg&oe=65665EAA&_nc_sid=bc0c2c,"Falcon 9 launches 60 Starlink satellites to orbit, completing that first stage booster’s ninth flight",[],874541,2769,,2021-03-14 11:32:18,GraphImage
6,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/234713246_125427743132405_4460117836422581706_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=t4UvUZCLjZYAX-KcAtS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFheegifCT1JhBcpp848ZsNnofAtgNDyJgCU7ea9UT8w&oe=65665635&_nc_sid=bc0c2c,Starship on the orbital launch pad,[],781953,4442,,2021-08-06 17:45:48,GraphSidecar
7,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/176108448_316369596497101_3521838489500689821_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=TJe6mlGOxBoAX-Nqerk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDIQwvfpG4lxV6XPHARYoiUKzHv8cLAA0ZpDjmYA3UMLA&oe=656686CF&_nc_sid=bc0c2c,The crew is ready for liftoff,[],740001,3075,,2021-04-23 08:39:32,GraphImage
8,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/308177956_465989615546267_496303782887199777_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=i4KrNAnr1SMAX8kOyJA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD2UAYYxn4kklY2tkGEQNvrillhOZDc8m1b7_Wf07_YzQ&oe=656612E3&_nc_sid=bc0c2c,Falcon 9 launches 52 Starlink satellites to orbit,[],655061,3888,,2022-09-25 01:32:29,GraphImage
9,spacex,16891962,3,True,True,None,603,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/125396641_118777090014496_7560250755200880810_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Qxm_CLULLcwAX9i2JMm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB_dTexAVZJmyboCnBMUHuPG62Ewz65v-9JO2maZGIMEw&oe=6565C2E5&_nc_sid=bc0c2c,"Astronauts flying aboard Crew Dragon’s first operational mission to the @iss: Mike Hopkins, Victor Glover, Shannon Walker, and Soichi Noguchi",[],637180,2745,,2020-11-15 20:39:54,GraphSidecar
