,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/330298052_726771278848296_3385231459722412644_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTQyeDExNDMuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=IWoTRBhmQBEAX_gLgBQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAzNjcyODU4NTY3ODQ3OTM3Nw%3D%3D.2-ccb7-5&oh=00_AfCTB5gvlGhNaM0Q9iMA-lkt_yJDRm3_3utMCkqm-kEapQ&oe=656581DF&_nc_sid=fc8dfb,"I listen to this man’s music everyday whilst cooking. ⁣⁣⠀
⁣⁣⠀
It was a great honor to present Artist of the Year at the Brit Awards to the talented and kind soul that is my friend Harry Styles.⠀",[],651234,2621,,2023-02-12 18:24:38,GraphImage
1,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/275582055_540644980574331_178789361151204951_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=4jANigZMk_YAX_RiqeR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB1_r9bn3YOo52aaNEw9zZH6FvVenZeKkKQTbis6vt6Jw&oe=65647646&_nc_sid=bc0c2c,"when you’re really serious about carbonara…⠀
⠀
⠀
4 simple ingredients creates one of the best pasta dishes. So good that I’ve dedicated a whole section to it in my book TASTE and our show Searching for Italy.",[],221460,6107,,2022-03-12 18:00:08,GraphSidecar
2,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/260758143_454514779440362_9173474388158620488_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=PfGLEJiwLXUAX8NF1pz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZH6zl5dE26OB9SLQ5FLt398D7LeNhcLWKp2lxwCOeMg&oe=6564DEC5&_nc_sid=bc0c2c,HAPPY THANKSGIVING FROM MY FAMILY TO YOURS. 🦃,[],198340,1642,,2021-11-25 16:51:08,GraphSidecar
3,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/340657665_542300631153747_372837947050953449_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=dZQhKdwiHEAAX_cOhsa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCRI2LuoSax09vRXeLlwE15in8dgMu2zmMyfaPLkxs8-A&oe=6564F904&_nc_sid=bc0c2c,happy Easter everyone 🐣,[],190647,1798,,2023-04-09 19:37:48,GraphSidecar
4,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/275162834_473230334286291_1809888126849706828_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45NzV4NjkwLnNkciJ9&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=BDHgbzy-jgQAX9schM-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc4NzMyMzcyOTg5NjYwOTQ2Ng%3D%3D.2-ccb7-5&oh=00_AfD0pYAGeaKamf486-c72REmXz-trFj6lXqzKA_TD4TzoA&oe=6563E1D3&_nc_sid=fc8dfb,"This was just sent to me from a friend. C’est moi at university about 42 years ago. Ah, youth. Ah, hair.",[],184965,3002,,2022-03-05 15:41:43,GraphImage
5,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/220031422_361082565369043_2932235371779461836_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=TZYEgTJ2_voAX8WR_Ti&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBOROa0k1e4hEgaa6NK1D0mRMdqwiR7lXv7r8eVOJZgmQ&oe=65644B26&_nc_sid=bc0c2c,"Pasta alla Martina -  fresh tomato sautéed with garlic, oil and white wine, fresh asparagus, peas, shrimp and basil. Tossed together with pappardelle. Felicity thinks it would have been better with spaghetti.",[],173041,2002,,2021-07-18 20:48:18,GraphSidecar
6,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/277600834_1187953125341564_126904125509755799_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=YxtBCkdb9KMAX9WumRo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBM4q6YmfNahRXm9yEkQaTIRGuAVXzj4lCso3jm9KUEag&oe=65654CF6&_nc_sid=bc0c2c,Delicious lunch meeting today at @bocca_di_lupo,[],142189,1584,Bocca di Lupo,2022-03-31 17:58:38,GraphSidecar
7,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/169106138_155786276428358_1178281344972024648_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=2sGDVCduteUAX-xog8S&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAlajDM40Xx6lgcTr_IbtazD1r5kOu8dB3omkk2QZq5Lg&oe=65613C84&_nc_sid=bc0c2c,"Happy as a clam. ⠀
⠀
⠀
⠀
• 1 pound spaghetti ⠀
• 1 pound of clams (smaller the better)⠀
• handful of chopped parsley⠀
• 2 cloves of garlic roughly chopped ⠀
⠀
**serves 4 OR me and my wife⠀
⠀
- Put your clams in a bowl of very salty water for 20 minutes to purge them of any dirt. Discard any that are open before cooking. ⠀
⠀
- Put the pasta on to boil in salted water ⠀
⠀
- Place a large frying pan on a medium to high heat add a glug of extra virgin Olive oil.  throw in your garlic and cook for one minute until soft (move garlic around the pan to prevent it from burning)⠀
⠀
- Add your clams to the frying pan and turn heat to high. Cook until all or nearly all are open. ⠀
⠀
- Add your parsley ⠀
⠀
- Drain pasta reserving one cup of pasta water ⠀
⠀
- Add cooked pasta to the frying pan with half of the reserved pasta water and toss. (Add more water if it looks too dry)⠀
⠀
- Add salt and a splash of extra virgin olive oil to taste.",[],135016,2745,London,2021-04-06 15:28:27,GraphSidecar
8,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/272093084_454977889461021_6550618967805265797_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=DazAYdfuc40AX83JU6V&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc1NDc0OTE5MzY0NzE5MjAyMg%3D%3D.2-ccb7-5&oh=00_AfAlYabYdejNR9zUtHSVQcsTg4T_g0ODforcmpVliRRsuQ&oe=6565688F&_nc_sid=fc8dfb,"Risotto, Pasta, Wild Boar, Truffles, Barolo…. SEASON TWO coming to your stomachs SUNDAY MARCH 13 at 9pm ET/PT on CNN. 🇮🇹🐗🍷
⠀
⠀
#searchingforitaly ⠀
⠀",['searchingforitaly'],131874,4834,Italy,2022-01-19 17:01:55,GraphImage
9,stanleytucci,4044572,155,True,True,None,214,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/209624951_335142964659796_4120956869191355622_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=ybrxF6ZzdScAX9PM-4z&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAfsaJn8HXYf6QG7uRGpM60J80vJxCMJ3BBk8YN7Mkxg&oe=65658A32&_nc_sid=bc0c2c,"A rare few days respite alone with @felicityblunt at @watergatebay where the sun was shining, the food (best Greek salad ever) was incredible and the rooms a delight. Could not have hoped for more. We walked the costal path and she did really well to keep up. (When keeping up means being 20 yards ahead the whole time). Very proud of her.",[],114725,795,Watergate Bay Hotel,2021-07-02 10:34:23,GraphSidecar
