,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/402556678_18400203085003178_8989338242461671136_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=M1kO_U0dNS0AX9_sS4_&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzI0MDYyNDgwOTgyMDc1MjgzMA%3D%3D.2-ccb7-5&oh=00_AfDr0erbCawtduR3cbKZkI0PS_Hi_seU1f31y75HfMJY0Q&oe=65629E41&_nc_sid=8b3546,thank you for such a beautiful time in mexico! ❤️,[],464478,2514,,2023-11-21 02:10:03,GraphSidecar
1,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/344586737_900969821002532_889300390087905072_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=SGmBOR8vRPEAX8fZxWy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDlBWktU57ZVlIQ8e38272k-sT8Dj39aoUyWcNHrC3KvA&oe=6563BAE3&_nc_sid=bc0c2c,"Karl Lagerfeld: A Line of Beauty 
@fendi Women’s Spring/Summer 2019 gown by Karl Lagerfeld ❤️",[],409468,1674,,2023-05-02 12:41:35,GraphSidecar
2,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/337563077_1214478109179742_3681983313252933126_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=eCYUmBRrKK0AX_YrAmz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDBbdfKwksgbMlPkkeX8T5wExcSqoNTara_YHjdug_2ng&oe=656284D8&_nc_sid=bc0c2c,,[],280189,1474,,2023-03-25 02:04:53,GraphSidecar
3,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/337348148_214620137908260_3094772628008634181_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=wQ7j8Ruth5EAX-cFOKd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA5aJ6xXThw0QPobq7To0tJCMB-9XE8q4c7R5_6cATLsA&oe=65630541&_nc_sid=bc0c2c,warning - final episodes with mother and father might break you like they did me,[],262517,1372,,2023-03-23 17:05:56,GraphSidecar
4,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/337745879_604931467849561_1101751687165452657_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=_RC-yu2VDqoAX8KG5zv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAE6C1KWssKtrkbZhzy_acjWVfS4VhbO2zwy-6ZKDJCPA&oe=65635C7B&_nc_sid=bc0c2c,Miss Daisy Jones ❤️ @rileykeough,[],256113,666,,2023-03-25 15:18:29,GraphSidecar
5,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/347560116_18375302965003178_6683329096544196469_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=dYWof0PZMM8AX888E-1&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCHqQ_n90wcqSOYgCrTOW-cqcbmyVjNNAzj6ew8dGDgoQ&oe=6562A9BB&_nc_sid=bc0c2c,My heart is bursting! NINE Emmy nominations @daisyjonesandthesix 😱❤️ So happy and in awe of the immense amount of work and talent it took to make @daisyjonesandthesix ❤️ Congratulations team Daisy and thank you @televisionacad ⭐️ (photo @Itstillpix),[],224364,472,,2023-07-12 22:48:25,GraphSidecar
6,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/344799271_256452820118584_6417069499132469367_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=-7tyIAsqSGcAX8vXNtj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAEkn1cXbnUSDAU2kTYjlXs9eJr3iJxSANs-FEqFRykww&oe=6563F3CF&_nc_sid=bc0c2c,Met Gala makeup #YSLBEAUTY #YSLBEAUTYPARTNER  @yslbeauty 💓 makeup by @cedricjolivet,"['yslbeauty', 'yslbeautypartner']",199064,476,,2023-05-02 22:11:07,GraphSidecar
7,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/352195651_204454222493674_981962226553747955_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KVB-uzcZQ1EAX8lBgGO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCxX3c9c4TjRR1RfltpQaeDacEPg1Y4rQX0ZpzD9Z975w&oe=65638947&_nc_sid=bc0c2c,,[],197768,487,,2023-06-06 01:12:04,GraphSidecar
8,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/363445051_18380095861003178_6234857395801272192_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=yTvArVFmWPoAX8AO3io&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAJpIiCk54iZsl60huaapMXHx-6UFtCUO5Z0QC06Wi7dg&oe=6562B0C1&_nc_sid=bc0c2c,Lollapalooza! ❤️‍🩹,[],196410,394,,2023-08-07 14:53:43,GraphSidecar
9,sukiwaterhouse,3813318,1670,True,True,None,352,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/318044059_639994491140720_1624965315125615353_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=NtrpGGZdbHcAX9uY_uj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDUE1YwXQlaxwCtMgITsDDdAFYWGPo5_6oDMhZsmp50cg&oe=65629BFC&_nc_sid=bc0c2c,"Daisy Jones And The Six 
March 3, 2023 ✨",[],180414,675,,2022-12-06 19:57:34,GraphSidecar
