,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/92558102_857887984686821_6758210861186139916_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=acUMtqe8wW4AX92-E2o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD1Jt-F-SDyMdDkVeXDa0Y2C8ZACUDvdSnTDcivsDPzsg&oe=65651FC3&_nc_sid=bc0c2c,Ready.,[],121423,2789,,2020-04-10 00:24:59,GraphImage
1,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/84049889_614600485753458_5691821248800794839_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=JWjSSPWY_vkAX_O4hsm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCfZvwrD4aeHYH83x2m9k6NCXDZmXYvtVp2MJNMeipt-w&oe=6565DB2F&_nc_sid=bc0c2c,"1983
#tbt",['tbt'],120151,2234,,2020-02-13 22:18:27,GraphImage
2,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/80721092_208908740268874_2269950640492403911_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=47iJ7AjIVvwAX-twzvE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBkKfeTrImVCaw9uRiQR7MZYfudcvZmf5wsu-xrGHB75Q&oe=656666A3&_nc_sid=bc0c2c,Stepmom NYC premiere with this beauty @juliaroberts. 12/15/98 #tbt,['tbt'],119380,2060,,2020-01-23 21:13:36,GraphImage
3,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/26068540_1786799131339158_5112847043320086528_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=v3Ac6JrHyqUAX_X4VN1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDWZiteaqp2GPHdxrshlPm0ng1LvlEKw5AmBEmSai-1NA&oe=6565F6F9&_nc_sid=bc0c2c,"June 24, 1991 #TBT",['tbt'],106545,2468,,2018-01-04 20:34:46,GraphImage
4,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/26372020_1299600030139736_1995358217068085248_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=-pVm8aQGoL0AX-Ow6jT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDQWntb3cE0kW5ZSzwNMdOw9SWwFg4HDDPnJrqbkDmhMg&oe=656660CA&_nc_sid=bc0c2c,"Thank you @amynadinemakeup, @pamwiggy and @michaelangelnyc for red carpet-readying me for the SAG Awards tonight! 💋",[],106195,2096,,2018-01-21 23:08:40,GraphImage
5,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/29416261_1990844130943552_670402102362636288_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=rFMssQcefRkAX-othYX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDrk5h2g26-XRz09C5zMMgApwonFVjEsSOcP0D20mkNIg&oe=6565522C&_nc_sid=bc0c2c,Old friends watching new leaders. #marchforourlives,['marchforourlives'],100076,1080,Washington D.C.,2018-03-25 02:52:57,GraphImage
6,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/332075065_1229448940983543_2204090510186630205_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=tU9RtsRT8qYAX83cCS8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB2pkqmgEb7BHL-_jOKA_ME4hHBaQPkQZoBeUetqstlHA&oe=6566DC7A&_nc_sid=bc0c2c,Hi.,[],97205,2515,,2023-03-06 18:19:21,GraphImage
7,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/69775081_391330441543225_7792483580118518962_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=uFSfGIZOeLcAX-8S0gP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZY7WCBW5A45MSy-e5VUUbgNIlPm5nJD0uIVweJQpqBA&oe=65667352&_nc_sid=bc0c2c,Jessica Lockhart as Cecilia Monroe and Joey Tribbiani as Dr. Drake Ramoray. 2001. #TBT,['tbt'],97099,1159,,2019-10-03 18:43:06,GraphImage
8,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/37809636_2193501344217949_716064008515354624_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=fUgxuU0Z5m0AX_-NKmf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCvhu0U_hf8x5t-_qepCaEYkqRGdZA4BO_AJiN_GaBvWw&oe=65650F08&_nc_sid=bc0c2c,"Wedding Day 
9/16/67
#TBT",['tbt'],94112,1392,,2018-07-26 20:31:39,GraphImage
9,susansarandon,1784926,303,True,True,None,707,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/26071713_837775636383685_7962004433385029632_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=sGI_ro7tdcEAX8r0bED&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAL76KaNuxRSR85KU52nEuyKRVX-2rCFq3RpqjrZXlvRA&oe=656519F5&_nc_sid=bc0c2c,"Today I will wear black in solidarity and gratitude with all women in all industries, acknowledging our mutual power and vulnerability. #TimesUp on silence, on imbalance of power, on inaction.",['timesup'],89547,1076,,2018-01-07 18:57:55,GraphImage
