,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/90094207_2588407238097605_8721066460572387160_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=kEljdx1FL00AX8OvPY8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAgYCavwNpYWzMfV8l4BMi1bK3zXaIWGEDeFIS8FNny-A&oe=6563617B&_nc_sid=bc0c2c,"Terminando con este lindo proceso. Atrevido 25/07/2020 
@trueno",[],15506,438,,2020-03-18 22:33:26,GraphSidecar
1,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/280559816_147732954449105_5264801729581505049_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=XhvVmOtM6g8AX8T1PH9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBUjmcBnI-DhxUuM9SZn1PmF3fttIF5LvmY9XS_ZtTbIQ&oe=656413F3&_nc_sid=bc0c2c,"Después de 2 años de trabajo salió Bien o Mal. Un disco que nació de una idea y un concepto. 

La producción la llevamos con @____briantaylor___ que se convirtió en un hermano, después de más de 100 grabaciones juntos en este disco.

@trueno no tengo nada para decirte que no sepas, sos un genio , te quiero mucho amigo hermoso haber embarcado esta aventura juntos.

Muchas gracias a los más de 60 músicos, productores e ingenieros que participaron en el disco, todos fueron parte y generaron esta obra. Y muchas gracias a todo el equipo que se calzó esta etapa hermosa y cambiante al hombro :

@jotaayerza @donchodis @peligro_comunacuatro @emiliano.delorenzi 

También muchas gracias a @lucasvignale y @e_l_d_o_r_a_d_o por ponerle imagen a toda esta locura! 

En este disco también estuvieron en la produ:
@bizarrap en Jungle con @djfermindaddy 
 @yesan en Panama
@maurodetommaso en Tierra Zanta y @fedevind @babetruth en Argentina!

En el Mastering: @javierofracchia y @davekutchnyc son unos capos! 

Espero que lo disfruten!

Faltan 2",[],13595,168,Argentina,2022-05-13 22:11:26,GraphSidecar
2,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/115667330_319613555830171_538942659898188216_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=RihNMJw5NIAAX91blyg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAQC8wj4gP0YELUzdEdzZOFUeh-CqxzKQU-brf9dkORqw&oe=65636115&_nc_sid=bc0c2c,"Ya salió Atrevido! Un Álbum que nace desde un concepto. Muy feliz de haber producido este Disco para @trueno 
Una aventura inolvidable que llevo mucho esfuerzo , dedicación y aprendizaje. Un placer laburar con tremendos Artistas y Productores. Este disco es el fruto del trabajo en equipo entre Diferentes Artistas, Productores y las personas del Sello, demostrando que unidos se pueden lograr grandes cosas.

Gran arte de @e_l_d_o_r_a_d_o 

Gracias @nicki.nicole @wos.ds3 @mxalemanmx @yesan @o.n.i.r.i.a @evlay_ @bizarrap @xovox @pasqualepedro @renzolu @silla5patas @marcoslongobardineon @juano.damiani @peligro_comunacuatro  @neuenarte @donchodis @lolagmarin @jotaayerza @neuenarte 

En las mezclas @____briantaylor___ y @_rodobustos 

Mastering @carloslaurenzmastering 

Espero que les guste !",[],12534,206,,2020-07-24 20:05:44,GraphSidecar
3,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/235965753_296632265589605_6124765497848202126_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=tjOyOXuu1Q4AX91KugV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCDO1X8-FU5_eayhPu33L-3MhVQHkpnx1ymRvlh1Gtv2g&oe=655FA5D5&_nc_sid=bc0c2c,"Postales de una increíble Gira 🇪🇸 ! 
Muchas gracias a Todo el equipo, no se podía pedir más
Ahora volvemos con todo",[],12250,135,,2021-08-10 21:08:51,GraphSidecar
4,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/272253621_1280660339074480_3330197476276690752_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=104&_nc_ohc=dfIdDsnbFewAX9gWJYM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDvNB-u0MKy4zuxEKQmgo0BSlBww1wGm8fR4hjYO7xzxw&oe=65632731&_nc_sid=bc0c2c,,[],11501,174,"Miami, Florida",2022-01-22 01:04:12,GraphSidecar
5,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/302252215_378998407741763_2034163515747654026_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=eOR2JZsvSYEAX_SOvOt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBpgjCpG6wX46dA1wuZbdBqeQXeXYjh0gghU7E0sFrm_A&oe=6562C199&_nc_sid=bc0c2c,Nobody like Yo Yo Yo Yo,[],10577,39,,2022-09-01 23:35:03,GraphImage
6,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/340959689_948156896188988_2909078382199713341_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Y98KaTNifX8AX8VrlrX&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA3ODIzNjEwNjg2OTIxMTkyNg%3D%3D.2-ccb7-5&oh=00_AfDdb2k85tICZLXXBbRlfMPg8fnXFlZ61hs2zuEObBDuJg&oe=6563E1E8&_nc_sid=8b3546,"Se fue Marzo!!

1- Prod con @elguincho para No voy a llorar de @nicki.nicole , primer tema de un discazo que se viene el cual me tiene muy entusiasmado, se viene. @picketl con alto mix 

2- Sumando data con los pibes @____briantaylor___ @a.marz_ @matutesureda para @pedritovm 

3- Produ con @la____creme para @tiagopzk en este temazo que salió en su deluxe !",[],9828,48,,2023-04-11 00:52:41,GraphSidecar
7,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/196143023_322173412696332_1281701237086954040_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=e4ZNNJNV3JcAX8UYudQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCuC3hKYuw_5XEx3Yg3eRZTCPVau3y0Y3-BAE-92iKm0A&oe=6563F725&_nc_sid=bc0c2c,"Arranca una nueva etapa del TR1 con Panama 

Que equipazo se armó con @____briantaylor___ , @yesan , @trueno y @dukissj 

Videazo @lucasvignale y @e_l_d_o_r_a_d_o 

Gran sólo al final de @_victorcarrion 
Gracias Maestro!

Muchas gracias a todos los que participaron en esto!",[],9496,109,,2021-06-05 00:16:48,GraphSidecar
8,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/246916482_1068433807027786_691530971656893476_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=u5nn8FhME2kAX9_hNnK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDPanQ2jYl9ZLqGETsfa_vTnPzr6o1at7af5QmKbRGaYg&oe=6563D9E3&_nc_sid=bc0c2c,"Afuera “Salimo De Noche” gracias @tiagopzk y @trueno , salió esa Produ con el @big.one.real 
Esas violas de @____briantaylor___ 
🇦🇷🇦🇷🇦🇷
📸 @tomiraimon",[],9117,92,,2021-10-21 22:58:00,GraphSidecar
9,tatool_,54659,1451,True,False,N/A,44,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/132392798_767968013794944_1754664993587513794_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=SPA1TzUKwMgAX8WkYb5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDvCr9BffODWt5ZHHcmu31P-8wwSGbUSXPW5Gio3hb_PQ&oe=6562794F&_nc_sid=bc0c2c,Videoclip de Ñeri afuera! Gracias a todo el equipo de nuevo!!,[],9086,113,,2020-12-23 23:51:18,GraphSidecar
