,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/358211767_950115616079381_6029568579352624492_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EwhV2pitC2YAX_O7l6f&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCGEo74zz4QSEeHNo9KDtkFHwOyoVebbr94zJg4Qzfn4Q&oe=65672F2E&_nc_sid=bc0c2c,"The Tale of Three Taylors🤍
Everything that @taylorlautner said last night on stage is so true. @taylorswift you are not only one of the most talented people to ever walk this earth (truly don’t think there is anything you can’t do) but you are also one of THE kindest people. You welcomed my husband and I into your camp with open arms and the warmest heart. The way you are so down to earth and authentically yourself after all these years of being in the spotlight is inspiring. Your passion for your work and genuine love for your fans is something so incredible. I am honored to call you a friend🫶🏼
2023 ➡️ 2010",[],3135584,4439,,2023-07-08 14:52:30,GraphSidecar
1,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/324259680_1818390528524475_369448358410203541_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=rqT8I6qA0kUAX-C6ALv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAC_p5zFJY2Wt8mxAyPhd4rI3ImhJRmPc8zsCz-6E4t6w&oe=65657DAD&_nc_sid=bc0c2c,auntie and uncle tay at your service👶🏼🤍,[],2643510,1826,,2023-01-07 16:23:36,GraphSidecar
2,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/366449142_683532416924661_1234155545145252807_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=9C0PyOtUkF4AX8fd6Ur&edm=APU89FABAAAA&ccb=7-5&oh=00_AfARnCWkEGwezHHVFZJWAmBsF7ePU7uify7PKhcLHqPu7Q&oe=65657A58&_nc_sid=bc0c2c,9 months with youuu🫶🏼🦋,[],2241463,1311,,2023-08-11 16:48:46,GraphImage
3,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/315549766_618264409983599_9201845035135924902_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=6Sm8jgT6syoAX9bC_7A&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDnAgN6HHr_WHhrDFCoO0h1tnMZUxBDxu9MbZ6qOXFObg&oe=65665E0F&_nc_sid=bc0c2c,Mr. and Mrs. Taylor Lautner,[],1865474,8635,Epoch Estate Wines,2022-11-15 22:05:26,GraphSidecar
4,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/318980826_537273684953843_510832319968608152_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Wcn7kDHkEpMAX_Q5MKV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCJHkGsypBI5Qln5M8T1Lgam8uaj9VuAvOmgCgJssIMAw&oe=65675839&_nc_sid=bc0c2c,one month of being your wife🤍,[],1744654,949,,2022-12-11 18:39:42,GraphImage
5,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/329986739_1605860076579391_5258867789383509550_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=LxtSO0ppSCUAX-oUWQz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDv2sRsWfGyBsMUBtYZy_yLk8iaueekzdbyHE-duWkiPQ&oe=65658D24&_nc_sid=bc0c2c,"my sweet husband, life is so much better with you in it - cheers to another trip around the sun🤍 @taylorlautner",[],1303869,606,,2023-02-11 18:57:53,GraphImage
6,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/364944431_675152417387757_596836504541339250_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=BUbOXWmYpQoAX_54dvO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB1stD-h0OojAqATRSxxsznv2NeWorSF5XQQoJ_r1Fylw&oe=65672AC2&_nc_sid=bc0c2c,an eras girly🧚🏼‍♂️🎀,[],884904,1077,,2023-08-04 16:59:30,GraphSidecar
7,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/316371010_1320533852018797_1922045865359129124_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=bPTBKGMvSoUAX8MurjZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiuIqN4p36fK5Uic7DcZ8K131V2dvbxHYIPzZdjIL8Ow&oe=656713CC&_nc_sid=bc0c2c,"CEREMONY
The ceremony was something we’ve been dreaming of for a long time. Along with the help of our wedding planners, we put in a lot of thought designing what exactly we wanted for this monumental moment and it came together even better than we had imagined. The ceremony location was at one of the highest points on the Epoch property which overlooks miles of wine country in Paso Robles. The colors surrounding us at this time of year are exactly why we love the Fall season so much. In an effort to provide shade and intimacy we installed a wooden truss system and semi sheer white draping, to create a relaxing and partially shaded ceremony location. White florals and lush greenery trailed up the columns of the wooden
structure and down the ceremony aisle. Beautiful white floral blooms surrounded us on a circle riser stage. As guests arrived by shuttle, they were invited to take a walk through the vineyard to the ceremony site. Our pastor and dear friend Judah Smith officiated the ceremony. It couldn’t have been more perfect. We exchanged hand written vows in front of the people we love most. Looking around and seeing the faces of each and every single person there, really put into perspective what is most important in life. Love. The sun set just as we said our “I Do’s” and the most beautiful pink sky was our backdrop as we walked back down the aisle as Mr. and Mrs. Taylor Lautner for the first time. 

Planning and Event Design @samkoma.world
Venue @epochwines
Photography @nicoleivanovphoto
Lighting @tn_event_designs
Floral Design @noonansdesigns 
Wedding Dress @winniecouture 
Grooms Tux @dolcegabbana",[],869871,2544,,2022-11-23 01:02:54,GraphSidecar
8,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/358787541_128588806939636_8121149098343038499_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Fz4zqZ5a-1UAX8s0ENG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAte94xGxS4UyCQw-M0OJmhdv5D_4sxs4w4uxcClPBixg&oe=6566CAEE&_nc_sid=bc0c2c,*mentally I’m here* *with my chicken tender*,[],611633,1032,,2023-07-09 20:11:35,GraphSidecar
9,taylautner,1319326,636,True,True,None,439,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/385885218_1780706095715520_4933690453787933722_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=sON1XUkUdAcAX-L6TKy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA3ftD53WDRMP5YwT1qaZLnPBkHihLUlkRRHqJDkqQeJw&oe=6566E667&_nc_sid=bc0c2c,🧸💌🫶🏼,[],567955,477,,2023-10-03 17:11:12,GraphImage
