,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/269816939_146933701013121_2332266565497348870_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=qQh8SUnSCq4AX_0hTx-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCX8ksamSibkUbCnAPNtPjy1SpvPRSgWrcdYKiwr2ubZQ&oe=6567D22F&_nc_sid=bc0c2c,i went to texas a week ago to watch a grown man ban hundreds of thousands of children from his stream while he laughed like a maniac here’s a few photos from that time,[],178305,317,"Austin, Texas",2021-12-24 19:45:29,GraphSidecar
1,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/221871965_339013671110805_4149196354332745976_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=khjSrXQOBDcAX9cve4c&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCKPh_FBrLmFu9n6zcvXzdiiHv_cm2g3QRa6j_Xs-IauQ&oe=656722F7&_nc_sid=bc0c2c,"Many great podcasts lined up for the next several months, a successful Chuckle Week indeed",[],172236,1583,"Los Angeles, California",2021-07-23 18:11:46,GraphSidecar
2,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/187389786_1188066958301980_4800246479468742734_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=alFP2PBZLygAX8vLVOc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBUdUX9f8Nf7lm-M1wLf3h-AOq6VwvnFny-ecR1oTmUFw&oe=65676E48&_nc_sid=bc0c2c,here are some photos from this weekend,[],168331,1114,"Los Angeles, California",2021-05-18 20:35:43,GraphSidecar
3,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/245634469_295248142180134_1487272339430180791_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=1yvxAWR4Y3MAX-puHXG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDgQuN8pk6WB4lGNUpFR5QW-oMaekNyg-CNseghh2WmMw&oe=65688686&_nc_sid=bc0c2c,I hung out with this Minecraft man and he let me play games on his phone,[],167538,611,"Los Angeles, California",2021-10-14 20:32:05,GraphSidecar
4,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/278251858_183155280703734_5911273248716641143_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=7JmoecLAO7IAX-O0R-W&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCL3wqHeBFXCxeDQQ9yYvdrrswjcYL870DTVhSuNTg-RQ&oe=6567A22B&_nc_sid=bc0c2c,@sneegsnag marriage,[],162444,267,"St. Louis, Missouri",2022-04-11 16:38:20,GraphSidecar
5,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/218910602_251549943134480_4407699472742473320_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tzcU-MEMrbwAX8YiSo7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFE_zMHDGpBTcQw-kDHPho0pWMLDpeVxWpxGA43HTVcQ&oe=6567B653&_nc_sid=bc0c2c,do u have games on your phone,[],155652,810,Universal Studios Hollywood,2021-07-18 17:10:12,GraphSidecar
6,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/286018362_110389768282643_1030227466692113772_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ZaBUXlNj918AX_W5Vlx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBdH7p2XE82jC_t2TzCmMCzbsvKuyb_iJ6tZnlIen6hHA&oe=6567A107&_nc_sid=bc0c2c,visited the most magical place in the whole wide world,[],152765,419,,2022-06-05 21:20:52,GraphSidecar
7,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/251440544_232392972151643_4256008462508839304_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=vmbQZIK3VfcAX9aoJ3c&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAXFsxMZ5PulHDJrM-yLeSYKiIyhLogk425YqRlry8vhA&oe=6568A14F&_nc_sid=bc0c2c,had a great Halloween and took some great unedited pictures with friends!,[],152128,579,,2021-11-02 00:55:31,GraphSidecar
8,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/262363305_487082779278316_2569534483749413852_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=cW5YrDD5L7IAX86YUxQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSUObNF1zXlJfBeYoMoDWtdFnmNb3HXm9VtgkDCiXROQ&oe=6568238D&_nc_sid=bc0c2c,another unedited photo of me hanging out with my friends,[],151590,883,"Los Angeles, California",2021-12-01 20:25:40,GraphImage
9,tednivison,616798,888,True,False,N/A,163,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/271928197_338631104593694_5275451749171431125_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=WF1MKFbiCbMAX_J0zS7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCyygbg2n-gBsiS_ZIqvNJv93CaQpM26dfpV8xRv8XiUA&oe=65677726&_nc_sid=bc0c2c,birthday,[],146842,2710,"Los Angeles, California",2022-01-17 00:55:14,GraphSidecar
