,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/272987336_681477729676877_3561226344427275985_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EMZEsRHFsP8AX8oy7Ck&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBwa7NlheFK8H7XYekupifdPIMSL5vwM88xqgiZdwFwjA&oe=6566FE3A&_nc_sid=bc0c2c,❤️,[],4295058,154977,,2022-02-01 14:35:35,GraphSidecar
1,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/327563216_1862971437389835_4715796461180855262_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Q6xJdxPGrrEAX_W7usR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBAfycAbM18rtyamgKy5ngBnQ5qJGUZ0yp-TTBMRiQBxA&oe=65642472&_nc_sid=bc0c2c,"I love my family
I love my teammates
I love my friends
I love my coaches 
I love football 
I love you all 

I am truly grateful on this day. Thank you 🙏🏻❤️",[],3312302,116581,,2023-02-01 13:13:05,GraphSidecar
2,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/275714832_2035368496643896_7607046941712973143_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=54UAXaUE5-4AX8dzn4o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAg3xUHjq008CfRF3UgoJAN3zVc_bqMHieZvI1iTFkyTw&oe=6567A9B0&_nc_sid=bc0c2c,"These past two months I have realized my place is still on the field and not in the stands. That time will come. But it’s not now. 

I love my teammates, and I love my supportive family. Without them, none of this is possible. 

I’m coming back for my 23rd season in Tampa. We have unfinished business. 

LFG",[],2733809,76027,,2022-03-13 23:12:47,GraphSidecar
3,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/272629057_938126587075390_4291475467799731652_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=mBzAY66tImIAX-a-SBp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAoFZIB0I6H5hjNmerg-lR3tJGuXHn5mHzpV9N3aD8hRg&oe=6567675D&_nc_sid=bc0c2c,"I understand that at this stage in my career, there is going to be interest in my future whenever a season ends, but this week, all that is on my mind is the gratitude I have for this team and the fans that have supported us all year long. This year has been incredibly rewarding personally and professionally and I am appreciative of everyone who worked their ass off to help our team achieve so much. 

I always want to win, I think that’s pretty apparent by now, but that doesn’t mean I equate losing to failure, especially when you go out fighting the way we did.. There’s so much to appreciate in a season like this when you’re surrounded by a team that believes in each other, and plays for the people standing on either side of them. I’ll spare you the Man in the Arena quote, but that feeling is something that I promise I’ll never take for granted. To everyone that was a part of it this year, thank you. I love you all!",[],1640519,33867,Tampa Bay,2022-01-25 19:19:54,GraphSidecar
4,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/172556948_1344817745902496_2289360401800759170_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=7Kp22LDj54oAX-aJcFV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfADmZ2i8lOI1yxJgEjnxl3U0vzAyIluyCAneh6cAWLeDA&oe=65670568&_nc_sid=bc0c2c,"As I was writing this note, Vivi saw the first picture and said “daddy, tell Julian to cut his beard, I don’t like it”...which of course Jules, she never did like it....but you know who did...Me!! Because it meant you were locked in and it was playoff time. That was when you shined the most. On the biggest stage and in the biggest moments, you always came through. I was a witness to so much of the journey and am so proud of you and how you grew from 7th round underdog to an older 7th round underdog. The truth is, you never really grew up 😂😂! You never lost that chip on your shoulder. You never let anyone define you as a person or player. You have so many teammates that admired your work ethic and will to win, and I am at the top of the list because when I was down and feeling sorry for myself at times, you were right there to pick me up. You were as tough as could be and I love you for all that you did to make our teams as great as they could possibly be. 

Seeing you become a dad and the changes you made in your life made me so encouraged and happy for you. Life is about gratitude and perspective! I am so happy for you and your family. You had an amazing football journey, an amazing life journey in New England, and I have no doubt you will succeed in anything you choose to do next! LFG ❤️❤️❤️

P.S. the best met gala date crasher in the world! 🤣",[],1464771,10868,,2021-04-13 00:13:06,GraphSidecar
5,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/51809907_380067292811355_8946030811197859320_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=UQjgKF1EXs4AX87c4GI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk3MTk1MzQ0MTY2NjA5MDgzOQ%3D%3D.2-ccb7-5&oh=00_AfAgabj6z-5Btu0ZlPMGui-Cm0FqTEyg9x3ylayH9zXBNA&oe=656830BB&_nc_sid=fc8dfb,Family and Football! ❤️❤️❤️❤️,[],1417710,16449,,2019-02-04 15:46:30,GraphImage
6,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/81386326_1495962973894815_4148245632500900921_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=XO_HjC2B1VUAX84Ftgd&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjIxNjg2OTI3NDc4NDg3NDEzNg%3D%3D.2-ccb7-5&oh=00_AfDWoW3kJNv35Qyu5sxB_3ISrzaRraF1Z-xpWXoPRDJt4w&oe=6566D1CE&_nc_sid=fc8dfb,"I just wanted to say to all of our fans, THANK YOU! After a few days of reflection, I am so grateful and humbled by the unconditional support you have shown me the past two decades. Running out of that tunnel every week is a feeling that is hard to explain. I wish every season ended in a win, but that’s not the nature of sports (or life). Nobody plays to lose. But the reward for working hard is just that, the work!! I have been blessed to find a career I love, teammates who go to battle with me, an organization that believes in me, and fans who have been behind us every step of the way. 
Every one of us that works at Gillette Stadium strived to do their best, spent themselves at a worthy cause, and prepared to fail while daring greatly (h/t Teddy Roosevelt). And for that, we’ve been rewarded with something that the scoreboard won’t show - the satisfaction of knowing we gave everything to each other in pursuit of a common goal. That is what TEAM is all about. 
In both life and football, failure is inevitable. You dont always win. You can, however, learn from that failure, pick yourself up with great enthusiasm, and place yourself in the arena again. 
And that’s right where you will find me. Because I know I still have more to prove.",[],1308834,52963,,2020-01-08 13:50:32,GraphImage
7,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/89831184_1287188898145754_6889890614814669463_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=zFCWP7cKsdIAX-ZPxUz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDr3KB-hOyqsUqpjBQGR2Sfy0iaEMd_HZlQ2QeuOeiDig&oe=65663F6A&_nc_sid=bc0c2c,FOREVER A PATRIOT,[],1251056,55403,,2020-03-17 12:43:24,GraphSidecar
8,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/50107770_415949262280010_3221126993793009017_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEyNjQuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=Q2Uf-Q6kQjgAX-HfBoc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk3Mjc1MzgzNzc1NDEyMDU1OQ%3D%3D.2-ccb7-5&oh=00_AfDNfiwKxK3TAPu-AYvERhPittRljkxk13fPRYXkDhra3A&oe=65669EC0&_nc_sid=fc8dfb,6 #StillHere,['stillhere'],1269439,16359,,2019-02-05 18:16:45,GraphImage
9,tombrady,14609810,500,True,True,None,468,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/90086091_253094719045685_314792317221856994_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2Njcuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=I5XHEfo-mHUAX_WsJLS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI2OTAxNDI1NjE3MzQ2MTQ3OQ%3D%3D.2-ccb7-5&oh=00_AfB-5rc3jFFcE8B2zJg-DnUvXd1G_HVfgBVZmddqEfHBDQ&oe=6567379F&_nc_sid=fc8dfb,"Excited, humble and hungry ...if there is one thing I have learned about football, it’s that nobody cares what you did last year or the year before that...you earn the trust and respect of those around through your commitment every single day. I’m starting a new football journey and thankful for the @buccaneers for giving me an opportunity to do what I love to do. I look forward to meeting all my new teammates and coaches and proving to them that they can believe and trust in me...I have always believed that well done is better than well said, so I’m not gonna say much more - I’m just gonna get to work! #Year1  p.s. Jack Brady with the photocred 😀",['year1'],1210257,46513,,2020-03-20 12:33:19,GraphImage
