,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/355417482_932386481148673_5929495535614634844_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=DMrj0dXbXxUAX_nfW7f&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDpcznAu6eUaGgqd4ZMRe9ZzxfatuhfwsflSOXzIC6ggA&oe=656AB7E8&_nc_sid=bc0c2c,It’s all for the fans. Thank you to everyone who came out to the UK premiere.,[],1308058,4030,,2023-06-23 20:13:03,GraphSidecar
1,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/184601560_944068466363888_4079089328735715753_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDI0eDY4My5zZHIifQ&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=gXcEG5-YK_IAX8Md18a&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU3Mjc5OTAyMzM5OTA2Mzc1Mw%3D%3D.2-ccb7-5&oh=00_AfCFUbOxZMrrUN7NUKm-A_zfdPzd_L06IxxhgXdDH82zbg&oe=656B5DEF&_nc_sid=fc8dfb,#TopGunDay is a day created by and dedicated to the fans. I can’t wait for you guys to see Top Gun: Maverick later this year.,['topgunday'],1264792,20851,,2021-05-13 15:59:25,GraphImage
2,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/280761308_519596403157921_8854060530827455851_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=gsdMi-iTJVIAX-iv6dq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANjaA8shtNkXKHPF-TfF8cfj8Gv2srkg5L3dOOpUnU2Q&oe=656C0597&_nc_sid=bc0c2c,I couldn’t ask for a better wingman than @jerrybruckheimer. #TopGunDay,['topgunday'],1028687,8825,,2022-05-13 15:53:59,GraphSidecar
3,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/91551087_3946183848755628_3468475967353545930_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDc1My5zZHIifQ&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=0ywv9x7o_vgAX-YHTtx&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI3ODY0NTYwMDEwMTQzNjU2OQ%3D%3D.2-ccb7-5&oh=00_AfCBxyTRDJWvjDW_3DHDDYQvbDNz_Z4Z6BBJS1xH3jnl2w&oe=656A858E&_nc_sid=fc8dfb,"I know many of you have waited 34 years. Unfortunately, it will be a little longer. Top Gun: Maverick will fly this December. Stay safe, everyone.",[],993454,24838,,2020-04-02 19:29:04,GraphImage
4,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/72859454_182261879629132_6032278528632489699_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=IoOiWYcP8UoAX8SMnKW&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjE5OTQ3OTQzNjYyODQ4MzY5MQ%3D%3D.2-ccb7-5&oh=00_AfCcqw2cC2wrgIQFvsqyOEMmaeWKSf6_Stp4UVNcsyaamQ&oe=656BA9A7&_nc_sid=fc8dfb,Feel the need. Trailer tomorrow. #TopGun,['topgun'],951991,15448,,2019-12-15 14:00:02,GraphImage
5,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/66150361_210048433300701_2045462633166684215_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=w-eSZroDDh4AX-0VdFY&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjA5MDkzMjk1MTIwMTQ0MjM1OA%3D%3D.2-ccb7-5&oh=00_AfBweyYV2CiJGGEoee36IDl_sI2PAYmx1RrWZ0-EZkuqiQ&oe=656C275C&_nc_sid=fc8dfb,I feel the need. #TopGun,['topgun'],907513,19586,,2019-07-18 19:37:33,GraphImage
6,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/67513988_335818783994176_7663579261202873614_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDk2MC5zZHIifQ&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=itkr-OZcmNwAX-Yv1gp&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjA5MTA0MTMxNTgwMTcwMDY5OA%3D%3D.2-ccb7-5&oh=00_AfA5ps6glZKsz2nyrIOc8pyUc3hBlA4vqWKSJje30Bt9Jw&oe=656B2CD9&_nc_sid=fc8dfb,Thank you to all the fans who came out to Hall H today. It was great to share our first trailer for Top Gun: Maverick with you all.,[],849852,10977,,2019-07-18 23:12:51,GraphImage
7,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/359711181_3377715892559126_2095059933139572171_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTguc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=VwisCgfx85sAX9H6Ukw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE0NjA4MTk0NDg2ODk5MTE1OQ%3D%3D.2-ccb7-5&oh=00_AfA-j1TGBh8dMSCPq88BhnGLuGzFDOQ1O8WcSRZtGUu3mA&oe=656BE4BC&_nc_sid=fc8dfb,We have worked on this film for years and it’s finally in theaters. We hope you love it as much as we loved making it for you. Thank you for continuing to support the Mission: Impossible films.,[],841539,17760,,2023-07-13 15:30:15,GraphImage
8,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/335572185_574674158058739_8687522401966173511_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=q3aHeF-8y-0AX-yKSb-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA1ODMwODY0NTc3OTIxMTkyOA%3D%3D.2-ccb7-5&oh=00_AfDVaDzGAJ1043w_-Ct0e7btxdZby0_j7SuM1FItVxw_vQ&oe=656B5E82&_nc_sid=fc8dfb,"Here’s the official poster for #MissionImpossible - Dead Reckoning Part One starring @TomCruise. Only in theatres July 12, 2023.",['missionimpossible'],796728,8598,,2023-03-14 13:00:22,GraphImage
9,tomcruise,11853536,58,True,False,N/A,74,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/355348289_574913954565241_6128848449163684338_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=9GtXYFmERbAAX-fYMCE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCklIZMMZMvUV0gxxX9YrE3dmjnw-tcsZuZeWsL_muXkg&oe=656B8D34&_nc_sid=bc0c2c,Alla prossima Roma. Thank you to the people and city of Rome for making last night’s #MissionImpossible world premiere unforgettable.,['missionimpossible'],778779,5180,,2023-06-20 17:51:26,GraphSidecar
