,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/268843343_287538123327046_3811207563591755539_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ysDuu7xhlAoAX8OWGd5&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjczMDM5OTU0ODI1NTA0Njg2MQ%3D%3D.2-ccb7-5&oh=00_AfCOwIiIHG4DiAmu-LcsStOeHpyCQWRIloEZ92pGxAWQ3w&oe=656A87AE&_nc_sid=fc8dfb,,[],26577,298,,2021-12-17 02:43:37,GraphImage
1,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/270184427_1274286246390571_4957159844688542574_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=qiHKbLOTN2oAX-xaofX&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjczOTUzNDI0NTIyNTgwMDQ1Ng%3D%3D.2-ccb7-5&oh=00_AfCu6PHLLHbDIaf8e3A1Yw69MCOup5vyVMnkQsrYpsXTeQ&oe=656AE1C7&_nc_sid=fc8dfb,,[],26327,299,,2021-12-29 17:12:35,GraphImage
2,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/273882598_2995446300785456_235133246944408127_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=8MTowYFubPwAX-bXiIg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3NDI1NjM4NjEwNjQwMTM3MA%3D%3D.2-ccb7-5&oh=00_AfBuFVE1nPosgJG2ywA7qZMPAJgt5_5IsGQVB6PWqYd49w&oe=656B7F2B&_nc_sid=fc8dfb,,[],20682,751,,2022-02-15 14:59:17,GraphImage
3,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/213806911_1927406430770586_8344256126288943603_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=LdPmftyO8hwAX_nSQt1&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYxNDkyNzQwMDI3ODIxNDc4Nw%3D%3D.2-ccb7-5&oh=00_AfDDS7wk0NgId9bal2AFqjdKHISelM5RmHHUreVMBqV1pg&oe=656B7216&_nc_sid=fc8dfb,#TWITTER,['twitter'],20557,137,,2021-07-10 19:01:06,GraphImage
4,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/240598388_633597394291329_4060917009585516770_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=O28eQrhy_8sAX_dtHhH&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY0OTc4NzEyODkzNjI2NTY5NA%3D%3D.2-ccb7-5&oh=00_AfBDZmJU3c0AyN5cNUCFNvFgjt0IdyYH-MQCIud8GDqR5Q&oe=656B5E61&_nc_sid=fc8dfb,,[],20334,234,,2021-08-27 21:21:10,GraphImage
5,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/69238689_505001726978388_6259226987261287011_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44OTl4ODk5LnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=7imM62msKYwAX9Un2Rt&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjEyNjQ3MzgzMzAyNTQzMTUzOA%3D%3D.2-ccb7-5&oh=00_AfBDwLzG1T1uXOobALa3M9EwiwcwTcFrgorplvPJl5Psdw&oe=656B1FF9&_nc_sid=fc8dfb,#TWITTER,['twitter'],20020,146,,2019-09-05 20:30:56,GraphImage
6,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/121664611_187544039606724_5396110413257671763_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45MDB4OTAwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=gmoZ7-JJnTgAX9Ymwzp&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQyMTMwMzc1NzM2NjUyNDA2Mw%3D%3D.2-ccb7-5&oh=00_AfCKgtDV13HcE6H-_RU6jsD3La7MqvsdHczMfToeNWWsyw&oe=656C32F6&_nc_sid=fc8dfb,#TWITTER,['twitter'],18948,199,,2020-10-16 15:25:22,GraphImage
7,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/264098306_132100985908801_8118782300603377979_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=KGw0LTskP3kAX8-Yk6c&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjcyMDE0MDY2MDczMjg1NTU4OQ%3D%3D.2-ccb7-5&oh=00_AfCQ7WuKtgVkG0gS4Wz-oddrdh1S3TbS-yXmpB2vTtGdcA&oe=656ABD23&_nc_sid=fc8dfb,,[],18569,97,,2021-12-02 23:01:00,GraphImage
8,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/273557603_365285281731265_2408429477898611960_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=E2rF5osPA4kAX_WjNPZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc3MDIzNTEyMjk3NDg2NzI2Mw%3D%3D.2-ccb7-5&oh=00_AfDfoqXe9e7XxWbxKgmGhZYqvtUQBVVNi9F4HdblQzm7DQ&oe=656BAF2D&_nc_sid=fc8dfb,,[],18390,185,,2022-02-10 01:49:46,GraphImage
9,twitter,1232931,0,True,True,None,217,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/95598921_134707554799687_823576087751244165_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=TnkewD05F7gAX-6GNLO&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI5ODM2MzcwNjkxMTgwODY2Nw%3D%3D.2-ccb7-5&oh=00_AfCIj9IKsSp1vgzt1Lhgtt4SZTMF0N_HLaH8g6bD1DyUqg&oe=656AD75B&_nc_sid=fc8dfb,#TWITTER,['twitter'],18169,204,,2020-04-30 00:25:39,GraphImage
