,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/341857346_184206524434595_2382582669781500324_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=mYcr1KAQeRkAX8Hm_GY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCeOXtA40BKtqfdJ4IzdrB_sJh17Fv28j97K4SGFpUIng&oe=656741E8&_nc_sid=bc0c2c,Free start to finish editing video link is up in my Bio. My first online Landscape photography course coming soon #freetutorial #patagonia #elchalten,"['freetutorial', 'patagonia', 'elchalten']",32589,262,El Chaltén,2023-04-20 14:57:54,GraphSidecar
1,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/399012488_18396619267009094_4529498372720446305_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=kYyoHqT-b4AAX97ZoNN&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzMzEwNjQxNDg5MzczNjc5NA%3D%3D.2-ccb7-5&oh=00_AfDzZi3DqVUteq498B9xHD9Tl7ygaMERr-Huy2WfjjYDrw&oe=65667965&_nc_sid=8b3546,Some favorites from this winter season in El Chalten. #patagonia,['patagonia'],30519,205,"El Chalten, Argentina",2023-11-10 17:12:21,GraphSidecar
2,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/367736852_18379823761009094_6655954107899023115_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=ALKMdEyk9e8AX_TUlNc&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBf2gWJDCyTl3bSnikE_CgrGQg66C0t-Tj726hepe9gKQ&oe=6565A57B&_nc_sid=bc0c2c,Skiing at Paso Inferior. Thanks @juanraselli and friends at @patagonia_ascent for letting me tag along.,[],24724,142,El Chaltén,2023-08-14 14:14:36,GraphSidecar
3,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/366305177_18378493351009094_1672902813165792065_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=ZQKpTZWvq1EAX88oUtn&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfA4H-Htn3JgCH5ZfdiJ2CGXIOaN20PYZwTsEyk9joFS7g&oe=65673B14&_nc_sid=bc0c2c,"Good morning! We had a big snow storm last April here in EL Chalten. I remember being so excited as it was the first time I experienced snow here. Good times w/ @ramirotorrents 

Branch added as a composite.",[],17670,159,El Chaltén,2023-08-07 16:00:21,GraphImage
4,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/362914695_18376004113009094_6474498667122058010_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=6qi2_3t5MAEAX8FXdT_&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAk4qE-xkdMEK4CJF1P8qaRslytqvWqSaWCRfYm8MBdvg&oe=6566D0F1&_nc_sid=bc0c2c,A few photos around Chalten. #patagonia #argentina #elchalten,"['patagonia', 'argentina', 'elchalten']",17279,151,"El Chaltén, Patagonia",2023-07-25 16:48:45,GraphSidecar
5,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/351449058_990927865254605_5962017294970405725_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=GThesz6zi1EAX-tUDQA&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExOTI2NzkyNTM1Nzg1Mjk0Mg%3D%3D.2-ccb7-5&oh=00_AfBrIeXUFyYxGtBhHXCbO5Pr9a3kpqlAglDebNdf6fwuQg&oe=6565E525&_nc_sid=8b3546,"The pristine untouched wilderness of Patagonia makes me feel so alive. This was taken on Filo del Hombre sentado (sitting man ridge), on the boarder between Argentina and Chile.

 During an adventure w/ Andy Waddington last March. 

#patagonia #elchalten #argentina #chile","['patagonia', 'elchalten', 'argentina', 'chile']",14230,183,"El Chalten, Argentina",2023-06-06 15:35:35,GraphImage
6,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/288151172_1166551327253829_7299806446608569148_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=_Pxu1pyArmAAX9ZJfaK&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg2MjA2NzIyNjI0NjgyNDEzNw%3D%3D.2-ccb7-5&oh=00_AfCjJx8JMjep4f5W6etX5kBAKjfgtMNmVrxC5YxUNHImCQ&oe=65671CCC&_nc_sid=8b3546,"GM! The illusive west face of Fitz Roy massif. Here is a single frame of a complete 360 degree panorama for my upcoming genesis piece on @superrare.co 

#beyondthesummit #elchalten #elchalten’ #discoversouthamerica #arg_salvaje #visitargentina #tripinargentina #turismoargentina #ig_argentina #visitsouthamerica #southamerica #travelsouthamerica #exploresouthamerica #southamericatrip #southamericatravel #americadelsur #ruterosargentinos #travelarg #tripinargentina #viviargentina #parquesnacionales #destinopatagonia #venturepatagonia #visitelchalten #patagonia #travelarg #patagoniainfinita #ruterosargentinos #vivIargentina","['beyondthesummit', 'elchalten', 'elchalten', 'discoversouthamerica', 'arg_salvaje', 'visitargentina', 'tripinargentina', 'turismoargentina', 'ig_argentina', 'visitsouthamerica', 'southamerica', 'travelsouthamerica', 'exploresouthamerica', 'southamericatrip', 'southamericatravel', 'americadelsur', 'ruterosargentinos', 'travelarg', 'tripinargentina', 'viviargentina', 'parquesnacionales', 'destinopatagonia', 'venturepatagonia', 'visitelchalten', 'patagonia', 'travelarg', 'patagoniainfinita', 'ruterosargentinos', 'viviargentina']",13955,243,El Chaltén,2022-06-16 18:43:42,GraphImage
7,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/395659582_18393251947009094_7123619665163079734_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=qmD17zMsWDUAX-xKTBg&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfA4tKHKPalfNXE0xnATs2HUd8TpmplTPzgKokjWDy8IGw&oe=6566C322&_nc_sid=bc0c2c,"1 spot left for Fall workshop April 12-22nd. DM me for more details. 
#elchalten #patagonia #fallcolors #autumn","['elchalten', 'patagonia', 'fallcolors', 'autumn']",13977,145,"El Chalten, Argentina",2023-10-24 15:33:59,GraphSidecar
8,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/178642785_105019561741644_2298964323190994449_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=BCSV48018g4AX8KwVZ0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDMhGIq-Bji31AuYhpELCAQdzYz6AJxhFg9LfHCQMy-bA&oe=65658876&_nc_sid=bc0c2c,"Here is one of colorful Lenga trees in  mid April. Cerro Torre in the distance. 

#beyondthesummit #elchalten #elchalten’ #discoversouthamerica #arg_salvaje #visitargentina #tripinargentina #turismoargentina #ig_argentina #visitsouthamerica #southamerica #travelsouthamerica #exploresouthamerica #southamericatrip #southamericatravel #americadelsur #ruterosargentinos #travelarg #tripinargentina #viviargentina #parquesnacionales #destinopatagonia #venturepatagonia #visitelchalten #patagonia #travelarg #patagoniainfinita #ruterosargentinos","['beyondthesummit', 'elchalten', 'elchalten', 'discoversouthamerica', 'arg_salvaje', 'visitargentina', 'tripinargentina', 'turismoargentina', 'ig_argentina', 'visitsouthamerica', 'southamerica', 'travelsouthamerica', 'exploresouthamerica', 'southamericatrip', 'southamericatravel', 'americadelsur', 'ruterosargentinos', 'travelarg', 'tripinargentina', 'viviargentina', 'parquesnacionales', 'destinopatagonia', 'venturepatagonia', 'visitelchalten', 'patagonia', 'travelarg', 'patagoniainfinita', 'ruterosargentinos']",13711,260,Patagonia Argentina,2021-04-28 18:05:38,GraphImage
9,tylekki,157729,1985,True,True,None,289,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/365184963_18377481517009094_2423476579181186192_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=wpVbuD1NXg8AX-8bSGK&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBBnxJac5B3S7AuxTnCF3yUkxQQa-qrHqOzeRn5cIZN5A&oe=6566E638&_nc_sid=bc0c2c,"A few photos from around Chalten this past week. I’ve been inside for a few days waiting for the weather to get better. Hoping to get out soon. 

#patagonia #elchalten #argentina","['patagonia', 'elchalten', 'argentina']",12472,217,El Chaltén,2023-08-02 15:49:52,GraphSidecar
