,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/75379776_148841083193153_2558241256715074237_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=A_9qWntArRMAX-zTKvk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCv_kcw1iIpguKN8H1KYQ8Q0HAz3Vw-G2T9SGbYG4JQug&oe=6563F7BF&_nc_sid=bc0c2c,"Nothing quite like an airbag deployer with your 2 year old in the car to press reset on your “life perspective” button.  Cars are just transportation, money is just green paper.  Nothing more important than Jesus and spending time making memories with family and your closest friends...beyond thankful no one was badly injured the other night.  #WearYourSeatbelt",['wearyourseatbelt'],239467,3439,,2019-12-10 01:16:21,GraphImage
1,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/69875298_2537156316512215_460666606223488217_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=InB9UlrIdKYAX-Ef4MX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFkdbrUi7UZbalElqTqVxf1xNiq5vP6TH5PZQjd7E_cQ&oe=65644BF2&_nc_sid=bc0c2c,"Monsters really do come out at night.  No coyotes this weekend unfortunately but did manage find the culprit tearing up the cows fresh new hay pasture.  Biggest pig I’ve ever laid eyes on, made @jonny2shoescobb lay in the grass for a size comparison.  Took him into town to weigh on the truck scales and he was 400lbs on the nose.  Amazing how much damage these things can do.  Unfortunately the next night we saw 30 more pigs and weren’t able to get on them before they disappeared into the woods.  Seems this will be an ongoing battle with this non native species",[],186036,2314,,2019-09-02 18:37:24,GraphSidecar
2,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/67468381_2560422494004640_4762543395363637412_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=1nOg1vKE7XUAX9yNu4P&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCIoBsjqkAXSAYwSfHQyzfAkPZwSyLLScq2N0qLxbcsCQ&oe=65653428&_nc_sid=bc0c2c,"When your riding around the ranch on night patrol and your wife challenges the fact you hit your “intended target” and your forced to climb over a barbed wire fence in the dark, in flip flops to retrieve previously mentioned “intended target.” Never knew you could bleed so much from such a small hole in your calf lol.  Thought I stepped in mud when I landed, turned out it was just blood mixed with sand.  Good news is a little elevation and applied pressure and she sealed up almost immediately.  #ItWasWorthIt #Ps #IHitTheIntendedTarget","['itwasworthit', 'ps', 'ihittheintendedtarget']",180820,1926,,2019-08-19 01:08:43,GraphImage
3,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/60476861_436698063845765_6047986601297929232_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=yHFNvSHhAhQAX_RMu2O&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAuR6mDST1fTvFPEFV5bNzECfgE1E8oV3ZgAALXyXX96A&oe=6564F518&_nc_sid=bc0c2c,"Colton James is here and we are officially a family of 4! Mama was a pro and he was here in no time.  8lbs 6oz, 19.5 inches",[],174595,1862,,2019-06-04 18:17:03,GraphSidecar
4,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/131947495_239461450932740_695380069139622375_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=q0TbLQahebwAX9c6JQY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD7NHt1-iV5NpBCeg0BbxyYU9jfiUAsSBMcoQUtqdAc3w&oe=656537DA&_nc_sid=bc0c2c,"The @los_senderos_ranch - a trip I look forward to all year long...while shooting my biggest archery buck ever was a nice little cherry on top, the fellowship, food, and hours spent outdoors watching these magnificent animals is well worth the 6 hour drive.  Can’t wait til next time boys 🤙🏼",[],164932,2268,,2020-12-17 17:09:11,GraphImage
5,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/106579808_121260786007819_2887376398308332876_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Bicz8BRnyWsAX8ukIZk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHDcDTIa6biFsvfdksSktxJLzzwiCV0cLVieng4eBN2g&oe=656464AB&_nc_sid=bc0c2c,"Welcome to the fam Rhett Silas- 8lbs 9oz, 20 in.  You have two brothers waiting for you at home, one doesn’t really have a clue he’s about to be a forever middle child, the other is ECSTATIC to meet/play with you.  Mom was a champ as always!  You are already so loved and your family can’t wait to meet you!!",[],165453,1525,,2020-07-07 03:02:24,GraphSidecar
6,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/91616522_238874610593267_5374874934980827108_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=2H0r3AG67awAX9-fuj-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAyVaWocId3CsSnmmx2Fz_UpliCMXUDp29ja71IDo2vNQ&oe=6564E580&_nc_sid=bc0c2c,Happy Birthday my love! It was fun being 31 with you for all of 11 days but that’s the price I decided to pay every year when I married a cougar 🤷🏼‍♂️ Your 3 (soon to be 4) boys love you very much!! #EvenOnOpeningWeekendOfTurkeySeason 😏,['evenonopeningweekendofturkeyseason'],166276,448,,2020-04-05 16:04:52,GraphImage
7,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/105955426_345366323094596_7512162031002761072_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=MyZsG82lfZ4AX_PPxbu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDaqfyukRcg1VNnG_TY8etEYeCtNRbWHClgd1pqLlQeug&oe=65657090&_nc_sid=bc0c2c,Most likely the first of many visits with soon to be 3 little boys in the house but still never fun.  Four stitches later and we’re back in the saddle.  #DadTriedToUseButterfliesAndCallItGoodButMomSaidNo #EvenThoughItWouldveWorked 🤷🏼‍♂️,"['dadtriedtousebutterfliesandcallitgoodbutmomsaidno', 'eventhoughitwouldveworked']",163764,949,,2020-06-26 03:06:09,GraphImage
8,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/25024635_1996880913918529_5454813666572500992_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=glFkJ0CPTOMAX9Y90fO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAU-7GSbDEoMeEMAdm3kI0gLclBjccmfDjM0Tf6a97meA&oe=6565B4A4&_nc_sid=bc0c2c,"Did a little predator control tonight- one of the prettiest greys I’ve seen.  Had him on camera hunting dove at one of our feeders, called him up in 20 seconds on fox pro.  Going to look great on the wall",[],151424,4404,,2017-12-28 04:09:59,GraphImage
9,tylerntoney,1644258,920,True,False,N/A,750,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/377517242_823139736265220_2016955714008031226_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=aX98ysSAEaoAX89r0H6&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE4OTgyODgwOTY2MDkwOTEyMg%3D%3D.2-ccb7-5&oh=00_AfB8l15HEnewEro0PlT3lqyEUwLcbnyDL6uxwcqHegXWwQ&oe=656412F2&_nc_sid=8b3546,"I was fortunate enough to have my Dad with me when I took my first whitetail deer at 7 years old back in 1996…now almost 27 years later we still have the privilege of sharing our outdoor adventures together, which made my first  moose hunt even more special.  No running water, no electricity, and mostly miserable conditions of snow and rain and I wouldn’t change a thing about it.  The sheer size of one backstrap off a Yukon moose is unbelievable and I can’t wait to get the meat home and share it with my boys as well as the stories from a week and half in the “Last Frontier.” Until next time Alaska…",[],155078,677,,2023-09-12 00:07:28,GraphSidecar
