,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/307634156_5959272304100690_5648171097433331638_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=WzJQ-oarPXcAX8EMNDH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCe1smTtumLyHgHmOimV6kDPsDFiY_3-DGPfgK23y-TUQ&oe=65648A99&_nc_sid=bc0c2c,"""Our world is in peril – and paralyzed. 

Geopolitical divides are:
undermining the work of the Security Council, 
undermining international law,
undermining trust and people’s faith in democratic institutions,
undermining all forms of international cooperation. 

We cannot go on like this."" 

-- #UnitedNations Secretary-General @antonioguterres tells world leaders at #UNGA. 

""We live in a world where the logic of cooperation and dialogue is the only path forward. No power or group alone can call the shots. No major global challenge can be solved with a coalition of the willing. We need a coalition of the world,"" he added. 

""Lofty ideals must be made real in people’s lives. So let’s develop common solutions to common problems - grounded in goodwill, trust and the rights shared by every human being.""

📸: UN Photo / Cia Pak

#GlobalGoals","['unitednations', 'unga', 'globalgoals']",279679,910707,United Nations Headquarters,2022-09-20 14:47:44,GraphImage
1,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/316326193_461286476130899_358648298868746443_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ICjKytfVpcMAX-NXHgY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAaLsUjY5QRkg9TCho0S5CiYPU-3ASMXoPdQ_wESVP_9A&oe=65641267&_nc_sid=bc0c2c,"Regram: UN Global Communications chief @melissarfleming
Chris Mburu’s life was dramatically transformed by a stranger's small act of kindness when he was a child growing up in a small village in #Kenya.

His family couldn't afford his education. That was until Holocaust survivor Hilde Back, from #Sweden, offered to pay for him to go to school.

After attending Harvard and starting his first job as a human right lawyer at the #UnitedNations, Chris wanted to give back. Having found his long-lost childhood benefactor, Hilde, he set up a scholarship in her name to put Kenyan children through school.

“When I look at poverty, it evokes memories of my own childhood. What keeps me going is the desire to keep as many people as possible out of poverty, because I remember my past, and where I was. I really do not want to see anybody there,"" he says.

In the new season of our podcast 'Awake At Night', Chris, who is now the UN Resident Coordinator in the Republic of Congo, reflects on his own path out of poverty, the transformational power of development and the ripple effect of compassion.

Take a listen to his conversation with UN Global Communications chief @melissarfleming wherever you get your podcasts.","['kenya', 'sweden', 'unitednations']",163687,357004,,2022-11-22 02:01:14,GraphImage
2,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/242293806_290993072450159_4021497887038197720_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=4-1biVgkMW0AX_i_sdc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCp2i8nUKJCDAaiVAEqgieBp_IcIFpl_OH2rtvJxOW3ag&oe=656551BE&_nc_sid=bc0c2c,"""We thought the world has stopped, but it continues to move forward. Every choice we make is the beginning of change."" 

@bts.bighitofficial came for a special performance at #UnitedNations Headquarters in #NYC on Monday. They joined Secretary-General @antonioguterres and world leaders for our SDG Moment event to inspire action for the #GlobalGoals and a better world for everyone.

Use the link in our bio to join BTS in pledging your support for creating a more inclusive, sustainable future!

Share YOUR promise in the comments below!

📷: Big Hit Music","['unitednations', 'nyc', 'globalgoals']",276302,9137,United Nations,2021-09-20 13:53:02,GraphImage
3,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/305494708_194937839655164_498323100223565352_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=zc6YhdW9HfEAX_nPZwj&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk1NTAyOTI3NzAwNDA3MDU3NA%3D%3D.2-ccb7-5&oh=00_AfBjLsWzY_8M2yIvvSW7Nv5Y3AwzP3dVeA6QHFPK0K_qGg&oe=6565DD74&_nc_sid=8b3546,"For 77 years, the #UnitedNations has been working to create a better world where all people are able to enjoy peace, prosperity and human rights. 

Ahead of Monday's #UNDay, scroll through to learn some fact about the history of the UN and our efforts today to respond to the climate emergency, empower women, protect refugees, respond to conflict and much more! 

#ClimateAction #GenerationEquality #WithRefugees #GlobalGoals","['unitednations', 'unday', 'climateaction', 'generationequality', 'withrefugees', 'globalgoals']",76107,176509,,2022-10-23 01:02:43,GraphSidecar
4,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/307808554_1782044045304050_5348119870645607453_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=KHo6iWgKbccAX_-BUp6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAABugKbV1tDiO_r3iJusrfun9FJz9axsYW2UH8lljWZg&oe=65651225&_nc_sid=bc0c2c,"The Knotted Gun sculpture, an iconic symbol of non-violence, is displayed at #UnitedNations Headquarters in #NYC. The sculpture consists of a large replica of a revolver with the barrel tied into a bullet-blocking knot.

Wednesday is International Day of Peace, which is an opportunity to call attention to the need to end racism to build a more peaceful world. 

""Racism robs people of their rights and dignity. It inflames inequalities and mistrust, and it pushes people apart at a time when we should be coming together, as one human family, to repair our fractured world,"" said #UnitedNations Secretary-General @antonioguterres on #PeaceDay.

We all have a role to play in fostering peace -- and taking action to #FightRacism is a crucial way to contribute. 

📸: UN Photo/Mark Garten | Art: Carl Fredrik Reuterswärd (©️®️ @nvpfoundation) 

#PeaceDay","['unitednations', 'nyc', 'unitednations', 'peaceday', 'fightracism', 'peaceday']",80867,102047,United Nations Headquarters,2022-09-21 11:02:43,GraphImage
5,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/307630507_751045349526044_6826183723139636196_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=6--KQIv_eAQAX8fMEwn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBWUWbjWcla9heaS8oF24oGxwFhDiHLeqdVNcdpWAKaQA&oe=65659DF5&_nc_sid=bc0c2c,"""How long will you make girls wait for what you have promised?""

That's the question UN Messenger of Peace @malala asked world leaders at Monday's #TransformingEducation Summit at #UnitedNations Headquarters in #NYC. 

""If you are serious about creating a safe, sustainable future for the children then be serious about education.""

📸: UN Photo / Cia Pak

#GlobalGoals","['transformingeducation', 'unitednations', 'nyc', 'globalgoals']",90400,55954,,2022-09-20 07:02:18,GraphImage
6,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/305854228_196704866135660_1081635057016001944_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=o_MXmEgiCNwAX_gSHnH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD8-PeIn_utU4gWmxlVf0YY8JaWLsiM88O0wlgW2uzirg&oe=6565F274&_nc_sid=bc0c2c,"Regram: @antonioguterres

I am deeply saddened at the passing of Her Majesty Queen Elizabeth II, who the world will remember for her unwavering leadership and lifelong dedication to serving her people.

She was a good friend to the #UnitedNations and a reassuring presence throughout decades of sweeping change, widely admired for her grace, dignity, and devotion.

I extend my condolences to her family, the Government and people of the United Kingdom of Great Britain and Northern Ireland, and the wider Commonwealth of Nations. 

📷: UN Photo/Devra Berkowitz; Albert Fox",['unitednations'],131841,1015,,2022-09-08 18:14:42,GraphSidecar
7,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/97228778_534803550730289_1965689371994141521_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=lmnDae90AxsAX8n6T37&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD3bBgiO-gBbTAsB-7D4ED1qSnMNLXKTmHwBVAzr0JM8Q&oe=6565B828&_nc_sid=bc0c2c,"❌ Mankind ✔️ Humankind⠀
❌ Congressman ✔️ Legislator⠀
⠀
What you say matters. Join @unwomen to help create a more equal world by using gender-neutral language if you're unsure about someone's gender or referring to a group.",[],128365,4237,,2020-05-15 08:04:08,GraphImage
8,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/242210885_261259109190615_5412418019456447231_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=Roq9J0qxTOUAX8SJJJK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCg5YK7YuGNmPeAqELZM8Mj1CdBrjXXlRcgB5_3THlceA&oe=6565C2BC&_nc_sid=bc0c2c,"#TBT to September 2018, when @bts.bighitofficial took part in #UNGA to engage with and empower young people.

On Monday, they will visit us again at #UnitedNations Headquarters in #NYC to show support for the #GlobalGoals and help inspire ambitious action to create a better future for all. 

See link in bio to join them and help inspire action to create a better world for everyone. 

📷: UN Photo / Mark Garten

#ThrowbackThursday","['tbt', 'unga', 'unitednations', 'nyc', 'globalgoals', 'throwbackthursday']",129276,2168,United Nations,2021-09-16 12:05:47,GraphImage
9,unitednations,8118161,266,True,True,,7350,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/104412077_344099573238752_7575843764213537042_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=nDTJlAy_l5YAX9gBCF8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCXyxhfyk5mMD5MXt6jgc3NW28qYO5AkdUk5IZN8XzXNw&oe=65647AC8&_nc_sid=bc0c2c,"We are in this together - and we will get through this, together.

The #UnitedNations is working around the clock to help everyone, everywhere in the fight against #COVID19.

Everyone has a role to play in protecting yourself and others:

Maintain physical distance.
Wash your hands frequently.
Don't touch your face.
Share facts, not rumours.
Show kindness & solidarity. 🎨: Laura Makaltses / @laura_alien_princess","['unitednations', 'covid19']",126495,3845,,2020-06-24 07:38:35,GraphImage
