,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/393692546_272700411819105_8228481256647004907_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTUuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=dsES5rLP1AcAX98NrLp&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIxODUxNzc2OTgzMzAxOTk2Ng%3D%3D.2-ccb7-5&oh=00_AfCVYODkPxEA5q-41fl4b-kuOS4bK0ORsA9n-JQLircV7A&oe=65698850&_nc_sid=fc8dfb,"Congratulations to the USA, winners of the 2023 Eisenhower Trophy 🏆 🇺🇸 #Rolex",['rolex'],3458,39,Abu Dhabi Golf Club,2023-10-21 14:07:18,GraphImage
1,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/233589025_1439069616478969_4098410776743258570_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=-_hyQtv2j58AX84qYI2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCPWlSUV_naWdMoI5E92JDgGtmnky04Wm95CWdHF06wSg&oe=656A28C5&_nc_sid=bc0c2c,American Golf is GOLD! 🥇🇺🇸 #Tokyo2020,['tokyo2020'],3254,233,,2021-08-07 06:16:43,GraphSidecar
2,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/233420663_1807283576120934_1663332969195935855_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzMDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=x9KkHkW8OVAAX-EBfC-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYzNDc5MDgyNjc3MjA0NzUyOA%3D%3D.2-ccb7-5&oh=00_AfB90pEz0GvWKsEbhVSYs0bvnKMAm4x7F_yiyGrnq3BcHw&oe=65696C38&_nc_sid=fc8dfb,"GOLD!🥇 @nellykorda wins the gold medal in Tokyo‼️

#USA 🇺🇸 @teamusa",['usa'],2354,85,,2021-08-07 04:46:04,GraphImage
3,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/380855430_845150323913715_8135517929785108442_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3NDIuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GFKJb171iYgAX8FXtug&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE5NjA5MTk1MDkzOTQzOTUyMw%3D%3D.2-ccb7-5&oh=00_AfC6lsDSbP8FhEF1_0qvmjwHCHjfb8FvG9uFlHX5sQd2_Q&oe=656B0DAE&_nc_sid=fc8dfb,"Who are you backing this week for @thesolheimcup?

🇺🇸 @solheimcupusa 🆚 @solheimcupeuro 🇪🇺

Show your pride in the comments!

#VamosGirls (🎨 by @designwithjemma)",['vamosgirls'],2228,60,Finca Cortesin Golf Club,2023-09-20 15:31:12,GraphImage
4,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/233124800_536327631023966_5559679935224614497_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzMDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=gdzYMycM8coAX96bgeg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYzNDgyMzMzOTc0MTc2MzMyNw%3D%3D.2-ccb7-5&oh=00_AfAID_QLotPojQwftiN5iW_lHxiuADe6jX50EeUk8qF1sg&oe=6569F377&_nc_sid=fc8dfb,"The taste of Olympic greatness 🥇 @nellykorda 

@teamusa 🇺🇸 #USA",['usa'],2101,125,,2021-08-07 05:50:40,GraphImage
5,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/229164027_871913737077716_7633592118471365129_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=yno9kojQQW4AX-UX2RZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYzMDUxNTQ2NTcxNjAzNjEzMg%3D%3D.2-ccb7-5&oh=00_AfCLRPs2UCGCLal-Q1AuoKeTmCrVzViBd4Eva46RspQQcw&oe=6569D78A&_nc_sid=fc8dfb,"GOLD FOR XANDER! 🇺🇸🥇 

@xanderschauffele finishes 18-under to win the gold medal for @teamusa in Tokyo! #TeamUSA #USA @olympicgolfofficial","['teamusa', 'usa']",2051,42,,2021-08-01 07:11:41,GraphImage
6,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/364335698_1672143379921952_5539145510430106223_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=mRZn6BikVQIAX8cE-pJ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE1OTc4NzQ3OTQ0Nzk5NjM0Ng%3D%3D.2-ccb7-5&oh=00_AfDY8I4ru9wt6tL54odeRWHn79oxX_AF2veo6kS9gA5BEg&oe=656AA46E&_nc_sid=fc8dfb,"One year from today, @teamusa’s @xanderschauffele will begin his gold medal defense in the men’s golf competition at @paris2024 🥇

Can the @USAGolf 🇺🇸 star go back-to-back?",[],1837,25,Le Golf National,2023-08-01 13:20:42,GraphImage
7,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/296455284_446043607396858_1931228890691812840_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44MDB4MTAwMC5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=r84YYImDy_cAX_kAE0g&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg5NTMyNjE1NDg0OTkwNzY3Nw%3D%3D.2-ccb7-5&oh=00_AfCUTd4t3c1fZwFXYINqHINWX7C-45mc_yDGhavpVv4mLg&oe=656B066A&_nc_sid=fc8dfb,"Just one year ago today, @xanderschauffele won 🏅 for @teamusa in Tokyo and in exactly two years Olympic Golf will kick off in Paris! The countdown begins! @olympicgolfofficial @paris2024 #roadtoparis2024",['roadtoparis2024'],1430,344,,2022-08-01 16:03:15,GraphImage
8,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/232133094_305268628034070_4143418934227735758_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=t5YwskxiCI4AX83BDsS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAvldC8kSuht6iI3u7Fr4dOBsexMwNwthCs4wOsHs2YlQ&oe=656AE61E&_nc_sid=bc0c2c,"Third round results for #TeamUSA: 

1: @nellykorda -15
T29: @thejessicakorda -2
T34: @lexi -1
T34: @daniellekang -1

#USA #Olympics","['teamusa', 'usa', 'olympics']",1613,65,,2021-08-06 07:52:19,GraphSidecar
9,usagolf,53430,69,True,True,,408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/233414641_1244920739306309_376541805584877559_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=64roOps7jVoAX94bmiI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYzNDcwOTIzNzMwNzg4MDM1NA%3D%3D.2-ccb7-5&oh=00_AfBDdZ3kRqZD_Uod855a7K5zI9v0feL7VfUfsCtSUrViow&oe=656AA772&_nc_sid=fc8dfb,A strong final round from @thejessicakorda 👏🇺🇸 #TeamUSA #USA,"['teamusa', 'usa']",1591,56,,2021-08-07 02:03:58,GraphImage
