,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/220905029_1512664745732088_4934395801320024797_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=InUIy74CxGsAX9Cq2O4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAYfhbi-rF5gAK68nHJvsL86TeHiGSYoSKxya05MKJixA&oe=656C0135&_nc_sid=bc0c2c,late night,[],1413996,8725,,2021-07-21 13:47:23,GraphSidecar
1,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/245702752_202617311955125_7606575412755698659_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2OTMuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=HKu4Y33eMewAX8LJ3Ai&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY4MzU3MDYwNjIzMzE4NTI1NA%3D%3D.2-ccb7-5&oh=00_AfAbrwzbEAqPa8zbASaWSUViNaccXAyVLfna8T3XFNbhqA&oe=656A74AC&_nc_sid=fc8dfb,Morning,[],1408631,8449,"Paris, France",2021-10-13 12:02:47,GraphImage
2,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/253164728_1006523946747168_8235258934710065579_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Ah1GKOoSj-QAX_HQLqI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCZT8PWciAukDIIqZ0msf7nTxkW-XbJg3DbnEFfF7r4gw&oe=656A7DB2&_nc_sid=bc0c2c,Morning Vegas💘,[],1366316,6546,"Las Vegas, Nevada",2021-11-06 20:28:35,GraphSidecar
3,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/240664193_3050874868480590_129965448022637795_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=mjxIRdkdbk0AX-0gQFx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBZJsiMKAEgpTM4SX9xgqUrW-epwNhhcgrHOacovFV7MQ&oe=656A9CD5&_nc_sid=bc0c2c,Stop reporting me for being a hot kid🦂,[],1357318,5093,,2021-08-26 13:54:39,GraphSidecar
4,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/202238963_878002039453096_6895304462200995847_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5dzocw0luzYAX-o5gND&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLGT7vyolrpRWvX8vTLXm3VR_SF4VwTEIAFjn77fWV9A&oe=656B483C&_nc_sid=bc0c2c,Bye Berlin,[],1312306,8722,,2021-06-17 11:23:04,GraphSidecar
5,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/234816304_532822594602923_5783445139507241063_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=mdZUAfv2y3EAX-LWf9O&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDJKZ8WeDMknRcFVQiYHZ77RNUKsui5CSHG7rzieI5NVg&oe=656B7AE8&_nc_sid=bc0c2c,Golden kink,[],1217815,5427,,2021-08-10 19:13:36,GraphSidecar
6,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/256327462_421737959544020_6133996907476310812_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=TSNJZ7Ra7h8AX8xQh4c&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBkqSn8ShyP_nEXgwYf4tECla_oknuu0lLvzunlailoBA&oe=656B8E98&_nc_sid=bc0c2c,About yesterdayy night⭐️⭐️,[],1206122,3486,Mtv Ema Awards,2021-11-15 12:47:11,GraphSidecar
7,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/271902922_6779406202129531_5643698108708872674_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=CtoZXjLij84AX-cdZFc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAT3zHaBWJxslqveCdb1iT_m2DsVFfx6FdDgJ_qeEJjA&oe=656A5941&_nc_sid=bc0c2c,Need some sleep?,[],1202426,5065,"Los Angeles, California",2022-01-16 17:33:44,GraphSidecar
8,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/272845557_108880154953071_4697366653022034677_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzI3eDE2NTkuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=WLJLH3QJi7AAX-zysVS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc2MjA2NTE4MTg1OTYxMzk3Ng%3D%3D.2-ccb7-5&oh=00_AfAHHBZcx_Xc398tyJYwHS0qx0mHUHKWKb-sdIuqpWAJaQ&oe=656A8B6E&_nc_sid=fc8dfb,🙏🏻,[],1165736,11221,,2022-01-29 19:17:29,GraphImage
9,vicdeangelis,4314501,702,True,False,N/A,590,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/217950775_554423142394246_5750153894700922423_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ywWj_at6fQEAX95QxFI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB_1DmiGmKFIJjEHtUnBpT0MTjJkmbcb5AQvxf_cfM44A&oe=656B3EED&_nc_sid=bc0c2c,Slurp,[],1161734,4827,,2021-07-16 15:57:08,GraphSidecar
