,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/269733951_340987564147644_8602173143375880152_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=f4Qqf7VYiyMAX-i5Ofv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5qHzxGEnzUiDkb3VFG7ADq26RM6JtVIlb0eqmg-NA6Q&oe=65632C22&_nc_sid=bc0c2c,"We’re engaged! ❤️

These years together have been magical, here’s to many more 🥰",[],1942524,30414,,2021-12-22 16:21:36,GraphSidecar
1,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/384112188_3161918100780004_1004257876552187926_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=tnSjjoJbkI0AX_wWbte&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwMDQ2MTgyNDQ4NTA4MDEwNg%3D%3D.2-ccb7-5&oh=00_AfDFerEFDIqkHCQQAWVcKTQTqh02SnuREcxylXg37PfLAQ&oe=6562CA8B&_nc_sid=8b3546,Mr & Mrs 🤍,[],1351514,6794,Malta,2023-09-26 16:13:23,GraphSidecar
2,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/384784168_697409445620794_583400860270577351_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=-ZjWmCfCmE8AX_1Ycya&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNDA3NDQ1MzY2NTQ3ODUzMw%3D%3D.2-ccb7-5&oh=00_AfArWnz6PrtvNVZIkokCPe-U6cRcivyMOIn7XyO7rPaRaQ&oe=6563D116&_nc_sid=8b3546,The boys 🫡,[],1031800,1551,Malta,2023-10-01 15:51:02,GraphSidecar
3,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/349135278_208675684865291_3394301783309681876_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=lHBb_j2pjdMAX8fLzm3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB3w_1TZVQgYY_EofZi_tVPE-BvYVE7whQHkcVUU0ulnQ&oe=6563EC2F&_nc_sid=bc0c2c,Sunny innit ☀️,[],941682,2278,Monaco Grand Prix Circuit,2023-05-28 15:05:03,GraphSidecar
4,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/308217647_578476974076548_8019158356693874266_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=RPlcRYl-q6IAX_6d5mN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCZ3bp2HVc3527iAbUw315-wPFssep7-xSr2ZczPQtacw&oe=65632D16&_nc_sid=bc0c2c,The most lethal strike force & @noahbeck,[],664722,600,Charlton Athletic FC,2022-09-24 13:16:04,GraphImage
5,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/331552343_3523971071207453_5216100973731796394_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=OXBSMB0akjEAX9yQldz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCbL0G1in3WpAp24SCGvFEt7zR6SVYZYaGwMd_Oq2AnyA&oe=6562B9DF&_nc_sid=bc0c2c,Top tier tourists 😄,[],643509,934,"Dubai, UAE",2023-02-17 15:49:12,GraphSidecar
6,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/322157836_5844770378948987_8110906361363429162_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=pxxMiAX82GkAX8yo98x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAUPPxOTo6163V9lJV5RF4WRHId9Sskuxaur-4A9Z_Qfw&oe=656252F8&_nc_sid=bc0c2c,Iced out 🥶,[],603903,2649,"Lapland, Finland",2022-12-27 16:58:45,GraphSidecar
7,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/262510426_321768666171721_4250609394443719447_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Ed0CZx203TUAX8efoO0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCPpUn9LwWtB9TxTqYOuAGB0bOnsTpnASAwac86RovdSA&oe=6563D3CC&_nc_sid=bc0c2c,The Indian Speedboat 😂,[],594605,2869,"London, United Kingdom",2021-11-29 17:44:52,GraphImage
8,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/248432956_965519717365147_592136896015452631_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=AlGG0NhVgAsAX939NiP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCLjzVYWgS_Z28lGsRcJWv1BcX7qgNwEUbxjyH29Uus2Q&oe=6563F7F7&_nc_sid=bc0c2c,Last night 🍾,[],592358,1380,"London, United Kingdom",2021-10-23 15:13:13,GraphImage
9,vikkstagram,4586298,763,True,False,N/A,900,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/177968269_183397280296134_5700603693416181869_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=lqmev5CScAYAX_9l6N0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBueWfSMrDv2WTclp3l0u7b1nuyY4sSmxPFAQB-HgjWbg&oe=6563171F&_nc_sid=bc0c2c,We saw a dog 😄,[],580953,3095,"London, United Kingdom",2021-04-27 15:47:06,GraphImage
