,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/123236924_3560485267376929_6202756923451251288_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=yGqieQBnHV4AX-yAJPT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB4aggwkExGVcisJs_8Tgi6y6kq8pTSODd4c0gRQ33IXw&oe=65681B5B&_nc_sid=bc0c2c,normal people scare us😂😂,[],168778,1319,"Huntsville, Alabama",2020-11-01 17:58:07,GraphImage
1,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/273634779_307705674725562_3619296153310906835_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=vXa3BCNVtMMAX8beefh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD1xeVgBPCSUiqPQBSjeXB2lmjPldU3vdhtygxjf4L9JA&oe=65672674&_nc_sid=bc0c2c,"I said, “Can I get a pic?” He said, “Yes.”",[],159524,1060,,2022-02-12 00:11:07,GraphSidecar
2,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/153149087_436886570883185_486402024869791592_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=_Sk-TWqroJsAX-GYvjf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDbMDlp-qo4FRF7oQ3KqZfVTpDwpqKvkYXEV_MYfJyMbA&oe=65684F3D&_nc_sid=bc0c2c,this is so true🗣🙌🏻💁🏼‍♀️😇,[],158895,1193,,2021-03-01 17:29:27,GraphSidecar
3,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/146307244_853506595210099_2491969883705364481_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=VVmFR6cTza4AX9RI7Nf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAB8tui5Z0emTFOJx64vto6hqaw5FExpRdLEcPbRDhtUw&oe=6568795B&_nc_sid=bc0c2c,dude 😍🙌🏻👚👟@styledbyjuless,[],141803,1113,,2021-02-06 17:33:37,GraphSidecar
4,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/170750083_186196746507595_1296261534895832075_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=iepnoMnoM68AX9WVdQj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA_-RI9I_Osz_GuWFDrOTaPneYOVzJaDWJgYD9L1jnd2A&oe=6568D0BC&_nc_sid=bc0c2c,I am addicted to blue eyeshadow.,[],130379,893,,2021-04-09 17:11:51,GraphSidecar
5,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117952818_353517525659834_7701814728074520785_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ybFx27_hItUAX_JE4KE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCIWGvh20X8F0r-rCmn1UuFnd06QwsoQ16cv1u8J4FeUw&oe=6567B53D&_nc_sid=bc0c2c,hey wyd ?? 🧐👀😁🤗@aeropostale #aeroworld #ad,"['aeroworld', 'ad']",129359,1350,,2020-08-24 19:11:06,GraphSidecar
6,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/122176056_1668693863304928_4216634582460182219_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=CfYei1nR26AAX8KQyeo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANp-vrBx3ViqKBwF2_YJW8t71Kv_euYAEnZi0tgB9m2Q&oe=656832ED&_nc_sid=bc0c2c,throwing myself a birthday party in the middle of nowhere tonight at 8 pm. everyone is invited. (don’t forget to bring your carrots and your sticks),[],123311,2003,,2020-10-22 21:11:08,GraphImage
7,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117373889_2765227027095687_7876753000837358769_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=KJs4wVY21QYAX_LZTGL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBR81KwxTZ7g0Gysut11EnsXx1ZMjzEtJGJqXbpuZGSqw&oe=65677CBA&_nc_sid=bc0c2c,i miss my best friend (claire btw),[],119379,673,,2020-08-12 17:42:24,GraphSidecar
8,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/137034851_832630937517180_3283115416416944869_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=MP8UcHsnbLUAX_ZV9BP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBG94YmIou3BFIoFuiRPbWdxKIPqNNXUFD_pm7KeOKYcw&oe=65679681&_nc_sid=bc0c2c,me and claire when we were at the stihl sign 🙌🏻 #drafts #throwback,"['drafts', 'throwback']",119140,426,,2021-01-11 18:06:54,GraphSidecar
9,yodelinghaley,292025,907,True,False,N/A,164,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/128374751_994056814413935_5485991017674068283_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=6D_EU3qLNTYAX_btGlu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAWr-74hohtiBFqRa9PZwxUUIIaWrvNCwDontJ-GRC0LA&oe=656809F6&_nc_sid=bc0c2c,happy cyber monday!! merch has been restocked!! link in bio 😁😁,[],118686,818,,2020-11-30 18:46:47,GraphSidecar
