,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/315286830_1595359527572135_7898035319415587092_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=uZfgtMhZjk4AX8vgLPB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDfuFhjsm8Y2f1QOJ113Yve52yr0NfsTi9b7j2MKfRJnA&oe=6566E967&_nc_sid=bc0c2c,"What do you get if you cross Polar Post with Yoto? The ultimate Christmas bundle! ✨

@polar.post and @yotoplay have partnered up to offer one family a fantastically festive package containing a variety of delightful goodies.

At the very heart of the North Pole there is a Post Office – The POLAR POST OFFICE. All letters from children to Santa Claus pour into this Post Office with each one of these letters answered by Father Christmas himself, written on his official notepaper bearing the Christmas coat of arms.

 

Winners will receive The Tale of Toys by Father Christmas, a Dasher and Dancer milk chocolate bar, a handwritten letter from Father Christmas himself, a Yoto Player, and a selection of Christmas Yoto Cards.

To enter:
1) Like and save this post
2) Follow @yotoplay
3) Follow @polar.post
4) Tag as many people as you like in the comments below – each new tag counts as another entry!

Giveaway ends on Friday, November 17th at 11:59 pm GMT. Winner announced the following Monday. Must be 18+ and a resident of the U.K. to enter. Prizes are non-transferable. Giveaway not affiliated with Instagram. We do not create separate giveaway accounts. If you receive any messages from other accounts regarding our competition, do not give any personal information and please report them to Instagram immediately.",[],6669,22388,,2022-11-11 15:03:12,GraphSidecar
1,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/241864754_1205701583260633_1877360341023173077_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=oJuJPKwfWL4AX9EW3Or&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAg7KwR0no4T0A1iQe8eiJKHdNmw-s9FkAbnXf8gBhv-A&oe=65657B82&_nc_sid=bc0c2c,"*CLOSED* It’s #RoaldDahlDay! To celebrate, we’re giving away the most whizzpopping, splendiferous, gigantuous prize bundle ever 😍
 
This immersive reading bundle brings 19 of Roald Dahl’s beloved stories to life, with audiobook cards and paperback editions for you kids to read along with as they listen 📚🎶
 
One lucky winner will receive:
 
• A Yoto Player
• The Gigantuous Collection by Roald Dahl for Yoto Player (that’s 19 cards to start building your Yoto collection!)
• Paperback copies of each of the following stories: Dirty Beats; Revolting Rhymes; The Enormous Crocodile; Esio Trot; Fantastic Mr Fox; The Giraffe, The Pelly and Me, The BFG; Charlie and the Chocolate Factory; George’s Marvellous Medicine; James and The Giant Peach; Matilda; The Twits; Charlie and The Great Glass Elevator; The Magic Finger; Boy; Billy and Minpins; Danny The Champion Of The World; Going Solo, and The Witches.
 
HOW TO ENTER:

1. Follow us @yotoplay 🥳️ 
2. Tag @ a friend in the comments below (each new tag counts as another entry, so the more people you tag, the better chance you have of winning!)
 
This competition closes on the 20th of September 2021 at 23:59 p.m. BST. Open to UK residents only (US residents must enter via @yotoplay_us). Entrants must be 18+.",['roalddahlday'],3091,17426,,2021-09-13 08:33:58,GraphSidecar
2,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/337924286_633243111969763_6328418226735776819_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=DZ7rxHKNNjsAX9CTzPY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAngA1UknzZBcmJkzfOXXYny17-FzfY7SmymqX7Bu8f7g&oe=65667871&_nc_sid=bc0c2c,"WINNER: @jani.d19 🎉

COMPETITION CLOSED.

An egg-stra special giveaway from Polar Post and Yoto! 🐰🐣🐤🐥🐝🌸

@polar.post and @yotoplay have partnered up to offer one family an eggcellent package containing a Yoto Player, Peter Rabbit card pack (Beatrix Potter: The Complete Tales), a letter from the Easter Bunny, a Bunny Hop newspaper, and a Lolly-Hop from Polar Post! 🐇🌼✨

To enter:
1) Like and save this post
2) Follow @yotoplay 
3) Follow @polar.post 
4) Tag as many people as you like in the comments below – each new tag counts as another entry!

Giveaway ends on Sunday, April 2nd at 11:59 pm BST. Winner announced the following day. Must be 18+ and a resident of the U.K. to enter. Prizes are non-transferable. Giveaway not affiliated with Instagram. We do not create separate giveaway accounts. If you receive any messages from other accounts regarding our competition, do not give any personal information and please report them to Instagram immediately.",[],3333,9674,,2023-03-29 12:38:08,GraphSidecar
3,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/332710300_1689730824822145_3990790774558963000_n.png?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=uTR5ZKCdBiAAX-UOgOF&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCpYWK7YlBayk-rJBOqx5F1-_wwzU8JFbc9Xno7vK3q5w&oe=6565FF83&_nc_sid=bc0c2c,"GIVEAWAY NOW CLOSED.

Winner of Yoto Mini & Yoto Card Pack: @midlandmummy
Winner of £100 Gift Voucher: @rach.len
Winner of Yoto Club Subscription: @peteherbdesign

It's giveaway time! 🎈

Three years ago today, Yoto Player V2 was born. We were too late to request a birthday shout-out from Jake, so we're doing a giveaway instead. 😏

Follow the steps to be in with a chance of winning one of three incredible prizes! 🎁

1) Like and save this post
2) Make sure you're following us @yotoplay
3) In the comments, tell us your favourite thing about Yoto Player and which prize you'd like to receive
4) For an extra entry, tag a friend who needs Yoto in their life!

Want to double your chances? Join the Yoto Community on Facebook (link in bio) and enter our giveaway over there! Good luck 🎁

Terms: Giveaway ends on Tuesday, February 28th at 11:59 pm GMT. Winners will be announced the following day. Must be 18+ and a resident of the U.K. to enter. Prizes are non-transferable. Giveaway not affiliated with Instagram or Facebook. We do not create separate giveaway accounts. If you receive any messages from other accounts regarding our competition, do not give any personal information and please report them to Instagram immediately.",[],5227,7200,,2023-02-26 18:01:17,GraphSidecar
4,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/397479629_854974669403942_7921637980758402969_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=-Xe9bkQEwqsAX9UVnU_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBdrGCBvbRHaDlSO01SKm2mGKbRMOj25vk33j-9Q06MHg&oe=65666DCE&_nc_sid=bc0c2c,"[Competition closed]

WIN the ultimate family-friendly overnight stay! 💛
 
We know that the secret to a good trip is happy little ones, so we've partnered with @yotoplay to bring entertainment to their fingertips from check-in to check-out. To celebrate, we're offering one family the chance to win a dreamy sleepover with breakfast included at No.15, Bath, No.1, York or No.42, Margate. Plus, you’ll receive the newest Yoto Player (3rd Generation), and accessories to go with it!
 
For your chance to win:
1) Like and save this post
2) Follow @yotoplay
3) Follow @guesthousehotels 
4) Tag as many people as you like in the comments below – each new tag counts as another entry!
 
The giveaway ends 5pm, 8th November. The winner will be announced the next day and contacted via DM.
 
Terms & Conditions:
Must be 18+ to enter. Travel to/from the hotel is not included. The prize is non-transferable. Subject to availability. This giveaway is not affiliated with Instagram. We do not create separate giveaway accounts. If you receive any messages from other accounts regarding our competition, do not give any personal information and please report them to Instagram immediately

#visitengland #uktravel #familyfriendly #ukstaycation #visitbath #somerset #visityork #discoveryorkshire #margate #visitkent #bythesea #travelinspiration #ukcitybreak2023","['visitengland', 'uktravel', 'familyfriendly', 'ukstaycation', 'visitbath', 'somerset', 'visityork', 'discoveryorkshire', 'margate', 'visitkent', 'bythesea', 'travelinspiration', 'ukcitybreak2023']",3058,8946,"No.15 by GuestHouse, Bath",2023-11-01 19:30:14,GraphSidecar
5,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/280098120_736393070849582_5073559328802936388_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=ppGLgrSSi54AX8ddczM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBLiHu9o-DxRssT2H0QDO22WHwX3-9WSmt95kt4HeBxUw&oe=656621E1&_nc_sid=bc0c2c,"Ad | We’ve been taking our Mini @yotoplay everywhere with us lately and it even came with us to the beach. Of course we had to listen to our fave, Snail on the Whale, at the beach ♥️ 

The mini Yoto has a long battery life and can be listened to with or without earphones making it the perfect little accessory this Summer! 

Do you want to get your hands on your own Yoto Mini? 
Follow @katieflossblog & @yotoplay and tag a friend below. 
Get an extra entry by sharing to stories and tagging @katieflossblog 

One tag per comment equals one entry. Giveaway is in no way affiliated with Instagram. Winner will be announced on @katieflossblog only, on the 20th May at 8pm. Giveaway winner will receive one YotoMini ♥️

#yotoaroundtheworld #yoto #yotomini #yotoplayer","['yotoaroundtheworld', 'yoto', 'yotomini', 'yotoplayer']",710,1748,,2022-05-06 07:50:11,GraphImage
6,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/394510680_18304717618184704_4244806573357048129_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=kakMLvohhYAAX-K7Xwu&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfB9Vfoc6MB30yexpSzRH__RHRqUJSBi7eua81S99L5wNw&oe=65668271&_nc_sid=bc0c2c,"CLOSED: We're thrilled to see you all jump into the enchanting world of dragons. So, guess what? We've teamed up with @hachettechildrens and @cressidacowellauthor for a legendary giveaway to give one lucky winner the chance to win ALL 12 ""How to Train Your Dragon"" books and digital Yoto Cards, a Yoto Player, and Adventure Jacket! 🐉🎉

How to Enter:
⭐️ Follow @yotoplay, @hachettechildrens and @cressidacowellauthor 
⭐️Like and Save this post 
⭐️Tag a fellow dragon lover in the comments

Are you ready for a legendary adventure?

📸 @realmumreview 

T&Cs apply:  This competition will close at midnight on the 24th of October 2023. The winner will only be contacted directly by @yotoplay. The winner will be chosen at random. A new winner will be chosen if there is no response within 24 hours. There will be 1 winner in total. This giveaway is not affiliated with Instagram. We do not create separate giveaway accounts. If you receive any messages from other accounts regarding our competition, do not give any personal information and please report them to Instagram immediately. UK ONLY.",[],1204,1029,,2023-10-20 11:01:10,GraphImage
7,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/204814217_316570296859215_2263066032365862030_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=06L8BUjd4aMAX8fjzQm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDKzvO529_vzyPPFcBgLWGodbmYP36ckXaHk3SBR62S7Q&oe=65660C65&_nc_sid=bc0c2c,"Monkey Music has arrived on Yoto! 🙉🎵

We’re thrilled to welcome “Sing and Learn” and “Copy Me!” to the Yoto Card Store. These beloved albums of toe-tapping music help babies and toddlers to develop language and motor skills by dancing, clapping, and singing along.

(COMPETITION CLOSED) To celebrate, we’re partnering with @monkeymusicuk to give away a Yoto Player, Starter Pack, “Sing and Learn” and “Copy Me!” Yoto Cards plus a Monkey Music goody bag worth £100!

Here’s how you can bring a bit of that award-winning Monkey Music experience home with you:

1. You must be following @yotoplay and @monkeymusicuk 
2. Tag @ a friend in the comments below

T&Cs: Open to UK residents aged 18+ only. All entries must be received by the 28th of June with the final winner being picked at random on the 29th of June. The winner will be announced and contacted by @yotoplay on the 29th of June. This competition is not affiliated with or endorsed by Instagram.

#yoto #yotoplay #yotoplayer #audiotime #smartspeaker #kidsactivities #educationthroughplay #kidsaudio #kidsmusic #montessori #montessoriathome #kidstoys #storytime #childrensbooks #childrensliterature #montessoritoddler #montessoribaby #montessoritoys #montessorifamily #audiobooks #audiobooksforkids #screenfree #screenfreeparenting #screenfreeactivities #kidsaudiobooks #bestkidstoys #monkeymusic","['yoto', 'yotoplay', 'yotoplayer', 'audiotime', 'smartspeaker', 'kidsactivities', 'educationthroughplay', 'kidsaudio', 'kidsmusic', 'montessori', 'montessoriathome', 'kidstoys', 'storytime', 'childrensbooks', 'childrensliterature', 'montessoritoddler', 'montessoribaby', 'montessoritoys', 'montessorifamily', 'audiobooks', 'audiobooksforkids', 'screenfree', 'screenfreeparenting', 'screenfreeactivities', 'kidsaudiobooks', 'bestkidstoys', 'monkeymusic']",514,1169,,2021-06-22 08:00:19,GraphImage
8,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/257538227_105577485223496_9194229214117663530_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=dX_RnVoltWgAX_RxLmr&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDVILE9tfEawOB0r7KPPizDEfhy0eLcw5i5-hp2EMD69Q&oe=6565AAF9&_nc_sid=bc0c2c,"Yoto Mini is here!

Meet our new portable player. Yoto Mini lets kids of all ages explore an inspiring world of audio - anytime, anywhere.

Thanks to its small size and long battery life, Yoto Mini is perfect for school runs, flights, and family outings - packing the best of Yoto into an on-the-go audio companion.

Get personal with headphones or start a party with size-defying sound. Learn more about its features by tapping the 'Mini' Highlight on our page.

Available from the 24th of November. Learn more at yotoplay.com.",[],968,230,,2021-11-17 14:38:15,GraphImage
9,yotoplay,113609,1384,True,True,None,538,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/305523559_1230414814190455_4771313453695308833_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=GGHYvMB3iCIAX_iA8Lc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBDqkCT_FWsBKt3fbo1rXHg11r2wPNIiZMuI_vfwGKXhA&oe=6566FB05&_nc_sid=bc0c2c,"Remembering Her Majesty Queen Elizabeth II
1926-2022",[],967,8,,2022-09-08 18:57:29,GraphImage
