,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nyuniversity,481156,503,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/282039954_1179118562856890_8101355814891574161_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=BzXW6xnfRTMAX80sZ0v&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg0MDk4NzYxODE0MzEwMTg0MA%3D%3D.2-ccb7-5&oh=00_AfB6oQMhDlbGeJPBngAf-NaLO52CbocqyREsqT02VEiSjg&oe=6554293D&_nc_sid=fc8dfb,"""We are led by our gut instincts, our intuition, our desires and fears, our scars and our dreams. And you will screw it up sometimes. So will I. And when I do, you will most likely read about on the internet. Hard things will happen to us. We will recover. We will learn from it. We will grow more resilient because of it."" - @taylorswift

📷: Photo Bureau: Shane Miller",[],229203,1366,,2022-05-18 16:42:20,GraphImage
1,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/306962769_467978031877103_5888105598187417201_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1yRL7Ik53aUAX_gEE-L&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAcrQu5IQTKuh-RCnEPZ2wHTxnitz4ObXhTW2jQT_AcWA&oe=65538FEE&_nc_sid=bc0c2c,NYU has moved into the Top 25—its highest ranking ever!—on the 2022-2023 US News and World Report National Universities rankings. This year's full list can be found with the link in our bio. #VioletPride 💜,['violetpride'],35581,224,,2022-09-13 17:39:52,GraphSidecar
2,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/187651795_479619013255635_7989396341633913218_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=9HXTEQHHUDcAX9UFOH-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZ0U2DYM0J2GP2bT3ietCdAQH5ET3uqQilWJvTm9T-BQ&oe=65538BEB&_nc_sid=bc0c2c,"Tonight the @empirestatebldg glows violet in honor of our #NYU2021 grads, and to us the city has never looked more beautiful. 😭💜🎓",['nyu2021'],31011,172,,2021-05-19 03:45:47,GraphSidecar
3,nyuniversity,481156,503,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/281928908_1886113064914356_186716014684752574_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=a3jEa9MmX5cAX-9-Jva&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB6W30I7UQF96Y2EkM4it7Ymu7cT_niV12temBObjK0Lg&oe=6553460A&_nc_sid=bc0c2c,"Tonight the @empirestatebldg glows violet in honor of our #NYU2022, #NYU2021, and #NYU2020 grads. We can't wait to celebrate with you tomorrow. 💜🎓","['nyu2022', 'nyu2021', 'nyu2020']",28770,101,,2022-05-18 02:26:30,GraphSidecar
4,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352079103_146014165148067_8449939158466400885_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDk1OS5zZHIifQ&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=0ZEDEakYljsAX81bSVW&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEyMDA1NTUxNjcxMzUxNjk1Mw%3D%3D.2-ccb7-5&oh=00_AfAyXTl_cIvfE9v5ibDBzUj-cppkpv72ILYqzm_AbWFrGA&oe=6554D6C1&_nc_sid=fc8dfb,"Save your outdoor workouts for another day. This is the view from Kimmel right now, thanks to wildfires in Canada leading to an unusually smoky, hazy conditions and an alert for “unhealthy” to “very unhealthy” levels on the air quality index for NYC. NYU is open and going ahead with all classes, activities, and operations, but with some modifications—including canceling any outdoor NYU sports or athletics activities—in line with the alert. (NYUers: check your email for a detailed message from Dr. Carlo Ciotoli, Vice President for Campus Health.) @nyugph professor Jack Caravanos also shared some tips on masks and other precautions in an interview with @WNYC (link in bio).",[],26811,163,,2023-06-07 17:40:28,GraphImage
5,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/242548479_164702219143577_124030420973783503_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDAweDEyNTAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=lDnpLrQRghcAX9WT-KS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY2Njk4MzQ1MDI1MzIyMjI4MQ%3D%3D.2-ccb7-5&oh=00_AfDdDWydIo4CR6OMcYjg9TZ_IiXrS6_W9lqvRd4ZbjFQFg&oe=655489B4&_nc_sid=fc8dfb,Tag a friend who needs this NYC inspiration today 🤩,[],26245,722,"New York, New York",2021-09-20 14:47:12,GraphImage
6,nyuniversity,481156,503,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/324861985_547355057314254_5560914621734933087_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=0t_jYUV7MqgAX-Sf3lU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBCWimTNNHuGMX1XpYgeYRhGTXJrYagLeLSM4zPUqmhRA&oe=6553881A&_nc_sid=bc0c2c,NYC is on track to break a 50-year record for the longest stretch with no real snow. Drop a ☔ if you prefer this gross warm rain and a ❄️ if you're normal.,[],24651,334,,2023-01-12 21:00:14,GraphSidecar
7,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/319316962_706177131035531_2972705335243709693_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=YuVNzD0IEx4AX8hRA34&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAb-B3ZA5aVckNEB5jRbY-IK5MH0TUmuNEPyT0K4EplQg&oe=6552F3B2&_nc_sid=bc0c2c,"📣 Big news: Today, thanks to a $100 million gift from alumnus John A. Paulson (@nyustern ’78), NYU dedicated the John A. Paulson Center at 181 Mercer Street. This vital academic complex includes 58 new classrooms; state-of-the-art theatres and athletic facilities; dining; student and faculty housing; and outdoor communal spaces—such as green roofs—that promote urban biodiversity. More info at the link in our bio!

📸: Jonathan King/NYU and ©Myaskovsky: Courtesy of NYU Photo Bureau",[],23297,149,,2022-12-14 19:22:03,GraphSidecar
8,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/214213938_223647729619857_5820412541581096904_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6r3FB2qqbZYAX_E2gIv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBa7_c7IPDRIo9Sku9TBAs3q_lY2ZqMNf-SeVl29xg9Og&oe=6552F754&_nc_sid=bc0c2c,"In both national and international rankings, we keep movin’ on up!

Just one example: This year’s QS World University Rankings put NYU at no. 1 in the USA for diversity and internationalization. Swipe through for our latest @USNews rank and other recent points of #VioletPride.",['violetpride'],22127,136,,2021-07-12 15:27:11,GraphSidecar
9,nyuniversity,481156,503,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/97554402_855022294977873_2615516111967844831_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=cjoUKM7_yp0AX8hhlYy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBG3_1OQLM3iaWNExCtb2AyYc3BKCs6jT72fjwFkCXdRQ&oe=6553D075&_nc_sid=bc0c2c,"In the midst of a graduation season unlike any other, we're proud and moved to see the @empirestatebldg lit violet and white tonight in honor of our resilient #NYU2020 grads. 💜",['nyu2020'],21901,151,"New York, New York",2020-05-20 02:59:15,GraphSidecar
