,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/319064915_1116595352387557_7329309825484909074_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=z_2U1QRrzF8AX-TFrTg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfByTFypf5RtSRbI0AxDnSNCJVcKvzum0pwMAKOvEFGlZg&oe=65542B20&_nc_sid=bc0c2c,"This is definitely a storm to remember‼️ We’ve now received over 7.5 feet of snow since December 1st. Plus, in just 24 hours from Saturday morning to Sunday morning, we received more than 35 inches of snow — the 6th largest snowfall total in 24 hours that we have on record. We got so much snow that we needed to dig out chairs at the top of KT, and dig out one of our grooming machines by hand.

We will start the day tomorrow with lower mountain lifts on the Palisades side; Resort Chair, First Ventures, Exhibition and KT-22. ⛷️ Once the lower mountain is open, we'll shift our focus to opening some upper mountain terrain. 🏂 On the Alpine side, we're aiming to reopen Summit tomorrow, as well as Scott and Sherwood by midweek. 

Check out the Ops Blog for more insane photos and videos from this storm, insider info on terrain openings, and more! Link in bio.

Photos by Steve Grotta, Lower Lift Maintenance

#PalisadesTahoe #DEEPcember #snow #ski #snowboard #Tahoe","['palisadestahoe', 'deepcember', 'snow', 'ski', 'snowboard', 'tahoe']",26766,178,Palisades Tahoe,2022-12-11 23:52:17,GraphSidecar
1,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/333627188_202428952453177_8623093735769958191_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=vS3iSkbLX3UAX_Qwdjv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBqiEDtYiGHgTXe_wb-ttliITWnrNgkQQpvaP7ZkM44Ig&oe=65541746&_nc_sid=bc0c2c,"After another 18 inches of snow overnight, our storm total over this week is up to 146 inches! That's over 12 FEET of snow‼️ This is the snowiest Oct-Feb period since 1970 as recorded by the Central Sierra Snow Lab near Donner Summit 🤯 

Unsurprisingly, there's a lot of shoveling to do! Please be patient while our teams work to safely reopen lifts and terrain today.

Photos: @blakessler.nef",[],17182,125,,2023-03-01 17:46:38,GraphSidecar
2,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/319536963_445382621128059_6433414106418249981_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=mgMlbjwf12UAX9TUDBW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC3_EA2UdzrRyJn0rGAUs18vy82_st-TnfHTjMu3hjR1A&oe=6554D4A9&_nc_sid=bc0c2c,"As of 6:00am, we've picked up 36″ of new snow at Alpine's base and 35″ on the upper mountain over the past 24 hours. It’s a little strange to get more snow at the base than the upper mountain, but that can be explained best by yesterday's winds gusting up to 160mph!

High winds and heavy snowfall will continue through the day, before tapering off later this evening. At Alpine, we're projecting Subway, Roundhouse, Treeline Cirque (to the mid station), and Meadow will run today following delayed openings. Due to extremely low visibility and high avalanche danger, all lifts at Palisades are now closed for the day.

Photos by @blakessler.nef",[],17041,103,Palisades Tahoe,2022-12-11 17:50:00,GraphSidecar
3,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/248325978_367545488489147_2192303705513761531_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=r7SkMGxCTLgAX_mh1Y2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY5MjU5MjQ0MzEzMTQwNjA5MA%3D%3D.2-ccb7-5&oh=00_AfAEvAVQ-BekCD2N1hadh8C1sLh3BH8192n22uIhcmNy_g&oe=6553A6E0&_nc_sid=fc8dfb,Update from Mountain Manager Jeff Goldstone at the top of Yellow Chair. The storm has delivered over 3 feet of snow to our upper mountains!,[],16630,173,,2021-10-25 22:47:33,GraphImage
4,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/244866833_3076315659268216_6158863426863308421_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=oEllO9X8_3cAX__eZVK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBO4qP5aqZxNygz7bXuP_182qOC7KIFAwuQhyV2JiLIlg&oe=655311A6&_nc_sid=bc0c2c,"The first snow of the season is here! ❄️🍂❄️

This early brush of winter has us stoked for the season ahead…Opening Day is scheduled for Nov 24. Photos captured today by @kabrophoto & our webcams. #winteriscoming #palisadestahoe","['winteriscoming', 'palisadestahoe']",15842,244,,2021-10-08 16:38:58,GraphSidecar
5,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/69362528_170281327440467_5360249316049563728_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=q-LxyJmgAX4AX9eZ_BQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDj8mxlZThbq53PHAcpSBnv798LMMwdOWlB8sydOWYR3g&oe=6550A760&_nc_sid=bc0c2c,The current scene at High Camp... nothing like late summer snow in the Sierra! ❄️❄️❄️❄️❄️ #firstsnow #winteriscoming #mysquawalpine,"['firstsnow', 'winteriscoming', 'mysquawalpine']",15001,741,Palisades Tahoe,2019-09-16 19:59:12,GraphSidecar
6,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/329980778_2296359427197212_5046934019654680826_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=Fs6L6_E8p5kAX9hLJk-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBi4flFv6zS952o51Noqu1vANuxjXyQqXz43RWOjsDQxw&oe=6553AB7E&_nc_sid=bc0c2c,"In the past 8 days, we have received more than 140 inches of snow on our upper mountains. That’s 12 feet. We are BURIED in every sense of the word after one of the most intense storm cycles in recent memory – and more snow is on the way. There are significant challenges that come with digging out from a storm like this one, not just on our mountains but also on our roadways and in our local towns. If you love the Tahoe area as we do, we need you to plan your travel accordingly before coming up. We want you to be aware of the reality of the current situation so that you can know what to expect and be prepared:

- Check the weather and road conditions before leaving for Lake Tahoe. The CalTrans QuickMap app is a great resource for checking highway status.
- Get fuel and groceries BEFORE you come up to the mountains. We are low on supplies as many trucks have not been able to get through.
- Bring a bag of supplies in your car with you. Road closures can be frequent during storm cycles, so you will want to have water, blankets, and food ready to go.
- Please be patient. There will be delays as our region recovers from this massive weather event. The operators working to clear roads and get us open again deserve your kindness and understanding.
 
For more information on what to expect with the incoming weather, please read our latest Operations Blog. [Link in bio + stories.]",[],15262,86,Palisades Tahoe,2023-03-03 00:58:50,GraphSidecar
7,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/267669677_243452211207650_8086189731850416072_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=HlWhFHNpSYgAX9YAVMH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCyRpZhA8fqxuodlKjxKFKA1p26bA0BjDzMf2pVHajJuA&oe=65530637&_nc_sid=bc0c2c,"The storm delivered another 24” of snow last night and more throughout the day today—bringing our total to over 5 feet in the past 7 days. Our teams have been working around the clock to dig us out and set up the mountains, and we are stoked to open more terrain over the next few days! This huge Sierra storm also caused a widespread power outage in the North Lake Tahoe area, and both of our base areas are currently without power. We are in touch with local utilities to resolve the issue and are hopeful to have power restored at the mountains by this evening. Once power is restored, here’s the opening plan (weather & conditions permitting):

❄️ Wednesday: Treeline Cirque, Red Dog, Resort Chair, and SnoVentures
❄️ Thursday: Roundhouse, Exhibition
❄️ Friday: Summit, Big Carpet
❄️ Saturday: Siberia, Gold Coast, Shirley Lake, Funitel, Aerial Tram, Belmont, Mountain Meadow, Bailey’s Beach

Please also be aware that per California state mandate that goes into effect December 15-January 15, face coverings are now required in all buildings—including lodges, restaurants, and shops. If you forget your mask, we will have extras upon entry.

We will post a power & operations update as early as possible tomorrow morning! Photos: @kabrophoto",[],14806,187,,2021-12-15 00:59:02,GraphSidecar
8,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/271607775_1514595592274066_2575017337274303754_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=PCTanUrkYK0AX9fc3r-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCesd23b_YHZEhXrPrdKOu4nB8Z1fMhvPbUkJqvemZ3eA&oe=6553FAB7&_nc_sid=bc0c2c,"There’s a new patrol pup in town—meet Moxie! 

Moxie, with his handler Alex, is just starting the long and fun journey to become a validated team member of @palisadesavalanchedogs. If you see them on the mountain during this critical training period, please ask Alex before approaching Moxie and be sure to give them some space 🐾Photos: @kabrophoto #palisadesdogs #blacklab #workingdog","['palisadesdogs', 'blacklab', 'workingdog']",14796,129,Palisades Tahoe,2022-01-12 01:38:01,GraphSidecar
9,palisadestahoe,207475,462,True,Transportation & Accomodation Services,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/270249961_1005337500400019_1024053583491851693_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=otJbD5E8rHUAX_MgN5Q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB77eyVQs5Hsaxceygzr9Stih-aMY7Gd0pd8bE836bMxQ&oe=6554841F&_nc_sid=bc0c2c,"After 9+ feet of snow in the past week, the Mothership went off this morning 🚀

Crews are working hard to expand terrain ASAP. There are more lifts and more pow turns on the way! Photos: @kabrophoto #DEEPcember #KT22","['deepcember', 'kt22']",14036,89,KT-22,2021-12-28 21:45:10,GraphSidecar
