,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/288854815_345100534425400_1902096617107616433_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=x-DjhxmAaAkAX9Z0V4N&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg2Mjg1Mzg5MTk3ODY4MTI5Nw%3D%3D.2-ccb7-5&oh=00_AfDjDbNr7yKhHmJrK1Zk3z2IAgMqdX44tIRs0s9BEWVe_w&oe=655412EA&_nc_sid=8b3546,First impression on Hawaii,[],72,3,"Kauai, HI",2022-06-17 20:46:41,GraphSidecar
1,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/369870194_1344554286153514_6100628574715083562_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=nwcK1vHOX70AX9XGdRx&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE3NzYzNDU3OTI5OTk4MDM1OQ%3D%3D.2-ccb7-5&oh=00_AfAOEnlPvl86IpWiMmoklK017adfjxrwOnugAOhMfzIhjQ&oe=65549783&_nc_sid=8b3546,"#Joe Hisaishi 2024 LA concert
Regret that I miss a part of Merry-go-round of Life",['joe'],66,8,Hollywood Bowl,2023-08-26 04:19:42,GraphSidecar
2,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/252916608_568143607613069_1739686186687852475_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Ln_u6PXAPW4AX9U_b-W&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjcwMTQ0Mzk3ODMxNjcxODgwMQ%3D%3D.2-ccb7-5&oh=00_AfBlmyhV2jOIeFQriYMRf_yUsFwvfKMW20xvyaYATahVZA&oe=6553678D&_nc_sid=8b3546,CCS RACA-CON 2021 my best day in this quarter! Listened to great talks and meet so many brilliant people,[],70,3,"University of California, Santa Barbara",2021-11-07 03:53:59,GraphSidecar
3,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/338568308_604548671552360_551543818569476335_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=asGtgQgJtk4AX8z50A7&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA2ODc5NzMxNzgxODQyNzI4NA%3D%3D.2-ccb7-5&oh=00_AfAYi7JXKPCxUfKT-OwNzUafZKr1pv09kX1VQCCcSWHAKg&oe=6553D60A&_nc_sid=8b3546,Los Cabos🇲🇽🤿🏖,[],58,6,JW Marriott Los Cabos Beach Resort & Spa,2023-03-29 00:19:30,GraphSidecar
4,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/323024992_1739347396462883_4417291578763856028_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ReqEuAPtD-oAX_ftN7r&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAwNzEwMDk3OTQ5MDkyMjEyNg%3D%3D.2-ccb7-5&oh=00_AfB6b0Wd_V2zB19A4jPHBLTx_qDHAmtymyfHACHKgohq7A&oe=6553C968&_nc_sid=8b3546,Mammoth -> Tahoe ❄️⛷️,[],54,4,,2023-01-02 21:19:54,GraphSidecar
5,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/276978493_1054225415305046_2136363327920364624_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=L5HF_M0qgwsAX_Lkau9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjc5OTQ1ODU5MTgwODcyMDg3OA%3D%3D.2-ccb7-5&oh=00_AfAYpzlUibibwbWACsghqp7JT3tgfqGlAa_tTZPfXE8loA&oe=65540D4C&_nc_sid=8b3546,快来找我玩！,[],53,4,"Santa Barbara, California",2022-03-22 09:31:32,GraphSidecar
6,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/150379476_187188593193758_6712714566547845405_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=XVVCb8izwKYAX9gBiw0&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjUxMDM5OTE3ODI3NTE5MTUyNw%3D%3D.2-ccb7-5&oh=00_AfBFCHBXiuumHC22Y8SR1b7cM9UR_iolPHQdi02ihVk0ew&oe=6553B34C&_nc_sid=8b3546,20!,[],51,6,,2021-02-16 13:42:04,GraphSidecar
7,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/333440210_1558632651281602_6697179110402509449_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=cZ73ElD3UwgAX8O1u4J&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA0ODA2NDEwNDQ5ODAxMTAxMw%3D%3D.2-ccb7-5&oh=00_AfDdazvZ8yCpPnmqi_HWvkKTs0ID8MMd8rQuNy1AFCXViw&oe=655377C6&_nc_sid=8b3546,Lang Lang in Santa Barbara!,[],53,2,Granada Theatre,2023-02-28 09:46:18,GraphSidecar
8,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/320788665_1789587571414960_2568605731218835541_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=yjgMVdOAo3EAX_nl2o6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk5NzgyNDEzOTkwNTgyODMwOQ%3D%3D.2-ccb7-5&oh=00_AfDQC_kVlQc1ghOcNPzcpRXMD0QAZDF5YVmZIbkJ9Mbutw&oe=6554B398&_nc_sid=fc8dfb,I can’t open my eyes ☀️❄️,[],49,5,"Mammoth Mountain Summit 11,035ft",2022-12-21 02:08:27,GraphImage
9,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/280033155_123378276994101_205807730890498553_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=SR2e8HSEgEEAX-4bq3L&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjgzMjgwODI3MTY2MTY3NTI5MA%3D%3D.2-ccb7-5&oh=00_AfCoLq5fpNwT6I0YEuTRf9de1AcplmviQUygfXg9fa8l8g&oe=65538F9E&_nc_sid=8b3546,"The new probe for transport measurement in the dilution refrigerator is up! This is a year-long work for me. Thanks my grad student Ludwig for advice and help, I managed to design and assemble the whole new probe, including the mechanical parts and PCBs. The new probe has RC/RF filters and golden meander to lower the electron temperature below 30 mK. Really appreciate it works so well!",[],42,4,Broida Hall UCSB,2022-05-07 09:51:23,GraphSidecar
10,sunny_yang3,295,333,False,N/A,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/104400401_152864526332902_4019658565139181198_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=YdCWArZF20YAX8smPpB&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjMzODY5MzQ2NDg5Mzg4MDYzNQ%3D%3D.2-ccb7-5&oh=00_AfC62nuC4mg7V-k5T3lNHFCZeOdQF0rmblSnFjRB490QNQ&oe=6553FA9A&_nc_sid=8b3546,,[],31,2,"香格里拉 Shangri-La, Yunnan, China",2020-06-24 15:53:28,GraphSidecar
