,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,ucsantabarbara,81375,252,True,,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/143272476_4964973136878437_8528423478080518064_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=vq5PPvez83EAX8pZV9R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDvZa6ucxL8KHPSffFyoIi45xR-oQ1GjQw8_tthioX8aQ&oe=65534611&_nc_sid=bc0c2c,"The ultimate UCSB throwback. #TBT 🏫
.
.
.
.
.
.
.
#UCSB #MyUCSB #UCSantaBarbara #UC #SantaBarbara #UCSBAlumni #Throwback #Film #UCSBGauchos #Gaucho4Life #Retro #College #California","['tbt', 'ucsb', 'myucsb', 'ucsantabarbara', 'uc', 'santabarbara', 'ucsbalumni', 'throwback', 'film', 'ucsbgauchos', 'gaucho4life', 'retro', 'college', 'california']",13580,106,"University of California, Santa Barbara",2021-01-28 17:01:28,GraphSidecar
1,ucsantabarbara,81375,252,True,,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/333898657_225706153182539_4455851352054915834_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM0eDE3ODguc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=W-Yjgvw5-1MAX-8vVKU&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA0NzU5Njc0MTc4NTA1MTA5Mg%3D%3D.2-ccb7-5&oh=00_AfCKpWKAk9WNYq9OoTUWQKsLq0vZs5YTghr89FzFQKCWzw&oe=65530B7F&_nc_sid=fc8dfb,"This is snow joke: winter came to Santa Barbara County! 🏔️

📸: @gb0n 

#UCSB #UCSantaBarbara #SantaBarbara #SantaBarbaraCounty #snow #mountains #StorkeTower #winter #SoCalSnow #snowfall #SnowyPeaks","['ucsb', 'ucsantabarbara', 'santabarbara', 'santabarbaracounty', 'snow', 'mountains', 'storketower', 'winter', 'socalsnow', 'snowfall', 'snowypeaks']",10466,32,"University of California, Santa Barbara",2023-02-27 18:17:44,GraphImage
2,ucsantabarbara,81375,252,True,,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/395381679_1048491896431934_8487664686669735550_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=KTXExoNLKyQAX9Ok2K1&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyMjk3MDU1NTc2MjY5MzE2MQ%3D%3D.2-ccb7-5&oh=00_AfCnpirwSm7xOngo7_TKDbMd7YfU6LZYgH0qc_lfEh8f3Q&oe=6554810C&_nc_sid=8b3546,"1989 (Our Version) 🩵

#UCSB #UCSantaBarbara #1989TV #FBF #throwback #yearbook","['ucsb', 'ucsantabarbara', '1989tv', 'fbf', 'throwback', 'yearbook']",9708,90,University of California - Santa Barbara,2023-10-27 17:34:12,GraphSidecar
3,ucsantabarbara,81375,252,True,,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/364300810_1741420276312173_2230984308804586609_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=xAAhVbBZH1cAX8TzBc4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBweebkKYGsYhJEPGRVqxhGbvD0afJ_zujsJMjnxmLQEw&oe=65546500&_nc_sid=bc0c2c,"Eras 🎤✨

#UCSB #UCSantaBarbara #TBT #throwback #ErasTour","['ucsb', 'ucsantabarbara', 'tbt', 'throwback', 'erastour']",9731,42,"University of California, Santa Barbara",2023-08-03 20:05:44,GraphSidecar
4,ucsantabarbara,81375,252,True,,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/306700064_766547537758127_7070668491290207906_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=v1zVw628IhQAX9wM6pz&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkyNTczNTIxNDUwOTQ4OTg5OQ%3D%3D.2-ccb7-5&oh=00_AfCTyv-7cBT0w901eWUiPFnqwT4u0SDAlTbKKvS5Aj47Rw&oe=65530D81&_nc_sid=fc8dfb,"For another year, #UCSB is a top 10 public university according to the @usnews #BestColleges rankings! 🎉 Thank you to our incredible community. Tag a fellow Gaucho to spread the word. ⤵️","['ucsb', 'bestcolleges']",9536,67,,2022-09-12 15:00:40,GraphImage
5,ucsantabarbara,81375,252,True,,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/369608893_318948407262546_721836452669459197_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDcyNy5zZHIifQ&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=EbjnDfc4JkkAX_t86Hl&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE3NTE4MDcxNzUwODI1NTI4MQ%3D%3D.2-ccb7-5&oh=00_AfBMfbpGlcz4FyCXkQr3_GeL-NXnGb2KnAkmDk1lYngQVw&oe=6553C726&_nc_sid=fc8dfb,"Something colorful to light up your Tuesday!🌈 Did you catch the double rainbow on Sunday after Tropical Storm Hilary?

📸: @ironlionzionlight 

#UCSB #UCSantaBarbara #MyUCSB #rainbow #summer","['ucsb', 'ucsantabarbara', 'myucsb', 'rainbow', 'summer']",9428,19,"University of California, Santa Barbara",2023-08-22 19:04:19,GraphImage
6,ucsantabarbara,81375,252,True,,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/326147603_695824692240659_3188802770298724500_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=2LFt_KjG8cIAX8ScM13&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBlrCYeWAIffYW0rXtye1E5fprqwVTk5tXAHU7ajCcujQ&oe=6554CA8B&_nc_sid=bc0c2c,"Sunny moments last week in Isla Vista between the rain ☀️ We hope this quarter is off to a great start! 

Gauchos, show us what you're up to with #myUCSB. 💙

📸: @dlrlynnspirationphotography_ @calliestone @aoneptune @ilajade @bradenboyles 

#UCSB #UCSantaBarbara #IslaVista #GoGauchos #UCSBLife","['myucsb', 'ucsb', 'ucsantabarbara', 'islavista', 'gogauchos', 'ucsblife']",9176,46,"Isla Vista, California",2023-01-19 20:40:37,GraphSidecar
7,ucsantabarbara,81375,252,True,,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/353720759_6186207901462316_1633628164717349441_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=zvXgw3GrBkUAX_IbogN&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEyNTIwMTI4OTI1NzUxNTIxNw%3D%3D.2-ccb7-5&oh=00_AfC203q3bSFW_MVm8qqxvLHXNyjYb_LpR6jyJo76wpagiQ&oe=6553E1AC&_nc_sid=fc8dfb,"Sea you at Commencement. 🎓 

Graduating or celebrating a Gaucho at this weekend’s ceremonies? Be sure to use #UCSB2023 on your posts!

📸: @defeatcobra",['ucsb2023'],8879,53,"University of California, Santa Barbara",2023-06-14 20:04:07,GraphImage
8,ucsantabarbara,81375,252,True,,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/110324471_1696055347226812_7423315122153629544_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDAweDE3NDIuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=q6qB4ZlzxjAAX-6uYw5&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM2MTE5NTY0MzE4OTgyMDY5Ng%3D%3D.2-ccb7-5&oh=00_AfCPgKjF11kaADx0M81EvLkByn_C-LxvBoT6HzyTh3Ldlw&oe=65539C98&_nc_sid=fc8dfb,Some sunny Santa Barbara weather to brighten up your feed. ☀️#MyUCSB,['myucsb'],8873,47,"University of California, Santa Barbara",2020-07-25 17:01:16,GraphImage
9,ucsantabarbara,81375,252,True,,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/313348228_135595849256800_5311791998862886575_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=XJL5VfEH0fYAX8bCAm7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBdXfaj8XxcU90bZBK0RDTPwH9YM2MwO4SpKhQikngpag&oe=6552FF4B&_nc_sid=bc0c2c,"⚠️ Time to UCSBeReal... ⚠️

Recognize any of these spots in our community? #MyUCSB

#UCSB #UCSantaBarbara #UC #SantaBarbara #UofCalifornia #UCSBLife #BeReal","['myucsb', 'ucsb', 'ucsantabarbara', 'uc', 'santabarbara', 'uofcalifornia', 'ucsblife', 'bereal']",8070,52,"University of California, Santa Barbara",2022-11-02 19:46:49,GraphSidecar
