,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/376763144_18381805606042752_8150306204035360643_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTUuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=HcArKuJQUjcAX94Au6z&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE4ODQ1NzM0MTI0NjgyNjkzNA%3D%3D.2-ccb7-5&oh=00_AfBA3rYSgp0f2HcU2P0khK3HhrCQuCplnPipTVFJyXXxVA&oe=6553828F&_nc_sid=fc8dfb,"Horns Up! 🤘

#HookEm",['hookem'],66582,313,,2023-09-10 02:42:36,GraphImage
1,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/370036028_18379326277042752_2949332505834188951_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=DC3c9GBw63sAX-U-wl8&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE3OTEwNDg3NTU4OTAyOTUyMQ%3D%3D.2-ccb7-5&oh=00_AfAAtQwALgoyapZoNEfAtQJNtIV-nRFpwPaEhfqtdTbCHQ&oe=6553234D&_nc_sid=fc8dfb,"🤘⬆️ Texas plays football this week‼️

#HookEm",['hookem'],56009,98,"Austin, Texas",2023-08-28 05:00:55,GraphImage
2,utaustintx,227194,212,True,Networking,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/376283387_683463883649249_6194925786766706771_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=jOoQD83ClY0AX8F3LPJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBBViNg860PaMi7teEvfpPEpO2FK71NH1Ji-gC6txgddg&oe=6550E5DE&_nc_sid=bc0c2c,We can’t wait to be back with y’all on Saturday 🤘,[],52355,169,"Austin, Texas",2023-09-10 13:44:08,GraphSidecar
3,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/378137259_18383098564042752_817804595383737190_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=A1Q5sGjDT0wAX8rd6Qk&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfA-QCsIOI-50o0wrSoaQjhiH8yU5zxECDSHd155LFHdSQ&oe=6552EE1F&_nc_sid=bc0c2c,"all of the lights 😏🤘

#HookEm",['hookem'],43937,61,"Austin, Texas",2023-09-17 04:30:49,GraphSidecar
4,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/374657112_18381696418042752_8507508479819714239_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=QblfOZzuseAAX9xK9hP&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE4ODEwODI1NjI0MDI2MzEyNw%3D%3D.2-ccb7-5&oh=00_AfDaAHL1GTe-xr75RVzj6mS_mglhurw3svS5imK9Ajim4w&oe=65544129&_nc_sid=fc8dfb,"it’s GAMEDAY! 🤘

#HookEm",['hookem'],41444,177,,2023-09-09 15:09:01,GraphImage
5,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/380773479_18384314227042752_1932034080395800130_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=2UdWVdFpbc0AX9e9t1r&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE5ODI2MTI0OTg2NjI4MjQyMQ%3D%3D.2-ccb7-5&oh=00_AfAWdjsIY5eIgCWofjvfHjW8Q2VtX1ITR0RbX8_VTj92Jw&oe=655338B7&_nc_sid=fc8dfb,"GAMEDAY‼️🤘

#HookEm",['hookem'],36856,64,,2023-09-23 15:21:13,GraphImage
6,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/385324740_18386875516042752_2120488461780750001_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=Gwf3W1MRwBAAX9ynRc5&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIwODMxNTQwMDc2MDIxNjc1Nw%3D%3D.2-ccb7-5&oh=00_AfA_1I940z-rBu6AODM5qfNru_zrEf4R411f0_2vcekQyQ&oe=65533C8D&_nc_sid=fc8dfb,"it’s GAMEDAY Y’ALL! 🤘

#HookEm",['hookem'],35164,147,,2023-10-07 12:17:01,GraphImage
7,utaustintx,227194,212,True,Networking,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/274538905_969403080360539_2665392992100294428_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=d52cYb4pYzMAX_EOgWu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDSGaJzlQgrSVwy_oDJiDwf0kjQIP89W3smAH2jQGSGkA&oe=65545CF8&_nc_sid=bc0c2c,"National Champion 🤘 The top of the #UTTower will shine with a burnt orange top Tuesday, February 22, 2022 to celebrate student Jaskaran Singh’s victory in the #JeopardyCollegeChampionship. Singh is a senior in the McCombs School of Business (@utexasmccombs) double majoring in finance and economics","['uttower', 'jeopardycollegechampionship']",34637,484,The University of Texas at Austin,2022-02-23 03:19:43,GraphSidecar
8,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/375046820_18380198902042752_9121853940996005035_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=tRbj5n91Xm0AX8yuLMU&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE4MjQ0Mjc0NDk0OTI5NTIyMQ%3D%3D.2-ccb7-5&oh=00_AfAb8GfFuru3cc-ZJ8Km10x_RGhaNAQv8IjqI_c7V1zJfw&oe=65530504&_nc_sid=fc8dfb,"24 hours. 🤘

#HookEm",['hookem'],32217,101,"Austin, Texas",2023-09-01 19:32:40,GraphImage
9,utaustintx,227194,212,True,Networking,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/373551542_270805179219126_8877378132079070890_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=SZ-6Sd8ITDQAX_Z6s5m&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDkHUbBQ2ZVwe0kGepUoX3W74W9kfoSuITRBhrUTldU0A&oe=6554ACCB&_nc_sid=bc0c2c,"LIGHT THE TOWER! The #UTTower will shine with a burnt orange top on Saturday, September 2 to celebrate @TexasFootball’s victory over Rice.

The Longhorns are now 1-0 and will play Alabama in Tuscaloosa at 6 p.m. on Saturday, September 9.

As part of UT tradition, the top of the Tower turns orange to celebrate regular-season victories. Learn more at tower.utexas.edu",['uttower'],32082,47,Darrell K Royal-Texas Memorial Stadium - University of Texas,2023-09-02 22:49:01,GraphSidecar
