,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,visitgreecegr,677312,175,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/241482255_984755662346491_4589713647652101673_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=kLJLUE818HIAX_F61yO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeD_k9qhQ98V7_Z0GCd4YMSzQq0o9BG0q_OTwChnZcjA&oe=6553BA54&_nc_sid=bc0c2c,"Drum roll please… Picture-perfect Milos, voted as both the Best Island in the World and the Best Island in Europe for 2021🙌 have a nice weekend ppl 💙
#AllYouWantIsGreece #VisitGreece #Milos #BestIsland2021#Sarakiniko #Klima #Kleftiko #Papafragas #Plaka #Cyclades #staysafe #Greece","['allyouwantisgreece', 'visitgreece', 'milos', 'bestisland2021', 'sarakiniko', 'klima', 'kleftiko', 'papafragas', 'plaka', 'cyclades', 'staysafe', 'greece']",31286,381,Milos Island,2021-09-10 18:41:27,GraphSidecar
1,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/147588318_750806209184921_2587862811798543993_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=L8R9cSxU4zMAX81SxLy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC-20ljNK2XkOlzOiwfrmnNC-VSIfgEqRrJfxNO0vUe6g&oe=65535DA1&_nc_sid=bc0c2c,"Vote for Kefalonia Island as ""European Best Destination 2021"" at www.vote.ebdest.in or check out our Highlights. Thank you all for your love & support 🤗💙
#VisitGreece #Kefalonia #IonianIslands #EBD2021 #staysafe #Greece","['visitgreece', 'kefalonia', 'ionianislands', 'ebd2021', 'staysafe', 'greece']",20284,249,,2021-02-08 23:43:43,GraphSidecar
2,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/82226375_625928441341887_5572416195955879616_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=RETCIudC830AX-k5F7J&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjMzNDUyMjU1NDA0NzcwNDgxOQ%3D%3D.2-ccb7-5&oh=00_AfClhVgw3o3nnyEb9g98B6qIsaGLZmNtEtG_7U2y-vAeDA&oe=6554B845&_nc_sid=fc8dfb,"Feel the magic of nature and visit some awe-inspiring religious treasures of Greece. SeeUSoon 💙
#VisitGreece #GreekSummerFeeling #StateOfMind #Amorgos #Hozoviotisamonastery #Greece","['visitgreece', 'greeksummerfeeling', 'stateofmind', 'amorgos', 'hozoviotisamonastery', 'greece']",19825,188,,2020-06-18 21:46:36,GraphImage
3,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/153339802_530519701263767_4734668422182744442_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=gO58FawtO_MAX_DltMo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUxNjM3MjU2NjA0NTM1MjAxOQ%3D%3D.2-ccb7-5&oh=00_AfBpFqwtndmutAnNpCgOWhI_oZZKqanCyBjruADViWomYw&oe=6553EF68&_nc_sid=fc8dfb,"With the view of the blue-green waters of the Ionian archipelago, captivating Parga, Epirus, will certainly steal your heart 💙 
#VisitGreece #Parga #Epirus #Ioniansea #staysafe #Greece","['visitgreece', 'parga', 'epirus', 'ioniansea', 'staysafe', 'greece']",18942,170,"Parga, Greece",2021-02-24 19:30:07,GraphImage
4,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/51677976_2264230883896179_3516809522481653981_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwMDQuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=XnP42HiM7ioAX-kVTkg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk5MjI1NDA3MDYzNjExNDEzOA%3D%3D.2-ccb7-5&oh=00_AfDxA96VT2wyupdcUrhT2k-yOtXxm3ECtJstsrqSl6EQow&oe=65532AE5&_nc_sid=fc8dfb,"The Riviera of the Epirus region hides mesmerizing locations which will certainly steal your hearts. Off we go ppl 💙
#VisitGreece #Epirus #Parga #inspiration #travel","['visitgreece', 'epirus', 'parga', 'inspiration', 'travel']",18625,304,Parga,2019-03-04 16:00:14,GraphImage
5,visitgreecegr,677312,175,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/109797266_976784559447500_559053400592213971_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEyNjAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=EWQi94rSK1UAX-gmFh2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM1MzM4NzE1OTY4NzczMjcyOQ%3D%3D.2-ccb7-5&oh=00_AfATlhHRrQgHldGMk0-4hc87r1mJJKxlR5MMVnh5xEb1gw&oe=65538B13&_nc_sid=fc8dfb,"The best dreams happen when you're awake. SeeUSoon 💙
#VisitGreece #GreekSummerFeeling #Thira #Greece","['visitgreece', 'greeksummerfeeling', 'thira', 'greece']",18582,192,,2020-07-14 22:27:13,GraphImage
6,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/67072593_424983588090778_1388029884712528503_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=B604HOjpmEAAX-3QG4Z&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjA4NDUxOTU4NjgwMTMxMDQwMQ%3D%3D.2-ccb7-5&oh=00_AfAwpcy8xceLnzcykp5zqYdwoE4lA0xdw03Pjlvr1puH5g&oe=6552F5D3&_nc_sid=fc8dfb,"With the view of the blue-green waters of the Ionian archipelago, captivating Parga, Epirus, will certainly steal your hearts 💙
#VisitGreece #Parga #Epirus #summertime #Ioniansea #travel","['visitgreece', 'parga', 'epirus', 'summertime', 'ioniansea', 'travel']",18303,231,,2019-07-09 23:15:20,GraphImage
7,visitgreecegr,677312,175,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/164049011_128533232612528_3804052271326983966_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=pPNsYFhcn90AX94yrhH&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUzNzA3ODM5NTM0ODc2OTYwOQ%3D%3D.2-ccb7-5&oh=00_AfB6TIIXZDojKE9YiRWeM3QR-N_S92kFsaXBYt8VzWH8bw&oe=6554BEF3&_nc_sid=fc8dfb,"1821-2021: Bicentennial of the Greek Revolution. Wish you all a happy one 💙
#VisitGreece #bicentennial #GreekRevolution1821 #evzones #staysafe #Greece","['visitgreece', 'bicentennial', 'greekrevolution1821', 'evzones', 'staysafe', 'greece']",18011,135,,2021-03-25 09:08:54,GraphImage
8,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/118391387_172280757792742_660841130800665451_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1WOhNkEbkUsAX-Mudmd&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM4NDU2MDU4MTM2NDc2NTQ5MQ%3D%3D.2-ccb7-5&oh=00_AfA3cUvtsmxIiXq3sM7uX7UWlGDv-1pKATwKVIs1P0gurw&oe=6554AC82&_nc_sid=fc8dfb,"Feel the magic of nature and see some awe-inspiring religious treasures of Greece 💙
#VisitGreece #GreekSummerFeeling #EndlessGreekSummer #Amorgos #monastery #Greece","['visitgreece', 'greeksummerfeeling', 'endlessgreeksummer', 'amorgos', 'monastery', 'greece']",17926,114,,2020-08-26 22:43:14,GraphImage
9,visitgreecegr,677312,175,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/242018168_242268251163190_8689440372414321438_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=z-kmr1alxw0AX9uln2f&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY2Mjc2MzA0NzY0ODU3OTM1NQ%3D%3D.2-ccb7-5&oh=00_AfC3BbA-ie5kHXvd_zn-cP0yblFRoCLbLP22vLp4KPHvyg&oe=655492CC&_nc_sid=fc8dfb,"With the view of the blue-green waters of the Ionian archipelago, captivating Parga, Epirus, will certainly steal your heart 💙 
#AllYouWantIsGreece #VisitGreece #Parga #Epirus #mainland #staysafe #Greece","['allyouwantisgreece', 'visitgreece', 'parga', 'epirus', 'mainland', 'staysafe', 'greece']",17478,106,Parga,2021-09-14 19:01:52,GraphImage
