,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/90055242_3626304924108426_8508159283259594724_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=XobU1e-fo7sAX8VEsLE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBOD7uQutwjED-ngwwr2-YranW5-xRDmgce8z0SJEBEjw&oe=655459C9&_nc_sid=bc0c2c,There is a lot of confusion out there about COVID-19 (coronavirus) so I’ve teamed up with @Instagram and @WHO to raise awareness to key best practices as well as linking people to reliable information in my bio. Follow @WHO for updates and information about what you can do to keep chill.,[],2517462,8552,,2020-03-16 20:13:02,GraphSidecar
1,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/235535339_921138895106843_959362395099473562_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=JcLl-hIMFzQAX9P0wl6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA2C2AM-u-2yOSaZSw0IzpFPcDEEiYu63VSvhvvDtTvvg&oe=6555B6ED&_nc_sid=bc0c2c,@potus,[],2272988,40223,The White House,2021-08-13 15:44:47,GraphImage
2,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/90329566_668660827008027_8905775647914043009_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Ws7mFBV72OQAX8LGQWk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAwiMwVlBnVp6i3S9KFCOLxCnG2t9eMzP8RwqHaRqVLPQ&oe=655412F4&_nc_sid=bc0c2c,Calling everyone to reach out to local hospitals as many have become tremendously overwhelmed. You can also see the different organizations in my story for more ways to help.,[],2067067,7182,Inside,2020-03-20 23:41:28,GraphImage
3,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/90434615_2595015090627149_5258200123809101858_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=oOVSOHkduNsAX8aWKlv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA8R5-_Hy-e94Wb699rMKjJkMngSg6fBeJM1J6-51sEvA&oe=65558C5A&_nc_sid=bc0c2c,,[],1945543,30504,Inside,2020-03-24 18:54:11,GraphImage
4,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/89384828_1453447378161084_6864380341945398607_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=8-W8mXiRUMIAX86DVFZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCUzzylep0RyMadL0f5JPWaRRZ9M1G5Joop1ouR_UXFmw&oe=65541260&_nc_sid=bc0c2c,,[],1920585,15350,"Soho, Manhattan",2020-03-13 18:48:36,GraphImage
5,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/91168715_660635704746740_5925897193698330105_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=BSkH6YNN--MAX_kiWBS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAfkNlhYnzkSrnKkmDumYa8QhqqAVtM42IsRtySj2yeMg&oe=6555432B&_nc_sid=bc0c2c,,[],1910453,16631,Inside,2020-03-26 20:22:09,GraphImage
6,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/94016205_695861437897902_6907324004514423977_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=y7w6eoj1lRkAX9z9b63&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeOq79SjZHXv3KcqoMKL80aiRzJ_M2-eZCbUKtjY5eww&oe=65547C60&_nc_sid=bc0c2c,,[],1762083,23055,,2020-04-22 21:46:50,GraphImage
7,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/140305083_1210161542712697_9161424215280039840_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=zVldyk8felkAX9YcEwt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDvBubOyOtc9_dIUQps7TwdsbrpIO_IUm_JpTRx9QK9Dg&oe=65547BE8&_nc_sid=bc0c2c,,[],1727055,11455,"Soho, Manhattan",2021-01-21 21:33:33,GraphImage
8,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/83700139_2291302461168449_3848312625780696668_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=rcw0t6KxTN8AX-NXHzV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdAENqOGhlhWJ9cf_jcbzW_GQAzuRtxUAm-_UB53K3BQ&oe=65541AE2&_nc_sid=bc0c2c,CHANGES out Feb 14,[],1707929,13059,,2020-02-09 21:42:07,GraphSidecar
9,dudewithsign,7964120,100,True,False,N/A,407,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/274888241_370656897953685_3272623414795774629_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=OBNll03DNPAAX96vLJ4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHomx4t_WlUm1YBxPnL9-IL43sGXEJKfVgGjmhN9H-TQ&oe=6554CF5E&_nc_sid=bc0c2c,"He left me on read so I tried this
#WBPartner
#TheBatman","['wbpartner', 'thebatman']",1715003,3310,Gotham City,2022-03-01 23:15:40,GraphImage
