,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/319121441_1082657639067219_1383087818607734815_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=RXO4zHwHT3gAX8AMKc2&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk5MTA3Nzc2MTM2MTk3NTg2OQ%3D%3D.2-ccb7-5&oh=00_AfAQ0qH_HjwmyTO8pXZZli-_yk3JgKzRAYlyDY9E37h5Nw&oe=65585F58&_nc_sid=8b3546,"""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 생각보단 기여움"" ✂️",[],2209779,18437,,2022-12-11 18:44:36,GraphImage
1,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/244982832_1490089344699447_1570060274736011921_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=J7xcFHi3xX4AX9mGV2r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDT3gJ8lEQIo531mxCXzEzrt20BFChXtzfYt5Zr0GZoBg&oe=6557AE68&_nc_sid=bc0c2c,"Chef Jin🧑🏼‍🍳
@jin_bighitentertainment 
@bighit_ent 
@labels.hybe 
@idolxcosmetics",[],2169626,20531,,2021-10-12 09:25:56,GraphSidecar
2,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/248051332_5215133858515112_4073583938659347888_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=G5ZMECTQRjoAX91qPLb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBmWwn4BcKOp4TEmd8nfEYt46vRFrEAX1ehIzsz1guGrg&oe=6558F323&_nc_sid=bc0c2c,"다음에 또 만나요
@jin_bighitentertainment 
@bighit_ent 
@labels.hybe 
@idolxcosmetics",[],2084294,15959,,2021-10-24 13:56:44,GraphImage
3,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/261734473_415192843425665_4188264308933363216_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=XxcxotUvLx4AX8uNTth&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAj-fFHThRHg9-4MoQrIa4Jyv7Oyu8rHZaav8KcxdC-ig&oe=65575975&_nc_sid=bc0c2c,"식스플래그에서 사귄 친구가 아이스크림 선물해줌 🍦
@jin_bighitentertainment 
@bighit_ent 
@labels.hybe 
@idolxcosmetics",[],2083759,14846,,2021-11-30 07:57:38,GraphSidecar
4,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/240607019_145435771022201_6521380027415451027_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=sizy5JcJBDYAX_POrdl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBLI3kf4WANnGOC1a6MML9KRv7_ZWymJGHoenlvnleoOg&oe=655739B4&_nc_sid=bc0c2c,"거울 셀카 
@jin_bighitentertainment 
@bighit_ent 
@labels.hybe 
@idolxcosmetics",[],2024660,26103,,2021-08-29 11:33:45,GraphSidecar
5,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/262500945_398246812043437_891520533281953245_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=lw0s3k4lF6kAX9_22OX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAkvZDg13ndtEXNdoQwc4k-RV0xX19XuL03B-O5zayylw&oe=6557530C&_nc_sid=bc0c2c,"무궁화 진이 피었습니다 💞
@jin_bighitentertainment 
@idolxcosmetics 
@bighit_ent 
@labels.hybe",[],2015289,21570,,2021-11-29 09:57:32,GraphImage
6,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/153356325_200396251822899_6846677339817191894_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=MWEqKCDFueMAX9cgDlK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfARzFyb3-UM3BtfUxboW3vv4gpiCuJrRhhPchJVhKvdog&oe=65582AC0&_nc_sid=bc0c2c,"나는 @jungkook_bighitentertainment 와 함께 하루를 즐겼습니다 😊
@jin_bighitentertainment 
@bighit_ent 
@idolxcosmetics",[],1780001,15149,,2021-02-26 14:57:07,GraphSidecar
7,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/242775366_991411898088567_550985437570572295_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=cPbWWQEcN5MAX--cRin&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCndvdjVcnbt_Rfl7m1IDVQEOAbkRZdQv4rqf4MlIkIfA&oe=65579679&_nc_sid=bc0c2c,"Chris Martin이 그의 공연 끝나고 선물해준 기타
기타 멋있다하니 쿨하게 준 마이 프렌드
집안 가보로 장식해둬야겠다.
땡큐 마틴!
@jin_bighitentertainment 
@bighit_ent 
@labels.hybe 
@idolxcosmetics",[],1771687,11725,,2021-09-24 14:21:49,GraphSidecar
8,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/326087439_926850558722514_5022097716976885573_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Uqxt2qtCz2cAX8Et9wD&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAxODQzNTgzMDk4NTkwNjE5MA%3D%3D.2-ccb7-5&oh=00_AfBPOjf8aVh9ycYN7Q8Nv1Oz4urVP6F26OuRKCr_b_lbFw&oe=655882A4&_nc_sid=8b3546,"#JIN: ""재밌게 잘 생활하고 있습니다
군대 허가 받고 사진 한장 올려봅니다
아미들도 항상 행복하시고 잘 지내세요"" 🥰🫡",['jin'],1764741,7719,,2023-01-18 12:40:13,GraphSidecar
9,jin_bighitentertainment,7475693,12,False,False,N/A,77,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/164198189_553883148913301_14567548077380952_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7qApHqoHmW8AX8vSJAa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCW2RYzKjXBknY6XTDfUh6EtbHetxUn-yWo8yFUBClsDA&oe=6559262F&_nc_sid=bc0c2c,"기염둥이 힛맨뱅 😄
@jin_bighitentertainment 
@bighit_ent",[],1747012,14845,,2021-03-25 14:00:39,GraphImage
