,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/337239732_3325267537783278_4009904770067802431_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=sVrDFJj31p0AX8iQlBf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBNDF_M3GsWw5TEitErzbmpQTAaOhdn8JiT298iJjzJ6Q&oe=6554E3D2&_nc_sid=bc0c2c,"Welcome to the world, Aurelia Chan Zuckerberg! You're such a little blessing.",[],2700458,51695,,2023-03-24 14:30:21,GraphSidecar
1,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/358958283_666573971560516_6793360858503118207_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=wwGrapajCGEAX-qCQVR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA_pTclp5XIOl-YyTucgcqMJ14HkwhypH5WoV0Une5VaQ&oe=6554FBF5&_nc_sid=bc0c2c,"🏆🏆🏆
No fugazi with Mark 🦈
This is Serious Business‼️
📷: @jeffsainlar 🐌",[],2578559,28959,Lake Tahoe,2023-07-11 19:27:39,GraphSidecar
2,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/249713234_299781238637470_4343174218132396613_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=jmyYpq81aNQAX-JAvvW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCt4lLyPZ7NYiNsfjRYuBZo9uesATzyVRvabR6_8tgv_g&oe=65556F4C&_nc_sid=bc0c2c,"Hello, Meta.",[],1242724,36964,,2021-10-28 23:38:19,GraphImage
3,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/332243175_588011989586793_7196765214964741252_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ySBSbHgAAGgAX8miA9a&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCpqsBkjxOt3nDsD-tcjZVXpUvnpoApPWCbvrUCQ58Pag&oe=655432CC&_nc_sid=bc0c2c,"Happy birthday to my favorite person! (Or, as August likes to call her, the main character in our family.)",[],1101150,15668,,2023-02-24 15:54:28,GraphImage
4,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/323177750_916233689533001_8937396716075064249_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Y3CLHaDtZ_MAX9zxW8X&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC1H2nQIiR3BWdSA-8aqgGgDByv6xV5iwTKZGwVcTLs0Q&oe=655422AF&_nc_sid=bc0c2c,Happy New Year! Here's to all of the adventures and love coming in 2023.,[],1015482,16655,,2023-01-01 04:26:40,GraphSidecar
5,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/320733836_684602260072481_1102411810337876046_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=OCacJkdTXW8AX-II-Ez&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeBrASOZi4arnkUdbrb2y_J7oS0cOZgfQoGP2eZvS2Mg&oe=655485AC&_nc_sid=bc0c2c,@leomessi's World Cup post is now the most liked in Instagram history. WhatsApp also reached a record 25 million messages per second during the final.,[],892000,8839,,2022-12-20 22:32:07,GraphImage
6,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/97317304_1105089463217910_411555029849554196_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=xr_X2T_EU4UAX-yn3Wf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBozGQXExdTmfl6Kh1FTYCrsR3MtIeoJiE1wPuLANiOpw&oe=655446CB&_nc_sid=bc0c2c,New normal: this lockdown is officially two haircuts long.,[],838165,41599,,2020-05-16 21:42:00,GraphImage
7,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/398527071_350560270711533_3723790257760195258_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=lFuJif91f5YAX_MQ1oi&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyODE3NDY0NTI3MDEwNjk2Ng%3D%3D.2-ccb7-5&oh=00_AfB1fBvVsmBPuwuBXBMMB789ip2-kNfYVqk-8SAfzXCzMg&oe=65547FA0&_nc_sid=8b3546,"Tore my ACL sparring and just got out of surgery to replace it. Grateful for the doctors and team taking care of me. I was training for a competitive MMA fight early next year, but now that's delayed a bit. Still looking forward to doing it after I recover. Thanks to everyone for the love and support.",[],819133,39782,,2023-11-03 21:53:48,GraphSidecar
8,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/85175462_176285990335210_4065743884077831252_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=9AEVvl479YQAX-aYweK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxq75RMSudekoAkLX4qw1l6nrTHC3yL8osT5Nimy6Mpg&oe=6555132E&_nc_sid=bc0c2c,Lots of good discussions at the Munich Security Conference and the EU Commission and Parliament in Brussels over the last few days. 🇩🇪🇧🇪🇪🇺,[],692960,25479,European Parliament,2020-02-17 19:29:47,GraphImage
9,zuck,12637646,558,True,False,N/A,303,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/44774059_2189543011367867_3934954483188267054_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=FEIVahWSOVAAX_d-dZe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA0hC14bFLrxHn6zgpTyQEMMvR9ax93N4J_W4zw644weA&oe=65544DAF&_nc_sid=bc0c2c,"I'm thankful for time with family, and that all the girls went along with my plan for matching pajamas.",[],698426,14414,,2018-11-23 00:10:15,GraphImage
