,username,followers,followees,is_business,business_category,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,visitaustintx,149693,2602,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/138277142_730531640921888_371694909744878254_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=t06fzqdOTtkAX_krJW5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCWnCJSs2pCLZlXhUHvVht6cbh2ihV6Kq_wLSqgxi9iAw&oe=6554132B&_nc_sid=bc0c2c,"When it snows in Austin, it's simply magical. Sunday afternoon the city was a winter wonderland. ⁠❄️
⁠⠀
1️⃣. Texas Capitol Building  by @shanewarephoto⁠⠀
2️⃣. Domain NORTHSIDE⁠ by @escapeelsewhere⁠⠀
3️⃣. Lady Bird Lake⁠ by @tehranian⁠⠀
4️⃣. Pennybacker Bridge  by @shattered_dreams_photography⁠⠀
⁠⠀
⁠⠀
#TrueAustin #AustinTX #SnowInAustin #AustinSnow","['trueaustin', 'austintx', 'snowinaustin', 'austinsnow']",9428,100,"Austin, Texas",2021-01-11 22:00:30,GraphSidecar
1,visitaustintx,149693,2602,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/53970492_499936730539120_7211409646676594352_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=I8TWVAQWkCgAX-ryEXo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjAwODQ4ODQwMDY1NDgyNzIyMA%3D%3D.2-ccb7-5&oh=00_AfDGOq8kMh6b5xsOY2FlZyt7SeTDee-p9s-4XPoi455U5g&oe=65548993&_nc_sid=fc8dfb,"The Oasis on Lake Travis. Have you been there during sunset? 📷: @shanew21 
#trueaustin #sunset #austintexas","['trueaustin', 'sunset', 'austintexas']",6359,354,The Oasis Restaraunt And Bar,2019-03-27 01:34:57,GraphImage
2,visitaustintx,149693,2602,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/32626201_1304980132969575_2840113670703284224_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=M9qRugnKVs8AX_A5A7s&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTc5MDk1NTYyNjQzMzA0MTgxNg%3D%3D.2-ccb7-5&oh=00_AfASv6OjBsJhztNTb1VYQHZ7_EawZjfneLzPSmYeo78bEQ&oe=6553FE95&_nc_sid=fc8dfb,"The Oasis on Lake Travis.
#trueaustin #sunsetviews 📷: @rebeca.lacblog","['trueaustin', 'sunsetviews']",6261,343,"The Oasis at Lake Travis in Austin, Texas",2018-05-30 22:16:09,GraphImage
3,visitaustintx,149693,2602,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/184979945_771421056890604_4500612908193267388_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3Nzkuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=s3SA7szA6Y8AX_vRBKx&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU3MjkwNTI0NDMyMjAwODU1MQ%3D%3D.2-ccb7-5&oh=00_AfCbRNi69B1V6O5gKa_1qKMZ0Rjup7Qf-N4ZQshZoXQX1A&oe=655487EB&_nc_sid=fc8dfb,"Planning to spend Memorial Day weekend in Austin? Whether you’re in the mood to relax and unwind or get outside, we’ve got you covered! Follow the link in our bio to see our suggestions for the best ways to spend three days off in Austin, Texas.⁠
⁠
📸: @prettyatx⁠
⁠
#TrueAustin #AustinTX","['trueaustin', 'austintx']",6448,75,"Austin, Texas",2021-05-13 19:30:43,GraphImage
4,visitaustintx,149693,2602,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/46979381_123917541956513_7327091475350617058_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDcxNi5zZHIifQ&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=wBrXooh6qbwAX9700m7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTkzMjg3MTU4ODQ3NTQ3MTc4Mg%3D%3D.2-ccb7-5&oh=00_AfD1bKIj77LajW6XLxPbxXP_vaTDis0A7tAkc_tFxWoyfA&oe=6554024C&_nc_sid=fc8dfb,"Day trip idea: Head to downtown Johnson City for their Lights Spectacular (runs thru Jan. 6th).
#atxholidays #texashillcountry #christmaslights 📷: @pingzer","['atxholidays', 'texashillcountry', 'christmaslights']",5708,309,"Johnson City, Texas",2018-12-12 17:37:50,GraphImage
5,visitaustintx,149693,2602,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/179446828_109242914621558_7900925235929125850_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzMzMuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=LgjEdSYCf84AX_TIPhD&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU2Mjc1ODIwNzMyODAzNjQxMA%3D%3D.2-ccb7-5&oh=00_AfALytwZwJ4DxM_6D0D6t3bcpYZjMr6CpqGwNVF3-xRitQ&oe=6554C4B1&_nc_sid=fc8dfb,"Pedernales Falls State Park has some of the most beautiful and unique scenery in the Texas Hill Country. You can easily spend the day swimming, hiking, mountain biking and more. Reservations are required, so plan ahead⁠
⁠
📸: @slimja23⁠
📍: @pedernalesfallsstatepark⁠
⁠
#TrueAustin #AustinTexas #PedernalesFalls #TXStateParks","['trueaustin', 'austintexas', 'pedernalesfalls', 'txstateparks']",5592,120,Pedernales Falls State Park,2021-04-29 19:30:36,GraphImage
6,visitaustintx,149693,2602,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/51492576_615542248884964_7627195649481637960_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=lDtvftgd0noAX8vGMSk&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk3NDg1Mzk2MjU5OTU4NjcxMw%3D%3D.2-ccb7-5&oh=00_AfBdqDdr-oTFAiwAUZmOMdAUDIPT-8fd_CRCi-J5Z7R-Cg&oe=6553B047&_nc_sid=fc8dfb,"Last night’s stunning sunset. 
#trueaustin #sunset #austintexas #frosttower 📷: @joshuaraichur","['trueaustin', 'sunset', 'austintexas', 'frosttower']",5468,123,Downtown Austin,2019-02-08 15:49:19,GraphImage
7,visitaustintx,149693,2602,True,None,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/46673839_439198479946830_3354860882275667547_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=1tVM4NHUGJwAX_fkb3c&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTkzNTI3NDAyODIzNTY2MTYxOQ%3D%3D.2-ccb7-5&oh=00_AfAmLfUbz6AnffJCuWGwD4l6SA1Jxfoqa9Wfgnk7h9JTPg&oe=65546BA4&_nc_sid=fc8dfb,"Mozart’s Coffee light show runs nightly through Jan. 2nd. More info found thru link on @mozartscoffee bio!
#trueaustin #atxholidays
📷: @atxcarlos_h_photography","['trueaustin', 'atxholidays']",5020,89,Mozart's Coffee Roasters,2018-12-16 01:11:03,GraphImage
8,visitaustintx,149693,2602,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/43914030_2265152443721531_4832907224176079704_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=BgM9A8iriiEAX87X4jt&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTg5ODg0Nzc2NTM5NjczNzU4MA%3D%3D.2-ccb7-5&oh=00_AfCtxXuplUA3jTAniWiBNlk8dE7ZVIB9FRqBTBXFQQ5pDQ&oe=6553FAE5&_nc_sid=fc8dfb,"Yesterday’s amazing sunset over Onion Creek. 
#trueaustin #sunset 📷: @flowkyte","['trueaustin', 'sunset']",4808,74,"Austin, Texas",2018-10-26 18:58:34,GraphImage
9,visitaustintx,149693,2602,True,None,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/36976680_868907113293099_7658807479186227200_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDYwNC5zZHIifQ&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ci8-5iyvaAAAX9yClz6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTgyNjM3MDQwNDM5OTQ1MDE2NA%3D%3D.2-ccb7-5&oh=00_AfB7f7JcaYhXZeeXKtaqiUbIo-D0JhtsWsn4wMdodhpi3A&oe=655499B7&_nc_sid=fc8dfb,"Flying with the bats.
#trueaustin #dronestagram 🦇
📷: @staplehawk @austintourco","['trueaustin', 'dronestagram']",4639,148,"Austin, Texas",2018-07-18 18:59:00,GraphImage
