,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/359171306_1329962071236076_6565810694509100930_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=vpkzaR4yUKgAX8Cdmaf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDDX1sS-67nW9iEn-wCXmB4hmVHLdyVakbtP1NXZdXCnw&oe=65578964&_nc_sid=bc0c2c,Gatorade Best Male / Female Players of the Year!! Congratulations to @avajaydee and @maxxclarkk on such an incredible accomplishment! 🏆#GatoradePOYAwards @isaacrochell,['gatoradepoyawards'],755243,183,,2023-07-12 03:57:51,GraphImage
1,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/361090651_18382734709029455_4916372774247003856_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=QmG3y5Y3WvcAX_1z0iI&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfChrSEL11QfPQsRXhAp3nZLMlxsCM2MNxXGKLNGyQs6bg&oe=6556FC70&_nc_sid=bc0c2c,"Miami, meet @leomessi. Not that there’s need for introduction.",[],188752,385,"Miami, Florida",2023-07-16 17:04:23,GraphImage
2,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/305749317_498054211658727_2173557155177794782_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=SS6PueV3TdYAX9Zgk96&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCEBhtzjFCbalMf0evQ_vcEwiLQWhfxWwVjNseML4GlPg&oe=65569D6A&_nc_sid=bc0c2c,There's nothing like those season opener feels! Y'all ready to have some fun? ⚡,[],76662,119,,2022-09-11 15:57:43,GraphImage
3,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/99058987_543640569683317_4281545878002148692_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WejbAW2-6dcAX8Vc2PE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCA1pZpMgq2s5BumbHI-lZdCrDXvu7zBEjurPbEPF64RQ&oe=6556D7FA&_nc_sid=bc0c2c,Top 3 ways to drink Gatorade - go! 🤔,[],52160,1536,,2020-05-20 00:42:59,GraphImage
4,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/240956851_266140578671282_2171642057590641497_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=TzT66A9E2MgAX-DWF_o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfABuY0UR-7PEHMGmQVg9AmcYBaTb6yE4Lk8QCK0bSS8Kw&oe=6558090F&_nc_sid=bc0c2c,Certified Thirst Quenchers,[],50862,763,,2021-08-31 16:54:13,GraphImage
5,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/376667094_18392839393029455_440933190338476753_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=SVoYVxY2n-sAX-VEvYv&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDL0kA73FKaqDQk2XJNk5N4DiO67JXa4-gfc1Tsl1EquQ&oe=65578B00&_nc_sid=bc0c2c,Meet the full squad. You might have seen ‘em around. ⚡,[],48365,220,,2023-09-08 01:10:53,GraphSidecar
6,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/54512941_2146600065431955_6166632869644315351_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ZyVrLZHulZMAX8dtiol&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAI5MSWXFlZM2v9-DheVhVsdQsKoFCpG1EKgvyf1w4Fxg&oe=6556B31F&_nc_sid=bc0c2c,"Fuel for the best on the floor, when things heat up. What’s your #SchoolFuel?",['schoolfuel'],46883,938,,2019-03-28 20:20:09,GraphSidecar
7,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/275866602_693800448311778_3497573445778503266_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=9skHiuRwHrYAX-IU444&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDU00Ot80B2UJUmVgVO8RkJ-bMHAz7S44hCjkU30m4wSw&oe=6557011F&_nc_sid=bc0c2c,@kiki.rice couldn’t be beat this year. Literally. 😤An undefeated season with a NPOY trophy to stamp a historic run. Congrats Kiki!🏆,[],45236,68,,2022-03-17 21:40:59,GraphSidecar
8,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/283134371_5236116663150363_4620162119170997357_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=rQd3E853UtEAX-CnaRJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA3I8JQ1s49VERJ2lzpP-muHBoSLtwcso4TgcWW7EUYGw&oe=65584734&_nc_sid=bc0c2c,"Asian American and Pacific Islander heritage month is an opportunity to celebrate and learn about amazing histories and cultures. This year, we’re getting to know @tuaman and a little about Samoan culture! Be on the lookout for more as we continue to tap in with Tua ⚡️",[],40063,97,,2022-05-19 16:04:21,GraphImage
9,gatorade,1302391,270,True,True,Grocery & Convenience Stores,586,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/98334951_141907840755051_16503354314918716_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=WrAkaLnxQ_YAX8kIGVL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9B8Bbt-ikPMMBrVzIJVoinVSHJV2SWcM2Roq8U2aSIA&oe=6556D820&_nc_sid=bc0c2c,Who you got?!,[],30720,5243,,2020-05-21 01:07:32,GraphImage
