,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/241668449_557134195522886_1252180972456140_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=2XBasVAB80QAX9B3XE1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZ2LVnyfM8NFlRxpzRMvQ86zfCjxhvoKhSSuFjFNjh5g&oe=655A0357&_nc_sid=bc0c2c,"✈️É SUA HORA DE VISITAR MALDIVAS! ✈️ 🌊

Estamos presenteando dois seguidores +18 (com direito a acompanhante) com 7 NOITES ALL INCLUSIVE no resort que estamos hospedados! 

🆘⬇️As regras são simples atenção a elas: 🆘⬇️

1 - curtir essa foto 

2 - seguir @gessicakayane @lucasranngel @sunsiyamiruveli

3 - comentar essa publicação quantas vezes quiser; 

REGULAMENTO DO PRÊMIO: 

- Prêmio inclui: 7 diárias All Inclusive para 2 pessoas no Sun Siyam Vilu Reef ou Sun Siyam Iru Veli;

- O prêmio é válido para o período de 1 ano. 

- Datas sujeitas a disponibilidade do resort;

- Ganhadores precisam possuir passaporte, certificado de febre amarela e teste de PCR internacional; 

- Passagem aérea NAO INCLUSA ; 

- Qualquer custo extra no resort, além do all inclusive, é de responsabilidade dos ganhadores; 

O resultado sai dia 17/09/21 a qualquer horário nos nossos stories. 

Boa sorte ☘️✈️🌊",[],1466432,1620462,Maldives,2021-09-11 18:05:14,GraphImage
1,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/268142449_326891319039519_6504674175990756387_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=H0OFS602wT8AX_UvORf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBQlBGtjjzMoLLC2o8i8F8Zm8-J6rNp2LqvsdZqzjbzqQ&oe=655AD0AB&_nc_sid=bc0c2c,"“vamos amiga, passei só um gloss”",[],2060516,34052,"São Paulo, Brazil",2021-12-17 17:15:36,GraphSidecar
2,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/335491502_210653844878980_606209445102639144_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ZSDEly9ufhIAX_l0jJP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNC1_4E9MbaaYGv3nLvKUP4DDTbPETI4vJvGWFXdxS8g&oe=655AC115&_nc_sid=bc0c2c,HOLLYWOOD 🚏,[],1991811,28613,Hollywood Hills,2023-03-13 23:02:43,GraphSidecar
3,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/131560473_403058411032234_2753676501091957084_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=935mYnIy-7oAX-kSJbL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDBl_LVwvC-Fml1f47BvWGbpoIT_i3lCTr_XdfapMDABA&oe=655B8D92&_nc_sid=bc0c2c,eu me tornei a pessoa que eu mais temia,[],1981736,18388,,2020-12-16 20:12:56,GraphImage
4,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/264178807_3119722461641067_1809947655073176093_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=kMi3VdAYcfEAX8MdcJa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAw7m-eNGJOjdPdixUhPfyFBqfjzu2Z1ShHGU352RVhNQ&oe=655B7646&_nc_sid=bc0c2c,ja dei o recado ao @zefelipecantor @virginia,[],1981133,5664,Marina Park Hotel,2021-12-07 02:18:14,GraphImage
5,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/356269072_1352350115623744_2677548761657743059_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9jtBGOpwTosAX_2doJp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDTVkzyS9LyOTFHTBg45btpwrZaSVwxDTlFUt_kQV8v9A&oe=655A5304&_nc_sid=bc0c2c,💗 MAVIE 💗,[],1937313,3350,"Rio de Janeiro, Rio de Janeiro",2023-06-26 19:54:43,GraphSidecar
6,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/264406496_1098714957530615_6016842410595566810_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=pPEc4XemIrIAX9-A1nE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDOX9ki77qEo_eKJn5i1J33ZVX1ZJAM6onHhaRKOez47Q&oe=6559F323&_nc_sid=bc0c2c,pronta ♦️ @yanacioli,[],1845432,15403,Marina Park Hotel,2021-12-08 01:44:46,GraphSidecar
7,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/264373998_289882506532689_2712870260396978231_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=xsbTLlg9U4QAX8BS3Kk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBODP_gHqV4sk9uBY9hC2qLt_X3Fey73ZjEY9ZwOt-ehA&oe=655B5A4B&_nc_sid=bc0c2c,"DARK ROOM FAROFA DA GKAY pq o Christian grey tá chorando????? 

Regras: 
1 - não entra celular 
2 - não entra ze Felipe",[],1773436,13698,Marina Park Hotel,2021-12-06 22:50:17,GraphSidecar
8,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/326759334_725592938923966_1194033150984917624_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=nSopB-qro18AX8tAMsY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBUj1pc6WgYuEMrBZRi-vQF0rZsVWqnqjfbKpTCi6VmAg&oe=655A61B3&_nc_sid=bc0c2c,@stephanerolland_paris @hautecoutureweek,[],1735985,25856,"Paris, France",2023-01-24 15:40:30,GraphSidecar
9,gessicakayane,20272285,1351,True,False,N/A,3091,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/272885513_621918095558198_338585368642715572_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ldatiRHqslIAX-tjCi5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMNCUP-3LPBrphLul7u6FjdJkafYaob9BZ7-Z7koNcCQ&oe=655A3A7C&_nc_sid=bc0c2c,SEGUROU 8 ROUNDS COM O POPÓ TEM QUE RESPEITAR,[],1653568,5236,Balneário Camboriú,2022-01-31 04:29:15,GraphImage
