,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/354440300_801073371653051_8777419427461885928_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=JRa5X7b8OaoAX_mEA3x&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEyNzQyNzU0OTc2MDg2NzY5NA%3D%3D.2-ccb7-5&oh=00_AfBNdX6hMLQavpiVAZQMOwCHQ1qKDIUTGyyE4IChWxT5EQ&oe=65540FF7&_nc_sid=8b3546,i met ronaldo,[],15121318,185566,"Lisbon, Portugal",2023-06-17 21:47:18,GraphSidecar
1,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/362855356_815429156636877_6738333705833712719_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=KcgtQAldJ3EAX86szM1&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE1NDc1ODI2MTkxNTIzNDgwMw%3D%3D.2-ccb7-5&oh=00_AfCGOm57VnNU9ZqTvUSLHFEFDOhLEYxOK_5VJHr6K6M2BA&oe=65542901&_nc_sid=8b3546,Mais Um🇧🇷,[],7556079,37835,"Osaka, Japan 大阪",2023-07-25 14:48:33,GraphSidecar
2,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/318465575_546018324060778_6433650835783901311_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=TsgHXAp0hcgAX8xNKtI&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk4ODc1NjA0NzkwNTc1NzE5Ng%3D%3D.2-ccb7-5&oh=00_AfBM2p7WOplV763Cizjg9EieESyIGEbh_qH1CbMiu5Ruvg&oe=65554FE1&_nc_sid=8b3546,‏ ‏الحمد لله,[],6540006,83723,"Sheikh Zayed Grand Mosque, Abu Dhabi",2022-12-08 13:51:47,GraphSidecar
3,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/338554538_942699870113379_6544094418693026702_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=H-WBlVSq60wAX-_4pVO&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA3MDM0NTI3MTA5MTUzNTk3Mw%3D%3D.2-ccb7-5&oh=00_AfDLsHSxQ9I3XpMEYp77_S6zWzUdOZYlITwyL9tZj5C-ig&oe=6554EEAE&_nc_sid=8b3546,lindo🌤️,[],5731765,45945,"Lisbon, Portugal",2023-03-31 15:55:00,GraphSidecar
4,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/397032257_219931890996517_6259012630150919026_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=Bi80hFMEo8wAX_VR3Y0&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyNTI4NTkwNDQzMjU2NDM3OQ%3D%3D.2-ccb7-5&oh=00_AfBK15cD6H08TqiaExV9PcW_2_knVRaPKxuxnVinh59dZg&oe=6554709F&_nc_sid=8b3546,Ballon d’Or🏆,[],5280822,22102,Théâtre du Châtelet,2023-10-30 22:14:23,GraphSidecar
5,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/375884093_1037059974093847_1009306923506965395_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=aqx5WI05C_wAX-ihKkV&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE4ODE2OTI4ODk1MDgxODQxNg%3D%3D.2-ccb7-5&oh=00_AfBJSd4ArNofVZJnbeNZAs0pswy6qg7sOTfZZlY6nPC5zA&oe=6554289E&_nc_sid=8b3546,sad day😕,[],4480771,32937,"London, United Kingdom",2023-09-09 17:10:18,GraphSidecar
6,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/308608804_422505006673072_5684596583647196888_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=3Mn0Ey0w2GgAX8bReRM&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkzNDQ3NjQ2MzczNDg0ODQwMg%3D%3D.2-ccb7-5&oh=00_AfDmRech_qPneTOOKB4S42vkrMRp5BuetaWIRE0fJd1s-A&oe=6554D8DD&_nc_sid=8b3546,SEWEYYYYY,[],4265682,25300,"London, United Kingdom",2022-09-24 16:27:57,GraphSidecar
7,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/391481050_1442576492967618_8690994937522424433_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=A6CQO3CZlq8AX_8b3vM&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNDE2MjUyOTM1NjU0MTM1Ng%3D%3D.2-ccb7-5&oh=00_AfCCNe9GCALLUsY28sJXGzKnHHCMUoFYsTxiWwBJW2UO2w&oe=6554830E&_nc_sid=8b3546,india🇮🇳,[],4189036,64643,,2023-10-15 16:30:00,GraphSidecar
8,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/314864461_650171103231037_6034171169345960265_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=MYmA5eZjaK8AX-f0CtN&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk2ODc0MDUyODY3Nzk4OTM1MA%3D%3D.2-ccb7-5&oh=00_AfA99Fc32K-cZAXgSpqbRKxpItTf8eCOnQsZjCC-Uco4ww&oe=655481D0&_nc_sid=8b3546,"signed to man united, im happy",[],3855319,21441,Manchester Utd Football Ground,2022-11-10 23:04:32,GraphSidecar
9,ishowspeed,13847309,303,True,True,None,30,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/386327115_1646008432590214_5106893106991676265_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=zVJ14NrM9vIAX-fbOAh&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNzczOTkyMDE0NzU0NTEzMQ%3D%3D.2-ccb7-5&oh=00_AfCX-IvzXH1tU39kL5UoSFA7wGfvDR0sbnV3wrTsUgEVcw&oe=655520BD&_nc_sid=8b3546,"“My youngins richer than all you rappers, and they all stream🫶🏽 “",[],2708394,26205,Ohio,2023-10-06 17:13:39,GraphSidecar
