,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/73521758_108511033802183_4020443329320775281_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=_nKouGBUXpMAX-3b7dD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDRoF1rI5ZWdkki1NDDRlzs97dwCbexLHLMQfRHmgnpKA&oe=6556C355&_nc_sid=bc0c2c,LETS GO CHAMP!,[],2550121,79322,,2019-11-10 16:17:13,GraphImage
1,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/392811162_18413145583012168_5486940498802332827_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=kxBTBRYr3HAAX99kebJ&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIxNDAyNTMwMTg4NTUwMDU0Nw%3D%3D.2-ccb7-5&oh=00_AfALvryAsie1m_fQaB0gTQ21eelHly8LSesq059NPq4yMA&oe=655569D8&_nc_sid=8b3546,Appreciate all the kind messages from everyone. In the ring and watching it back I feel like I should have won. Either way I feel like I accomplished what I wanted to in the end. This little untalented nerd was able go toe to toe with a professional boxer. Use me as the living proof that hard work and self belief can get you anywhere in this life ❤️,[],1952263,30980,,2023-10-15 09:21:35,GraphSidecar
2,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/370037345_17963521646627503_436573452140587419_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=uMrTiZEnvXYAX_rfeXM&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBYX-l8-z_U_4JquKqyPf6uGzo6qSQqQpqjkb9gfH-GkA&oe=65564B7A&_nc_sid=bc0c2c,The future of hydration meets the future of Football 🤝🏼 PRIME x @erling.haaland,[],1898469,5374,,2023-08-25 14:00:06,GraphImage
3,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/357099365_18392908990012168_3561792088025894885_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=CBQgpLJOgXcAX-0nK5K&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBgBT6grpJNt-tbyTLVf2mqdeZnJueY2_4LHTuOqlh5zw&oe=65567F12&_nc_sid=bc0c2c,"Out with the old, in with the new. Goodbye Gatorade, Prime is now the new hydration sponsor of FC Barcelona 🙌🏿",[],1858873,207,,2023-07-01 12:31:07,GraphSidecar
4,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/202249757_1254952284922920_6310361515564049320_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=JrwavtMg29IAX_8X4Ek&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDb3yQOtXBh1gl9SR91FuCa9Uh0lmkDiwi6jlRobG3ADw&oe=65568FDA&_nc_sid=bc0c2c,❤️ @comedygamer,[],1723050,12113,,2021-06-18 13:39:44,GraphImage
5,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/72288459_2806767719356231_3091744886613725633_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=UhnzyCqy39IAX_b2Xo-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBZx8EQ3XKvll20O_a3Hq9kd3aETN7fj2L_2cqDJMRpfQ&oe=6555E27C&_nc_sid=bc0c2c,Time to end Logan’s career tomorrow... 📷: @bastakespics,[],1673051,52189,,2019-11-09 00:29:26,GraphImage
6,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/241134624_877530943146769_8753267240281076643_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rQP9YKQnWh0AX8ydn9n&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCilsI_f9Vf7G67TLhysiPsNqgSjQid7r8tW3gtcYwReg&oe=655593AF&_nc_sid=bc0c2c,"GQ Red carpet

@alexandermcqueen @nnawfi @bulgari @britishgq @shamara_roper @vivian_nwonka @lanvinofficial",[],1692690,12160,"London, United Kingdom",2021-09-02 19:48:24,GraphSidecar
7,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/374691493_18406415461012168_521858283659410111_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=25novmhKZ_gAX-yDoiY&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDafvo9teH8Ew5148lp5dIZ8-bMkIIyEj2QaDXj3LCi7Q&oe=65572075&_nc_sid=bc0c2c,"Me and my sons

Honestly what a match. Thanks to everyone that donated and watched. You lot made the event super special. Thank you all again 🙌🏿",[],1677625,3444,,2023-09-09 18:34:28,GraphImage
8,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/338703133_910359600299209_1655660301339138386_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=2yNIcIQIvPYAX8BjgDP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDqExa6nokKTGD-q6LgNu6o4uaUooQJAz5Gf6tPsoTmPA&oe=65556418&_nc_sid=bc0c2c,Not how I planned to end my night at Wrestlemania,[],1671745,6438,,2023-04-02 03:03:08,GraphImage
9,ksi,13318158,603,True,False,N/A,322,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/346486579_259645873134836_8384433717062493629_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=lRLNwvUrchMAX8rdMz3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAn0fo5b2Az_nSKwbClVQGufXMyryHJY_zNUsObaAilcA&oe=6556C583&_nc_sid=bc0c2c,Meet my cat. His name is Buu,[],1635127,20968,,2023-05-14 19:15:38,GraphSidecar
