,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/341554568_778182526911244_1074169588163581391_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=FqBFtP1-0vcAX_1v3RJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBDynehKBIZ_fMrHHBcKBzeDtGtt-riIthG8LgtGiqbqQ&oe=655707AD&_nc_sid=bc0c2c,KITTY ✨ Este Jueves 🇲🇽 & 🇦🇷,[],2540336,26567,Universo Infinito,2023-04-17 19:10:01,GraphSidecar
1,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/284541883_1206828296755640_7889763854202672075_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=fBoF86dXUyoAX8SEYnB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA00zmYPpg3D54l87-n0NVEG-AxoW0g069HNwdbk59Mcg&oe=655727A1&_nc_sid=bc0c2c,el verdadero L.Y.T 💓,[],1992047,29035,,2022-05-29 22:43:12,GraphSidecar
2,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/342060728_793998235499175_3870015949208759166_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=sM589Ub7wQAAX9DJkAF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfASBlKh_Sov1xeBJaXaPVuYnX4E8xRKPwwiktiNSDErcg&oe=655613FD&_nc_sid=bc0c2c,kitty OUT NOWWW!!! solamente en @spotify vayan a escucharlaaa @kimberly.loaiza gracias por invitarme a ser parte🫡 🇦🇷 🇲🇽 🖤,[],1538375,9802,,2023-04-21 00:05:22,GraphSidecar
3,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/279487952_349357290509366_4554121734482915990_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=8P5DiZf0CwQAX-86S_Z&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAfn26yquUOvSPnga3I6RaOl6Yh6fq9KzwJWU2ywxzi_g&oe=6556411B&_nc_sid=bc0c2c,Aka en hollywood por ver la shrek 2,[],1333261,5406,"Hollywood, California",2022-04-29 22:43:03,GraphSidecar
4,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/250377473_1001809727043978_4778966865188403687_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=p1TeTMnzHSMAX_oLNw9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDITVzlK4tRkU_3np9a5toa5yYhnC2xC3JS1rx1yOEsRg&oe=6555FAE9&_nc_sid=bc0c2c,Feli cumple amigaaa @emiliamernes 🩸la segunda foto somos Chukillah y Rusher Grinch 🧟‍♂️,[],1235384,2193,,2021-10-30 22:13:00,GraphSidecar
5,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/277477331_339865844832343_3653548393759986551_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=XJArIo3ZQpMAX_YuD3d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAEejUqR7vh9kSNrZ-kzcVQ20_OVCPXFQL6PzsO_H9EoA&oe=6556EB19&_nc_sid=bc0c2c,"VENDO BEBÉ! interesados al dm!!

jajaja na mentira soy tio, por primera vez♥️ bienvenida Evaaa y felicitaciones @ari.jhonson y anto por su hijita🖤🖤🖤",[],1185587,7931,,2022-03-30 21:42:47,GraphImage
6,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/271954602_1035105633703554_6389341435305647254_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=vxO9JpbR2v0AX_-_t_5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBeH2680IEQlqv0tepi7TCHJ4ZnJZkFiqnCWWELHT7Nkw&oe=6556BACA&_nc_sid=bc0c2c,"Un recuerdo de cuando la @nicki.nicole me vino a visitar cuando tenia covid!!

ph: @tomiraimon",[],1158381,2757,,2022-01-18 02:15:07,GraphSidecar
7,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/348867264_768450161595760_3185209978269441213_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=py7wrM8lKb4AX-7dkM6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAHE6guwXi0dabXH9wRVrdPm-2-UKDOX4lMbGew-52LSg&oe=655707F2&_nc_sid=bc0c2c,los unico que faltaban eramo nosotros no? con mi hermanita @emiliamernes este 1 de junio sale unos de los mejores tema que hicimos hasta ahora🫶🏻 ESTEN READYYYYY que se P.I.K.A 1/06,[],1150447,3417,,2023-05-26 22:05:07,GraphImage
8,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/273682901_651351999620716_1625382900526360070_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=KzSLVOvRFPwAX_kdU-k&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9P22H0BVUJW1rQ3nnvzbKb6K0YnW9ncdo6SHW_MF0YA&oe=6556A96D&_nc_sid=bc0c2c,"quien para ese asado??? ;)

Mañana 7pm (arg) sale #LaTrampaEsLey 🇦🇷 viste q yo no jodo🤣",['latrampaesley'],1084150,8039,,2022-02-09 22:26:39,GraphImage
9,litkillah,8883021,779,True,True,None,258,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/241314530_3120668841550613_1799266284400203886_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=--pNjsYhcjoAX-8Y_C7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdoGazxdRCsvquCfmEPkFZ48CO7Wjy5pj6vNr-2gZKPw&oe=6555D3B0&_nc_sid=bc0c2c,🥀🥀🥀,[],1052950,11368,,2021-09-05 00:53:29,GraphImage
