,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/273724633_271324811645754_8805282793307060523_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=9PgZuBMV7MQAX-2CMlX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0V9rmmL8NRKTpO8-fxfBFSRbmfGZEvBzQ7LTpyYZvmQ&oe=6554053D&_nc_sid=bc0c2c,Court side w my best friend n what not 😎❤️,[],912919,8431,,2022-02-10 22:40:20,GraphSidecar
1,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/340858733_771523490964467_6119939511545776432_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=xULfTjeQ1RUAX_PJqg2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxtofR1qY6vnNPpbX6k3jaMkWsCzO_x68QUMYfDaR5lA&oe=65518A3C&_nc_sid=bc0c2c,Midnight 305 Is live 🇮🇹,[],540477,3210,,2023-04-13 21:17:41,GraphSidecar
2,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/272311398_946481472697907_2398758595980979782_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1mVxrC2gnkoAX8lxVDs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDqAdWk5JMzVcHPAEF6k3B2HGCu-kL_uFXdyIDzeS928Q&oe=655493D4&_nc_sid=bc0c2c,🤯,[],393240,2470,,2022-01-24 01:26:20,GraphSidecar
3,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352416477_249921854314953_1028760100105700438_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=2P03G6WjTS4AX_dUgsM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA4DjMvQFDIYJW9S23VWsy_MMVqkJ5V-Y-HnwNvasd_QQ&oe=6555421E&_nc_sid=bc0c2c,Had the pleasure of attending the Style for Strength benefit @donnakaran,[],381646,2581,,2023-06-08 20:13:19,GraphSidecar
4,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/274065027_907379586599959_6369210907768577339_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=sM99g16E6nAAX-06Lel&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDzRE5gibwBzgVs8gTFX-cinnwZhhQ-avrgDlCJlcXVng&oe=6554E54E&_nc_sid=bc0c2c,In n out,[],378075,3784,,2022-02-17 17:20:44,GraphSidecar
5,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/273044366_970469796911603_7867586509361463920_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=GTDDvfcASZoAX-2bNrU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDSL9ruttubPBAOZ0gn52hJBJ9hkyD6PHRGuUO1sm0MaA&oe=655440D7&_nc_sid=bc0c2c,Happy birthday to the queen 👑 my heart❤️❤️❤️,[],351861,3546,,2022-02-02 22:20:19,GraphSidecar
6,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/271511719_748940316102400_1497634668782673064_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=VDew9DDWYj0AX-_nWyp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA56n4R8Lt4rj11vDEJApa5PdjY136BXCjASb_AECJcEg&oe=6555B040&_nc_sid=bc0c2c,Me and unc @tracymorgan Coolin watching @rjbarrett casually drop 31 on they heads 🔷🔶🔷 btw Thanks @nyknicks for the love 😎 #Knickstape,['knickstape'],346448,1062,,2022-01-11 03:07:26,GraphSidecar
7,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/276106476_977668316193836_2122990793318135214_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=MyStN--rtL8AX9T1K43&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDG5UdSapeJc_S1Uwd7xO0srDHVWxE4pNz4l4A8l6sTTw&oe=6555BD2E&_nc_sid=bc0c2c,Having our way 🌲 NOLA showed mad love ❤️,[],339545,1503,,2022-03-21 00:54:48,GraphSidecar
8,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/275332558_1390265348090439_3519391628995681407_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=EipjZ1cdccsAX8YKGpg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9hnQ5dzyRVe3q7EOdvGVb3QCSEuAjwEAjA3gFiVSj_Q&oe=6555CA15&_nc_sid=bc0c2c,Just having fun with it 🤷🏽‍♂️❤️🍾,[],330335,2470,,2022-03-07 19:23:17,GraphSidecar
9,michaelraineyjr,3106436,485,True,True,Creators & Celebrities,125,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/260186053_1532438500465667_7652671921905666207_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=816FVXnEcV8AX8Wjbxb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCHCPRPilDN2p5_8I63IPbL0XzsQT8OAm2jrIaXeKgSiQ&oe=6554F669&_nc_sid=bc0c2c,Heard Terry brother was looking for me 🧐 @lilmeechbmf,[],313791,4914,,2021-11-24 18:23:26,GraphImage
