,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/328368119_553348280099131_6449108037723452110_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Isjb4ZfG0j4AX-pPtML&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAzOTQ1NDIxMDIzNTI4NzA3OA%3D%3D.2-ccb7-5&oh=00_AfAnnsze4o13LwRcPJw5nJEkOQcSns2PwVT082PEN5F1Kw&oe=655533EC&_nc_sid=8b3546,"𝐅𝐞𝐛𝐫𝐮𝐚𝐫𝐲 𝟏𝟔, 𝟐𝟎𝟐𝟑 𝐢𝐧 𝐏𝐚𝐫𝐢𝐬 🖖🏼🖖🏾🇫🇷",[],271026,1344,,2023-02-16 12:39:58,GraphImage
1,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/376857129_327268993026305_838004675951596619_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=C2pEGJzGE6YAX8bXs64&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE4Njk5MDMwNDU0ODg1NzU4MA%3D%3D.2-ccb7-5&oh=00_AfAh5qiW2VnXppgO1PAnzGxVgBR_AZmWhhmG-BCh4-F_ng&oe=6554ED64&_nc_sid=8b3546,Thanks for visiting @kendricklamar 🇯🇵,[],133480,338,,2023-09-08 02:07:51,GraphImage
2,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/398223456_18396501739034115_8336692681100716975_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=4y916PJT5kgAX-nOJRi&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyNTc1MjE3NTgyODA1MjczOQ%3D%3D.2-ccb7-5&oh=00_AfBXQ9ywGGZR-PsuabSfxTZkhFItmOyBmwgNt-TAODUh0g&oe=655498A9&_nc_sid=8b3546,"We're honored to present ""From Me To You"" — @nigo's archive collection for auction at @joopiterofficial.

In 2003, during my first visit to Tokyo, I got to meet NIGO in person and what I saw changed my life forever. NIGO blew me away with his taste and curation. Everything he bought was an investment, something that clearly fit in a defined collection.

Looking through these pieces, it's like walking down memory lane for me. So many of these items are from iconic moments in fashion and culture, it's a history lesson.

""From Me To You"" bidding opens Thursday, November 9 on JOOPITER.com",[],123826,812,,2023-10-31 13:40:46,GraphImage
3,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/261530703_1216686932173892_1417256901930983640_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=ULGYL1wPhQsAX9vx5FX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDYA6VUz0FRp5NDCucZMDt7RwE5qqZj7NlcGLl-RscIdA&oe=65553EF1&_nc_sid=bc0c2c,"The fashion world changed completely with his arrival. 

But, not only in fashion - it it is difficult to understand the extent of his influence. 

He used to say that he was greatly influenced by me, but now I can’t imagine myself without Virgil’s presence. 

It’s so sudden - I can’t accept his death. I am full of thoughts of gratitude beyond my power to express. 

Thank you Virgil. 

May you rest in peace.",[],120982,773,,2021-11-29 10:09:41,GraphImage
4,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/347670900_990475515659094_4454025273312381829_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=NI79KkHb4RcAX-H727m&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwNzY0NjYwMDYwODk0MzQyNA%3D%3D.2-ccb7-5&oh=00_AfCqbeqXP38OlsLOV6-gG462yN3khaTmw2WqjUioddXmfQ&oe=6554021E&_nc_sid=8b3546,𝚃𝚑𝚊𝚗𝚔 𝚢𝚘𝚞 𝚏𝚘𝚛 𝚟𝚒𝚜𝚒𝚝𝚒𝚗𝚐 𝚖𝚎 🫱🏼‍🫲🏾,[],89827,296,,2023-05-21 14:46:05,GraphImage
5,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/335771423_899097677873153_7337607608685922826_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=OjKINU13PZMAX_sBviV&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1OTU2NTU1MTI3NDY1MjUyMQ%3D%3D.2-ccb7-5&oh=00_AfAfjw7DLSLu6EAi7p1SkXfhvhL_gK0q9ItB26qsWr_8hw&oe=6553F749&_nc_sid=8b3546,Welcoming our new advisor @kaws to the HUMAN MADE team 🫱🏻‍🫲🏼,[],56455,446,,2023-03-16 06:37:37,GraphImage
6,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/366457862_992691442050549_6445750053756381365_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=jqy0uGH9GRAAX_wEUjc&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE2NjUzMDc0NTI3NTgwOTExMQ%3D%3D.2-ccb7-5&oh=00_AfDZxiwp0DgFGNCGl5PY3jbkVRuPloLS7Xm5U-s-uER8AQ&oe=6555EF5E&_nc_sid=8b3546,"𝗔𝘀 𝗽𝗮𝗿𝘁 𝗼𝗳 𝗗𝗶𝘀𝗻𝗲𝘆 𝗖𝗿𝗲𝗮𝘁𝗲𝟭𝟬𝟬, 𝗜 𝗺𝗮𝗱𝗲 𝗮 𝗹𝗶𝗳𝗲-𝘀𝗶𝘇𝗲 𝗬𝗢𝗗𝗔 𝗽𝗮𝗽𝗲𝗿-𝗺𝗮𝗰𝗵𝗲 𝗳𝗶𝗴𝘂𝗿𝗲. 
𝗧𝗵𝗶𝘀 𝗼𝗻𝗲 𝗮𝗻𝗱 𝗼𝗻𝗹𝘆, 𝗵𝗮𝗻𝗱 𝗰𝗿𝗮𝗳𝘁𝗲𝗱 𝗱𝗲𝘀𝗶𝗴𝗻 𝘄𝗶𝗹𝗹 𝗯𝗲 𝗱𝗼𝗻𝗮𝘁𝗲𝗱 𝘁𝗼 𝗯𝗲𝗻𝗲𝗳𝗶𝘁 𝘁𝗵𝗲 𝗠𝗮𝗸𝗲-𝗔-𝗪𝗶𝘀𝗵® 𝗳𝗼𝘂𝗻𝗱𝗮𝘁𝗶𝗼𝗻. 

#disneycreate100 #disney100
@disneystyle @makeawishintl","['disneycreate100', 'disney100']",28914,148,,2023-08-10 20:38:22,GraphImage
7,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352183449_1308356636724889_8082264373058978975_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=_Je1PdB0N3MAX-YPfOA&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExOTk1NjY5MzYxMDM3MTgyMQ%3D%3D.2-ccb7-5&oh=00_AfA_rkFTp8o8hc9BEw4yThT6vYGZqU-bbx_7udewaZux-Q&oe=6554196D&_nc_sid=8b3546,LVMH PRIZE 2023 ⭐️,[],17521,113,Louis Vuitton Foundation,2023-06-07 14:24:02,GraphImage
8,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/397323165_247314694989245_1293934821331117296_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=wgZwcZkbHYoAX_8iWji&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyNzYxMjU2MTI4OTQ5Mzk2NQ%3D%3D.2-ccb7-5&oh=00_AfCi9Nk3ETDQCDWGV8OCNmtg_ZCFVHdTeimOIyH28kbG0w&oe=65556B8A&_nc_sid=8b3546,Otsumo Plaza opens November 4th 🎉,[],17537,76,,2023-11-03 03:17:02,GraphImage
9,nigo,1480063,3,True,False,N/A,13,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/398634051_17951317466701754_3570179942424191449_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=B47Kwe8l7IkAX-6S7Gc&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyNjAwNzQ1NzgxMzU3MDA4MQ%3D%3D.2-ccb7-5&oh=00_AfAEBl-3e41r0dPnFg6DiStfxLndESs5KR88YX5CsEgH6w&oe=655518BF&_nc_sid=8b3546,"JOOPITER is proud to announce From Me To You

From Me To You explores @nigo’s decades-long standing at the epicenter of fashion, hip-hop and streetwear, and showcases the depth of his knowledge and passion for collecting. The auction celebrates NIGO’s legacy as a trailblazer and his intrinsic need to explore new avenues of expression and creative collaboration. Included are many iconic and custom items worn by NIGO throughout his career, as well as special pieces from his personal vintage and denim archives, many of which have inspired his own designs.

“From Me To You is named after one of my favorite Beatles songs, and it symbolizes the time to finally release my most cherished, personal collections out into the world. Each item is something that I have spent time and energy to collect, and many I’ve been privileged to help create. I am sincerely looking forward to seeing how they are passed onto the next generation, and I hope they continue to live on through the next.” - @Nigo

Sign up to be notified when the full From Me To You collection preview releases at the link in bio.

Global online bidding will be open from Thursday, November 9 to Thursday, November 16 on JOOPITER.com.",[],13448,88,,2023-10-31 22:07:59,GraphSidecar
